index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Zeta
775,10981922,28,192251,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,6,194,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0,10
779,10981922,30,192251,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,6,226,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0,10
781,10981922,31,192251,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,6,258,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0,10
783,10981922,32,192251,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,6,290,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0,10
785,10981922,33,192251,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,6,322,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0,10
787,10981922,34,192251,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,6,354,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0,10
789,10981922,35,192251,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,6,386,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0,10
793,10981922,37,192251,Absent,15,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,32,0,Unicorn_Absent,-1,-1,9,418,1.0,14.0,0.1794871794871795,14.0,0.62,0.21875,RS,RS,0.023714766002371646,1.0,1.0,0.0,0,1.0,10
801,10981922,41,192251,Absent,51,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,32,0,Unicorn_Absent,-1,-1,9,450,1.0,36.0,0.28205128205128205,36.0,0.62,0.5625,RS,RS,0.0061027272741740034,1.0,0.1794871794871795,0.62,0,0.023714766002371646,10
805,10981922,43,192251,Absent,51,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,32,0,Unicorn_Absent,-1,-1,9,482,1.0,36.0,1.0,36.0,0.0,0.5625,RS,RS,0.0061027272741740034,1.0,0.28205128205128205,0.62,0,0.0061027272741740034,10
807,10981922,44,192251,Absent,51,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,32,0,Unicorn_Absent,-1,-1,9,514,1.0,36.0,1.0,36.0,0.0,0.5625,RS,RS,0.0061027272741740034,1.0,1.0,0.0,0,0.0061027272741740034,10
809,10981922,45,192251,Absent,51,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,32,0,Unicorn_Absent,-1,-1,9,546,1.0,36.0,1.0,36.0,0.0,0.5625,RS,RS,0.0061027272741740034,1.0,1.0,0.0,0,0.0061027272741740034,10
811,10981922,46,192251,Absent,51,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,32,0,Unicorn_Absent,-1,-1,9,578,1.0,36.0,1.0,36.0,0.0,0.5625,RS,RS,0.0061027272741740034,1.0,1.0,0.0,0,0.0061027272741740034,10
813,10981922,47,192251,Absent,51,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,32,0,Unicorn_Absent,-1,-1,9,610,1.0,36.0,1.0,36.0,0.0,0.5625,RS,RS,0.0061027272741740034,1.0,1.0,0.0,0,0.0061027272741740034,10
821,10981922,51,192251,Absent,52,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,32,0,Unicorn_Absent,-1,-1,9,642,1.0,33.0,0.38,33.0,0.0,0.515625,RS,RS,0.006737946999085467,1.0,1.0,0.0,0,0.0061027272741740034,10
823,10981922,52,192251,Absent,52,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,32,0,Unicorn_Absent,-1,-1,9,674,1.0,33.0,1.0,33.0,0.0,0.515625,RS,RS,0.006737946999085467,1.0,0.38,0.0,0,0.006737946999085467,10
827,10981922,54,192251,Absent,52,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,32,0,Unicorn_Absent,-1,-1,9,706,1.0,33.0,1.0,33.0,0.0,0.515625,RS,RS,0.006737946999085467,1.0,1.0,0.0,0,0.006737946999085467,10
829,10981922,55,192251,Absent,52,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,32,0,Unicorn_Absent,-1,-1,9,738,1.0,33.0,1.0,33.0,1.0,0.515625,RS,RS,0.006737946999085467,1.0,1.0,0.0,0,0.006737946999085467,10
831,10981922,56,192251,Absent,52,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,32,0,Unicorn_Absent,-1,-1,9,770,1.0,33.0,1.0,33.0,1.0,0.515625,RS,RS,0.006737946999085467,1.0,1.0,1.0,0,0.006737946999085467,10
837,10981922,59,192251,Absent,52,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,21,11,Unicorn_Absent,-1,-1,9,791,0.93125,33.0,1.0,40.0,0.08695652173913043,0.453125,RS,RS,0.006737946999085467,1.0,1.0,1.0,0,0.006737946999085467,10
839,10981922,60,192251,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,823,1.0,0.0,0.0,7.0,0.08695652173913043,0.109375,NOTHING,NOTHING,1.0,0.93125,1.0,0.08695652173913043,11,0.006737946999085467,10
1680,12819703,1,128166,Absent,55,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,16,16,Unicorn_Absent,-1,-1,0,16,0.9,37.0,1.0,48.0,0.0,0.5,RS,RS,0.006737946999085467,,,,,,10
