index,Answer,Dyad,Is_there,Joint,Player,Round,Score,Strategy,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,where_x,where_y,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
2,Absent,10253849,Unicorn_Absent,17,102504,3,15,0,57,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,-1,-1.0,Unicorn_Present,RS,RS,DOWN,2,0,27.949427955562925,32.0,15,0.89375,34.0,,49.0,,0.5,0.005034190088132767,,,,,
4,Absent,10253849,Unicorn_Absent,32,102504,5,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Absent,DOWN,DOWN,ALL,4,0,27.949427955562925,27.949427955562925,15,0.8,32.0,0.3469387755102041,64.0,0.15306122448979592,0.5,1.0,0.89375,,,17,0.005034190088132767
5,Absent,10253849,Unicorn_Absent,32,102504,6,0,1,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Present,ALL,ALL,ALL,5,0,27.949427955562925,-73.0,15,0.8,64.0,0.5,64.0,0.0,0.5,1.0,0.8,0.3469387755102041,0.15306122448979592,32,1.0
7,Absent,10253849,Unicorn_Absent,32,102504,8,0,1,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Present,ALL,ALL,NOTHING,7,0,27.949427955562925,32.0,15,0.8,64.0,1.0,64.0,0.6666666666666667,0.5,1.0,0.8,0.5,0.0,32,1.0
10,Absent,10253849,Unicorn_Absent,0,102504,11,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Absent,NOTHING,NOTHING,NOTHING,10,0,27.949427955562925,27.949427955562925,47,1.0,0.0,0.0,8.0,0.1111111111111111,0.125,1.0,0.8,1.0,0.6666666666666667,32,1.0
11,Absent,10253849,Unicorn_Absent,0,102504,12,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Absent,NOTHING,NOTHING,NOTHING,11,0,27.949427955562925,27.949427955562925,79,1.0,0.0,1.0,13.0,1.0,0.203125,1.0,1.0,0.0,0.1111111111111111,0,1.0
12,Absent,10253849,Unicorn_Absent,0,102504,13,-64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Present,NOTHING,NOTHING,ALL,12,0,27.949427955562925,-64.0,15,0.4,0.0,1.0,19.0,0.8571428571428572,0.296875,1.0,1.0,1.0,1.0,0,1.0
14,Absent,10253849,Unicorn_Absent,64,102504,15,-32,1,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Absent,ALL,ALL,RS,14,0,27.949427955562925,27.949427955562925,-17,0.6,64.0,0.0,64.0,0.296875,0.0,1.0,0.4,1.0,0.8571428571428572,0,1.0
15,Absent,10253849,Unicorn_Absent,17,102504,16,15,0,49,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,-1,-1.0,Unicorn_Present,RS,RS,NOTHING,15,0,27.949427955562925,-1.3333333333333333,-2,0.89375,36.0,0.5625,51.0,0.0625,0.53125,0.007454186295369829,0.6,0.0,0.296875,64,1.0
19,Absent,10253849,Unicorn_Absent,0,102504,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Absent,NOTHING,RS,RS,19,0,27.949427955562925,27.949427955562925,30,1.0,0.0,0.0,32.0,0.3333333333333333,0.5,1.0,0.89375,0.5625,0.0625,17,0.007454186295369829
