index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,RS
3631,14709676,16,967640,Absent,17,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,22,10,Unicorn_Absent,-1,-1.0,9,236,0.9375,17.0,0.2608695652173913,41.0,0.12499999999999999,0.484375,RS,RS,0.016194143319162562,0.85625,0.4727272727272727,0.12499999999999999,23,0.008264124158046258,0
3633,14709676,17,967640,Absent,19,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,24,8,Unicorn_Absent,-1,-1.0,9,260,0.95,16.0,0.13793103448275862,34.0,0.1365079365079365,0.40625,RS,RS,0.01831563888873418,0.9375,0.2608695652173913,0.12499999999999999,10,0.016194143319162562,0
3635,14709676,18,967640,Absent,16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,28,4,Unicorn_Absent,-1,-1.0,9,288,0.975,15.0,0.14814814814814814,24.0,0.1365079365079365,0.3125,RS,RS,0.020796234419099814,0.95,0.13793103448275862,0.1365079365079365,8,0.01831563888873418,0
3637,14709676,19,967640,Absent,22,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,29,3,Unicorn_Absent,-1,-1.0,9,317,0.98125,19.0,0.25925925925925924,29.0,0.22306108442004116,0.40625,RS,RS,0.012792465124422179,0.975,0.14814814814814814,0.1365079365079365,4,0.020796234419099814,0
3639,14709676,20,967640,Absent,22,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,20,12,Unicorn_Absent,-1,-1.0,9,337,0.925,19.0,1.0,36.0,0.22306108442004116,0.375,RS,RS,0.012792465124422179,0.98125,0.25925925925925924,0.22306108442004116,3,0.012792465124422179,0
3645,14709676,23,967640,Absent,28,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,362,0.95625,22.0,0.20588235294117646,29.0,0.0,0.34375,RS,RS,0.009182867495108389,0.925,1.0,0.22306108442004116,12,0.012792465124422179,0
3651,14709676,26,967640,Absent,51,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,10,22,Unicorn_Absent,-1,-1.0,9,372,0.8625,34.0,0.2727272727272727,53.0,0.0,0.484375,RS,RS,0.0061027272741740034,0.95625,0.20588235294117646,0.0,7,0.009182867495108389,0
3653,14709676,27,967640,Absent,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,404,1.0,3.0,0.027777777777777776,27.0,0.0,0.421875,RS,RS,0.17692120631776423,0.8625,0.2727272727272727,0.0,22,0.0061027272741740034,0
3659,14709676,30,967640,Absent,39,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,32,0,Unicorn_Absent,-1,-1.0,9,436,1.0,32.0,0.06060606060606061,34.0,0.0,0.53125,RS,RS,0.005034190088132767,1.0,0.027777777777777776,0.0,0,0.17692120631776423,0
3665,14709676,33,967640,Absent,21,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,22,10,Unicorn_Absent,-1,-1.0,9,458,0.9375,18.0,0.25,47.0,0.0,0.578125,RS,RS,0.01436959609043909,1.0,0.06060606060606061,0.0,0,0.005034190088132767,0
