index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
158,18708616,39,187024,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,RS,158,0,24.491166077738516,-68.0,445,0.375,0.0,0.0,3.0,0.046875,0.046875,1.0,0.8375,0.34,0.15999999999999998,26,0.0061027272741740034
161,18708616,42,187024,Absent,41,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,15,17,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,161,0,24.491166077738516,-3.3333333333333335,460,0.89375,30.0,0.0,46.0,0.02857142857142857,0.453125,0.0061027272741740034,0.375,0.0,0.046875,0,1.0
165,18708616,46,187024,Absent,63,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,21,11,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,ALL,165,0,24.491166077738516,-70.0,481,0.93125,44.0,0.2982456140350877,48.0,0.18196654426764586,0.578125,0.01142289099346694,0.89375,0.0,0.02857142857142857,17,0.0061027272741740034
167,18708616,48,187024,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1,1,Unicorn_Present,ALL,ALL,RS,167,0,24.491166077738516,27.0,499,0.9125,64.0,0.6875,64.0,0.5721153846153846,0.78125,1.0,0.93125,0.2982456140350877,0.18196654426764586,11,0.01142289099346694
169,18708616,50,187024,Absent,47,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,25,7,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,169,0,24.491166077738516,24.491166077738516,524,0.95625,32.0,0.5,43.0,0.35714285714285715,0.5625,0.007454186295369829,0.9125,0.6875,0.5721153846153846,14,1.0
170,18708616,51,187024,Absent,27,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,19,13,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,170,0,24.491166077738516,30.5,543,0.91875,23.0,0.1702127659574468,53.0,0.07468519322622666,0.625,0.008264124158046258,0.95625,0.5,0.35714285714285715,7,0.007454186295369829
173,18708616,54,187024,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,173,0,24.491166077738516,-64.0,573,0.9875,2.0,0.0,37.0,0.45454545454545453,0.546875,0.2431167344342142,0.91875,0.1702127659574468,0.07468519322622666,13,0.008264124158046258
175,18708616,56,187024,Absent,46,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,16,16,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,175,0,24.491166077738516,24.491166077738516,589,0.9,33.0,0.029411764705882353,51.0,0.3905882352941176,0.546875,0.005537830714382473,0.9875,0.0,0.45454545454545453,2,0.2431167344342142
176,18708616,57,187024,Absent,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,30,2,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,176,0,24.491166077738516,24.491166077738516,619,0.9875,7.0,0.14285714285714285,27.0,0.04863221884498481,0.390625,0.07095202666684558,0.9,0.029411764705882353,0.3905882352941176,16,0.005537830714382473
177,18708616,58,187024,Absent,31,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,19,13,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,177,0,24.491166077738516,30.0,638,0.91875,25.0,0.06666666666666667,46.0,0.17777777777777776,0.515625,0.006737946999085467,0.9875,0.14285714285714285,0.04863221884498481,2,0.07095202666684558
179,18708616,60,187024,Absent,34,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1,0,,RS,RS,,179,0,24.491166077738516,,654,0.9,26.0,0.34210526315789475,40.0,0.00877192982456143,0.375,0.0061027272741740034,0.91875,0.06666666666666667,0.17777777777777776,13,0.006737946999085467
180,18708616,1,861629,Absent,59,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,31,1,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,180,0,24.491166077738516,24.0,31,0.99375,35.0,,39.0,,0.59375,0.004584084770106734,,,,,
182,18708616,3,861629,Absent,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,9,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,182,0,24.491166077738516,32.0,54,0.94375,16.0,0.10869565217391304,39.0,0.0515527950310559,0.46875,0.01831563888873418,0.99375,,,1,0.004584084770106734
184,18708616,5,861629,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,184,0,24.491166077738516,24.491166077738516,85,0.99375,3.0,0.11764705882352941,41.0,0.24773755656108595,0.625,0.17692120631776423,0.94375,0.10869565217391304,0.0515527950310559,9,0.01831563888873418
185,18708616,6,861629,Absent,27,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,23,9,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,185,0,24.491166077738516,31.0,108,0.94375,23.0,0.08333333333333333,39.0,0.22278911564625853,0.46875,0.008264124158046258,0.99375,0.11764705882352941,0.24773755656108595,1,0.17692120631776423
187,18708616,8,861629,Absent,39,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,22,10,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,187,0,24.491166077738516,-72.0,130,0.9375,28.0,0.21428571428571427,35.0,0.014285714285714263,0.390625,0.0061027272741740034,0.94375,0.08333333333333333,0.22278911564625853,9,0.008264124158046258
