index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Zeta
964,11931714,3,119345,Absent,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,7,Unicorn_Absent,-1,-1.0,0,25,0.95625,14.0,1.0,31.0,0.0,0.375,RS,RS,0.023714766002371646,,,,,,1
966,11931714,4,119345,Absent,57,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,27,5,Unicorn_Absent,-1,-1.0,0,52,0.96875,36.0,0.28205128205128205,37.0,0.0,0.5,RS,RS,0.005034190088132767,0.95625,1.0,0.0,7,0.023714766002371646,1
972,11931714,7,119345,Absent,51,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,16,16,Unicorn_Absent,-1,-1.0,0,68,0.9,37.0,0.37735849056603776,49.0,0.17094017094017094,0.515625,RS,RS,0.005537830714382473,0.96875,0.28205128205128205,0.0,5,0.005034190088132767,1
978,11931714,10,119345,Absent,28,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,23,9,Unicorn_Absent,-1,-1.0,0,91,0.94375,23.0,0.22448979591836735,46.0,0.17094017094017094,0.578125,RS,RS,0.008264124158046258,0.9,0.37735849056603776,0.17094017094017094,16,0.005537830714382473,1
980,11931714,11,119345,Absent,41,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,20,12,Unicorn_Absent,-1,-1.0,0,111,0.925,31.0,0.3170731707317073,51.0,0.20494469746258948,0.609375,RS,RS,0.006737946999085467,0.94375,0.22448979591836735,0.17094017094017094,9,0.008264124158046258,1
990,11931714,16,119345,Absent,29,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,6,26,Unicorn_Absent,-1,-1.0,0,117,0.8375,26.0,0.3902439024390244,64.0,0.20494469746258948,0.59375,RS,RS,0.007454186295369829,0.925,0.3170731707317073,0.20494469746258948,12,0.006737946999085467,1
992,11931714,17,119345,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,149,1.0,32.0,0.4146341463414634,32.0,0.1391465677179963,0.5,RIGHT,RIGHT,1.0,0.8375,0.3902439024390244,0.20494469746258948,26,0.007454186295369829,1
994,11931714,18,119345,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,181,1.0,32.0,1.0,32.0,0.1391465677179963,0.5,RIGHT,RIGHT,1.0,1.0,0.4146341463414634,0.1391465677179963,0,1.0,1
1002,11931714,22,119345,Absent,47,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,15,17,Unicorn_Absent,-1,-1.0,0,196,0.89375,32.0,0.391304347826087,48.0,0.6829268292682926,0.484375,RS,RS,0.005034190088132767,1.0,1.0,0.1391465677179963,0,1.0,1
1008,11931714,25,119345,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,15,Unicorn_Absent,-1,-1.0,1,213,0.90625,64.0,0.5,64.0,0.6829268292682926,0.765625,ALL,ALL,1.0,0.89375,0.391304347826087,0.6829268292682926,17,0.005034190088132767,1
