index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Delta
3968,10472643,5,104721,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,16,0.9,32.0,1.0,48.0,0.0,0.5,RIGHT,RIGHT,1.0,,,,,,10
3976,10472643,9,104721,Absent,51,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,29,3,Unicorn_Absent,-1,-1.0,0,45,0.98125,32.0,0.3333333333333333,37.0,0.0,0.53125,RS,RS,0.004180913251655786,0.9,1.0,0.0,16,1.0,10
3978,10472643,10,104721,Absent,51,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,29,3,Unicorn_Absent,-1,-1.0,0,74,0.98125,32.0,1.0,37.0,0.19047619047619047,0.53125,RS,RS,0.004180913251655786,0.98125,0.3333333333333333,0.0,3,0.004180913251655786,10
3982,10472643,12,104721,Absent,51,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,29,3,Unicorn_Absent,-1,-1.0,0,103,0.98125,32.0,1.0,37.0,0.19047619047619047,0.53125,RS,RS,0.004180913251655786,0.98125,1.0,0.19047619047619047,3,0.004180913251655786,10
3986,10472643,14,104721,Absent,53,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,18,14,Unicorn_Absent,-1,-1.0,0,121,0.9125,34.0,0.375,52.0,0.0,0.59375,RS,RS,0.009182867495108389,0.98125,1.0,0.19047619047619047,3,0.004180913251655786,10
3992,10472643,17,104721,Absent,62,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,7,25,Unicorn_Absent,-1,-1.0,0,128,0.84375,41.0,0.4423076923076923,55.0,0.0,0.46875,RS,RS,0.008264124158046258,0.9125,0.375,0.0,14,0.009182867495108389,10
3998,10472643,20,104721,Absent,38,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,19,13,Unicorn_Absent,-1,-1.0,0,147,0.91875,26.0,0.34,45.0,0.0,0.5,RS,RS,0.0061027272741740034,0.84375,0.4423076923076923,0.0,25,0.008264124158046258,10
4004,10472643,23,104721,Absent,15,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,31,1,Unicorn_Absent,-1,-1.0,0,178,0.99375,14.0,0.14285714285714285,16.0,0.0,0.234375,RS,RS,0.023714766002371646,0.91875,0.34,0.0,13,0.0061027272741740034,10
4006,10472643,24,104721,Absent,15,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,31,1,Unicorn_Absent,-1,-1.0,0,209,0.99375,14.0,1.0,16.0,0.23214285714285715,0.234375,RS,RS,0.023714766002371646,0.99375,0.14285714285714285,0.0,1,0.023714766002371646,10
4018,10472643,30,104721,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,241,1.0,32.0,0.21052631578947367,32.0,0.23214285714285715,0.5,RIGHT,RIGHT,1.0,0.99375,1.0,0.23214285714285715,1,0.023714766002371646,10
4020,10472643,31,104721,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,273,1.0,32.0,1.0,32.0,0.036858974358974395,0.5,RIGHT,RIGHT,1.0,1.0,0.21052631578947367,0.23214285714285715,0,1.0,10
4028,10472643,35,104721,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,305,1.0,32.0,1.0,32.0,0.036858974358974395,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.036858974358974395,0,1.0,10
4032,10472643,37,104721,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,337,1.0,32.0,1.0,32.0,0.10897959183673467,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.036858974358974395,0,1.0,10
4036,10472643,39,104721,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,369,1.0,36.0,0.36,36.0,0.10897959183673467,0.5625,IN,IN,1.0,1.0,1.0,0.10897959183673467,0,1.0,10
4038,10472643,40,104721,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,401,1.0,36.0,1.0,36.0,0.11344537815126049,0.5625,IN,IN,1.0,1.0,0.36,0.10897959183673467,0,1.0,10
4048,10472643,45,104721,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,433,1.0,36.0,1.0,36.0,0.11344537815126049,0.5625,IN,IN,1.0,1.0,1.0,0.11344537815126049,0,1.0,10
4050,10472643,46,104721,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,465,1.0,36.0,1.0,36.0,0.0,0.5625,IN,IN,1.0,1.0,1.0,0.11344537815126049,0,1.0,10
4052,10472643,47,104721,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,497,1.0,36.0,1.0,36.0,0.0,0.5625,IN,IN,1.0,1.0,1.0,0.0,0,1.0,10
4056,10472643,49,104721,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,529,1.0,36.0,1.0,36.0,0.21052631578947367,0.5625,IN,IN,1.0,1.0,1.0,0.0,0,1.0,10
4060,10472643,51,104721,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,561,1.0,36.0,1.0,36.0,0.21052631578947367,0.5625,IN,IN,1.0,1.0,1.0,0.21052631578947367,0,1.0,10
4074,10472643,58,104721,Absent,32,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,14,18,Unicorn_Absent,-1,-1.0,0,575,0.8875,25.0,0.2978723404255319,45.0,0.0,0.421875,RS,RS,0.006737946999085467,1.0,1.0,0.21052631578947367,0,1.0,10
4076,10472643,59,104721,Absent,11,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,21,11,Unicorn_Absent,-1,-1.0,0,596,0.93125,11.0,0.16129032258064516,64.0,0.0,0.828125,RS,RS,0.03627506129959581,0.8875,0.2978723404255319,0.0,18,0.006737946999085467,10
4078,10472643,60,104721,Absent,19,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,26,6,Unicorn_Absent,-1,-1.0,0,622,0.9625,18.0,0.11538461538461539,48.0,0.0,0.65625,RS,RS,0.01436959609043909,0.93125,0.16129032258064516,0.0,11,0.03627506129959581,10
3969,10472643,5,264388,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,4,16,0.9,32.0,1.0,48.0,0.0,0.5,UP,UP,1.0,,,,,,10
3977,10472643,9,264388,Absent,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,29,3,Unicorn_Absent,-1,-1.0,9,45,0.98125,8.0,0.14285714285714285,37.0,0.0,0.53125,RS,RS,0.059105746561956225,0.9,1.0,0.0,16,1.0,10
3979,10472643,10,264388,Absent,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,29,3,Unicorn_Absent,-1,-1.0,9,74,0.98125,8.0,1.0,37.0,0.0,0.53125,RS,RS,0.059105746561956225,0.98125,0.14285714285714285,0.0,3,0.059105746561956225,10
3983,10472643,12,264388,Absent,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,29,3,Unicorn_Absent,-1,-1.0,9,103,0.98125,8.0,1.0,37.0,0.64,0.53125,RS,RS,0.059105746561956225,0.98125,1.0,0.0,3,0.059105746561956225,10
