index,Answer,Dyad,Is_there,Joint,Player,Round,Score,Strategy,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,where_x,where_y,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
6139,Absent,31272939,Unicorn_Absent,0,3127,20,32,0,19,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,-1,-1,Unicorn_Absent,RS,RS,RS,6139,0,28.19078947368421,28.19078947368421,364,1.0,15.0,0.0,15.0,1.0,0.234375,0.020796234419099814,1.0,0.0,1.0,0,0.2431167344342142
6140,Absent,31272939,Unicorn_Absent,0,3127,21,32,0,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,-1,-1,Unicorn_Absent,RS,RS,RS,6140,0,28.19078947368421,28.19078947368421,396,1.0,20.0,0.09375,20.0,0.90625,0.3125,0.01142289099346694,1.0,0.0,1.0,0,0.020796234419099814
6141,Absent,31272939,Unicorn_Absent,0,3127,22,0,0,36,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,-1,-1,Unicorn_Present,RS,RS,DOWN,6141,0,28.19078947368421,0.0,396,0.8,25.0,0.21621621621621623,25.0,0.7837837837837838,0.390625,0.006737946999085467,1.0,0.09375,0.90625,0,0.01142289099346694
6145,Absent,31272939,Unicorn_Absent,0,3127,26,32,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,Unicorn_Present,DOWN,DOWN,DOWN,6145,0,28.19078947368421,32.0,428,1.0,32.0,0.1875,32.0,0.8125,0.5,1.0,0.8,0.21621621621621623,0.7837837837837838,0,0.006737946999085467
6147,Absent,31272939,Unicorn_Absent,0,3127,28,32,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,Unicorn_Absent,DOWN,DOWN,DOWN,6147,0,28.19078947368421,28.19078947368421,460,1.0,32.0,1.0,32.0,0.0,0.5,1.0,1.0,0.1875,0.8125,0,1.0
6148,Absent,31272939,Unicorn_Absent,0,3127,29,-2,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,Unicorn_Present,DOWN,DOWN,DOWN,6148,0,28.19078947368421,-2.0,458,0.7875,32.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
6152,Absent,31272939,Unicorn_Absent,16,3127,33,16,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,Unicorn_Absent,DOWN,DOWN,NOTHING,6152,0,28.19078947368421,28.19078947368421,474,0.9,32.0,1.0,48.0,1.0,0.5,1.0,0.7875,1.0,0.0,0,1.0
6153,Absent,31272939,Unicorn_Absent,0,3127,34,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Present,NOTHING,NOTHING,NOTHING,6153,0,28.19078947368421,32.0,506,1.0,0.0,0.0,32.0,0.0,0.5,1.0,0.9,1.0,1.0,16,1.0
6155,Absent,31272939,Unicorn_Absent,0,3127,36,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Present,NOTHING,NOTHING,NOTHING,6155,0,28.19078947368421,32.0,538,1.0,0.0,1.0,32.0,0.0,0.5,1.0,1.0,0.0,0.0,0,1.0
6157,Absent,31272939,Unicorn_Absent,0,3127,38,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6157,0,28.19078947368421,28.19078947368421,570,1.0,0.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
6158,Absent,31272939,Unicorn_Absent,0,3127,39,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6158,0,28.19078947368421,28.19078947368421,602,1.0,0.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
6159,Absent,31272939,Unicorn_Absent,0,3127,40,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6159,0,28.19078947368421,28.19078947368421,634,1.0,0.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
