index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Zeta
222,71204752,52,712018,Absent,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,639,0.9875,4.0,1.0,38.0,0.2275413711583924,0.5625,RS,RS,0.1353352832366127,0.9875,1.0,0.12422360248447206,2,0.1353352832366127,0
226,71204752,54,712018,Absent,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,668,0.98125,6.0,0.1111111111111111,26.0,0.2275413711583924,0.359375,RS,RS,0.08633762966036206,0.9875,1.0,0.2275413711583924,2,0.1353352832366127,0
232,71204752,57,712018,Absent,30,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,19,13,Unicorn_Absent,-1,-1.0,0,687,0.91875,24.0,0.07142857142857142,43.0,0.0,0.46875,RS,RS,0.007454186295369829,0.98125,0.1111111111111111,0.2275413711583924,3,0.08633762966036206,0
234,71204752,58,712018,Absent,43,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,717,0.9875,35.0,0.2553191489361702,38.0,0.0,0.5625,RS,RS,0.005537830714382473,0.91875,0.07142857142857142,0.0,13,0.007454186295369829,0
236,71204752,59,712018,Absent,43,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,747,0.9875,35.0,1.0,38.0,0.0,0.5625,RS,RS,0.005537830714382473,0.9875,0.2553191489361702,0.0,2,0.005537830714382473,0
238,71204752,60,712018,Absent,43,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,777,0.9875,35.0,1.0,38.0,0.0,0.5625,RS,RS,0.005537830714382473,0.9875,1.0,0.0,2,0.005537830714382473,0
3961,73863971,1,397127,Absent,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,9,24,0.95,16.0,1.0,41.0,0.0,0.515625,RS,RS,0.01831563888873418,,,,,,0
3963,73863971,2,397127,Absent,13,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,54,0.9875,11.0,0.038461538461538464,27.0,0.0,0.390625,RS,RS,0.03627506129959581,0.95,1.0,0.0,8,0.01831563888873418,0
3965,73863971,3,397127,Absent,13,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,84,0.9875,11.0,1.0,27.0,0.20544090056285177,0.390625,RS,RS,0.03627506129959581,0.9875,0.038461538461538464,0.0,2,0.03627506129959581,0
3971,73863971,6,397127,Absent,34,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,26,6,Unicorn_Absent,-1,-1.0,9,110,0.9625,30.0,0.20588235294117646,34.0,0.20544090056285177,0.4375,RS,RS,0.005034190088132767,0.9875,1.0,0.20544090056285177,2,0.03627506129959581,0
