index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Delta
4206,15052106,4,150580,Absent,31,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,15,17,Unicorn_Absent,-1,-1.0,0,15,0.89375,26.0,1.0,43.0,0.0,0.40625,RS,RS,0.0061027272741740034,,,,,,50
4210,15052106,6,150580,Absent,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,45,0.9875,4.0,0.07142857142857142,34.0,0.0,0.5,RS,RS,0.1353352832366127,0.89375,1.0,0.0,17,0.0061027272741740034,50
4212,15052106,7,150580,Absent,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,75,0.9875,4.0,1.0,34.0,0.3035714285714286,0.5,RS,RS,0.1353352832366127,0.9875,0.07142857142857142,0.0,2,0.1353352832366127,50
4218,15052106,10,150580,Absent,42,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,0,94,0.91875,27.0,0.03333333333333333,53.0,0.3035714285714286,0.625,RS,RS,0.010228516799093708,0.9875,1.0,0.3035714285714286,2,0.1353352832366127,50
4224,15052106,13,150580,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,3,94,0.8,32.0,0.40476190476190477,32.0,0.0,0.0,DOWN,DOWN,1.0,0.91875,0.03333333333333333,0.3035714285714286,13,0.010228516799093708,50
4228,15052106,15,150580,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,4,110,0.9,32.0,0.0,48.0,0.0,0.5,UP,UP,1.0,0.8,0.40476190476190477,0.0,32,1.0,50
4230,15052106,16,150580,Absent,38,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,0,126,0.9,29.0,0.4186046511627907,45.0,0.3062893081761006,0.453125,RS,RS,0.006737946999085467,0.9,0.0,0.0,16,1.0,50
4238,15052106,20,150580,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,158,1.0,32.0,0.2708333333333333,64.0,0.3062893081761006,1.0,RIGHT,RIGHT,1.0,0.9,0.4186046511627907,0.3062893081761006,16,0.006737946999085467,50
4244,15052106,23,150580,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,190,1.0,32.0,1.0,64.0,0.11385281385281387,1.0,RIGHT,RIGHT,1.0,1.0,0.2708333333333333,0.3062893081761006,0,1.0,50
4246,15052106,24,150580,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,222,1.0,32.0,1.0,64.0,0.11385281385281387,1.0,RIGHT,RIGHT,1.0,1.0,1.0,0.11385281385281387,0,1.0,50
