index,Answer,Dyad,Is_there,Joint,Player,Round,Score,Strategy,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,where_x,where_y,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
3,Absent,10377636,Unicorn_Absent,2,103735,4,30,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Absent,RS,RS,RS,3,0,28.15127309036445,28.15127309036445,30,0.9875,4.0,,30.0,,0.4375,0.1353352832366127,,,,,
4,Absent,10377636,Unicorn_Absent,2,103735,5,30,0,42,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,-1,-1.0,Unicorn_Present,RS,RS,RIGHT,4,0,28.15127309036445,-78.5,60,0.9875,32.0,0.058823529411764705,36.0,0.003676470588235295,0.53125,0.0061027272741740034,0.9875,,,2,0.1353352832366127
7,Absent,10377636,Unicorn_Absent,0,103735,8,32,6,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-1,-1.0,Unicorn_Absent,RIGHT,RIGHT,RIGHT,7,0,28.15127309036445,28.15127309036445,92,1.0,32.0,0.30612244897959184,64.0,0.25056689342403626,1.0,1.0,0.9875,0.058823529411764705,0.003676470588235295,2,0.0061027272741740034
8,Absent,10377636,Unicorn_Absent,0,103735,9,32,6,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-1,-1.0,Unicorn_Present,RIGHT,RIGHT,RIGHT,8,0,28.15127309036445,32.0,124,1.0,32.0,1.0,64.0,0.0,1.0,1.0,1.0,0.30612244897959184,0.25056689342403626,0,1.0
10,Absent,10377636,Unicorn_Absent,0,103735,11,32,6,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-1,-1.0,Unicorn_Present,RIGHT,RIGHT,RIGHT,10,0,28.15127309036445,32.0,156,1.0,32.0,1.0,64.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0
14,Absent,10377636,Unicorn_Absent,0,103735,15,32,6,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-1,-1.0,Unicorn_Absent,RIGHT,RIGHT,RIGHT,14,0,28.15127309036445,28.15127309036445,188,1.0,32.0,1.0,64.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0
15,Absent,10377636,Unicorn_Absent,0,103735,16,32,6,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-1,-1.0,Unicorn_Absent,RIGHT,RIGHT,RIGHT,15,0,28.15127309036445,28.15127309036445,220,1.0,32.0,1.0,64.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0
16,Absent,10377636,Unicorn_Absent,0,103735,17,-6,6,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-1,-1.0,Unicorn_Present,RIGHT,RIGHT,RS,16,0,28.15127309036445,-6.4,214,0.7625,32.0,1.0,64.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0
22,Absent,10377636,Unicorn_Absent,0,103735,23,21,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Present,RS,RS,ALL,22,0,28.15127309036445,21.0,235,0.93125,2.0,0.0625,34.0,0.9375,0.53125,0.2431167344342142,0.7625,1.0,0.0,0,1.0
24,Absent,10377636,Unicorn_Absent,40,103735,25,-8,1,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Absent,ALL,ALL,UP,24,0,28.15127309036445,28.15127309036445,227,0.75,64.0,0.03125,64.0,0.40875,0.375,1.0,0.93125,0.0625,0.9375,0,0.2431167344342142
