index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Alpha
3490,11553288,6,115554,Absent,46,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,18,14,Unicorn_Absent,-1,-1.0,0,18,0.9125,35.0,1.0,53.0,0.0,0.609375,RS,RS,0.006737946999085467,,,,,,70
3492,11553288,7,115554,Absent,30,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,29,3,Unicorn_Absent,-1,-1.0,0,47,0.98125,25.0,0.2,27.0,0.0,0.375,RS,RS,0.008264124158046258,0.9125,1.0,0.0,14,0.006737946999085467,70
3498,11553288,10,115554,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,61,0.8875,36.0,0.4523809523809524,50.0,0.17222222222222222,0.5,IN,IN,1.0,0.98125,0.2,0.0,3,0.008264124158046258,70
3502,11553288,12,115554,Absent,18,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,26,6,Unicorn_Absent,-1,-1.0,0,87,0.9625,16.0,0.18181818181818182,34.0,0.17222222222222222,0.4375,RS,RS,0.01831563888873418,0.8875,0.4523809523809524,0.17222222222222222,18,1.0,70
3504,11553288,13,115554,Absent,39,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,24,8,Unicorn_Absent,-1,-1.0,0,111,0.95,31.0,0.23684210526315788,41.0,0.3641456582633053,0.515625,RS,RS,0.008264124158046258,0.9625,0.18181818181818182,0.17222222222222222,6,0.01831563888873418,70
3510,11553288,16,115554,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,1,143,1.0,64.0,0.484375,64.0,0.3641456582633053,1.0,ALL,ALL,1.0,0.95,0.23684210526315788,0.3641456582633053,8,0.008264124158046258,70
3512,11553288,17,115554,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,1,175,1.0,64.0,1.0,64.0,0.120507399577167,1.0,ALL,ALL,1.0,1.0,0.484375,0.3641456582633053,0,1.0,70
3514,11553288,18,115554,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,19,Unicorn_Absent,-1,-1.0,1,188,0.88125,64.0,1.0,64.0,0.120507399577167,0.703125,ALL,ALL,1.0,1.0,1.0,0.120507399577167,0,1.0,70
3516,11553288,19,115554,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,5,204,0.9,32.0,0.5,48.0,0.0015479876160990613,0.5,LEFT,LEFT,1.0,0.88125,1.0,0.120507399577167,19,1.0,70
3520,11553288,21,115554,Absent,45,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,17,15,Unicorn_Absent,-1,-1.0,0,221,0.90625,30.0,0.2916666666666667,47.0,0.0015479876160990613,0.5,RS,RS,0.004180913251655786,0.9,0.5,0.0015479876160990613,16,1.0,70
