index,Answer,Dyad,Is_there,Joint,Player,Round,Score,Strategy,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,where_x,where_y,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,Absent,12049487,Unicorn_Absent,2,12046,1,30,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Absent,RS,RS,RIGHT,0,0,27.839789888378203,27.839789888378203,30,0.9875,9.0,,15.0,,0.203125,0.049787068367863944,,,,,
1,Absent,12049487,Unicorn_Absent,7,12046,2,25,6,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-1,-1.0,Unicorn_Absent,RIGHT,RIGHT,OUT,1,0,27.839789888378203,27.839789888378203,55,0.95625,32.0,0.1388888888888889,46.0,0.06481481481481483,0.609375,1.0,0.9875,,,2,0.049787068367863944
2,Absent,12049487,Unicorn_Absent,28,12046,3,4,8,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Absent,OUT,OUT,LEFT,2,0,27.839789888378203,27.839789888378203,59,0.825,28.0,0.30434782608695654,64.0,0.02377717391304346,0.5625,1.0,0.95625,0.1388888888888889,0.06481481481481483,7,1.0
3,Absent,12049487,Unicorn_Absent,16,12046,4,16,5,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1.0,Unicorn_Absent,LEFT,LEFT,LEFT,3,0,27.839789888378203,27.839789888378203,75,0.9,32.0,0.30434782608695654,48.0,0.19565217391304346,0.5,1.0,0.825,0.30434782608695654,0.02377717391304346,28,1.0
4,Absent,12049487,Unicorn_Absent,32,12046,5,0,5,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1.0,Unicorn_Present,LEFT,LEFT,ALL,4,0,27.839789888378203,-3.0,75,0.8,32.0,1.0,32.0,0.6666666666666667,0.0,1.0,0.9,0.30434782608695654,0.19565217391304346,16,1.0
8,Absent,12049487,Unicorn_Absent,25,12046,9,7,1,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Present,ALL,ALL,IN,8,0,27.839789888378203,13.0,82,0.84375,64.0,0.5,64.0,0.2608695652173913,0.609375,1.0,0.8,1.0,0.6666666666666667,32,1.0
10,Absent,12049487,Unicorn_Absent,11,12046,11,21,7,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Absent,IN,IN,DOWN,10,0,27.839789888378203,27.839789888378203,103,0.93125,36.0,0.5625,48.0,0.2993421052631579,0.578125,1.0,0.84375,0.5,0.2608695652173913,25,1.0
11,Absent,12049487,Unicorn_Absent,0,12046,12,32,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Present,DOWN,DOWN,DOWN,11,0,27.839789888378203,32.0,135,1.0,32.0,0.36,32.0,0.36,0.5,1.0,0.93125,0.5625,0.2993421052631579,11,1.0
14,Absent,12049487,Unicorn_Absent,0,12046,15,-64,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Present,DOWN,DOWN,UP,14,0,27.839789888378203,-64.0,71,0.4,32.0,1.0,32.0,0.0,0.5,1.0,1.0,0.36,0.36,0,1.0
16,Absent,12049487,Unicorn_Absent,32,12046,17,0,4,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Present,UP,UP,ALL,16,0,27.839789888378203,32.0,71,0.8,32.0,0.0,64.0,0.0,0.5,1.0,0.4,1.0,0.0,0,1.0
