index,Answer,Dyad,Is_there,Joint,Player,Round,Score,Strategy,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,where_x,where_y,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,Absent,10685804,Unicorn_Absent,9,1068,1,23,0,17,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-1,-1.0,Unicorn_Absent,RS,RS,DOWN,0,0,28.195146612740142,28.195146612740142,23,0.94375,14.0,,37.0,,0.4375,0.023714766002371646,,,,,
1,Absent,10685804,Unicorn_Absent,13,1068,2,19,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Absent,DOWN,DOWN,RS,1,0,28.195146612740142,28.195146612740142,42,0.91875,32.0,0.12195121951219512,40.0,0.08259423503325944,0.421875,1.0,0.94375,,,9,0.023714766002371646
2,Absent,10685804,Unicorn_Absent,12,1068,3,20,0,53,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,-1,-1.0,Unicorn_Absent,RS,RS,RS,2,0,28.195146612740142,28.195146612740142,62,0.925,39.0,0.42,48.0,0.2533333333333333,0.5625,0.006737946999085467,0.91875,0.12195121951219512,0.08259423503325944,13,1.0
3,Absent,10685804,Unicorn_Absent,9,1068,4,23,0,19,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,-1,-1.0,Unicorn_Absent,RS,RS,NOTHING,3,0,28.195146612740142,28.195146612740142,85,0.94375,16.0,0.1956521739130435,49.0,0.039641943734015334,0.625,0.01831563888873418,0.925,0.42,0.2533333333333333,12,0.006737946999085467
4,Absent,10685804,Unicorn_Absent,0,1068,5,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Absent,NOTHING,NOTHING,NOTHING,4,0,28.195146612740142,28.195146612740142,117,1.0,0.0,0.0,25.0,0.28846153846153844,0.390625,1.0,0.94375,0.1956521739130435,0.039641943734015334,9,0.01831563888873418
5,Absent,10685804,Unicorn_Absent,0,1068,6,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Absent,NOTHING,NOTHING,NOTHING,5,0,28.195146612740142,28.195146612740142,149,1.0,0.0,1.0,29.0,0.6829268292682926,0.453125,1.0,1.0,0.0,0.28846153846153844,0,1.0
6,Absent,10685804,Unicorn_Absent,0,1068,7,-32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Present,NOTHING,NOTHING,DOWN,6,0,28.195146612740142,-32.0,117,0.6,0.0,1.0,24.0,0.7674418604651163,0.375,1.0,1.0,1.0,0.6829268292682926,0,1.0
10,Absent,10685804,Unicorn_Absent,0,1068,11,16,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Present,DOWN,DOWN,ALL,10,0,28.195146612740142,16.0,133,0.9,32.0,0.0,32.0,0.0,0.5,1.0,0.6,1.0,0.7674418604651163,0,1.0
17,Absent,10685804,Unicorn_Absent,32,1068,18,0,1,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Absent,ALL,ALL,ALL,17,0,28.195146612740142,28.195146612740142,133,0.8,64.0,0.5,64.0,0.5,0.5,1.0,0.9,0.0,0.0,0,1.0
18,Absent,10685804,Unicorn_Absent,28,1068,19,4,1,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Present,ALL,ALL,RIGHT,18,0,28.195146612740142,32.0,137,0.825,64.0,1.0,64.0,0.6956521739130435,0.5625,1.0,0.8,0.5,0.5,32,1.0
