index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Alpha
4440,12011239,1,12015,Absent,43,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,26,6,Unicorn_Absent,-1,-1.0,0,26,0.9625,30.0,1.0,36.0,0.0,0.46875,RS,RS,0.0061027272741740034,,,,,,0
4450,12011239,6,12015,Absent,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,24,8,Unicorn_Absent,-1,-1.0,0,50,0.95,15.0,0.18421052631578946,43.0,0.0,0.546875,RS,RS,0.020796234419099814,0.9625,1.0,0.0,6,0.0061027272741740034,0
4454,12011239,8,12015,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,11,Unicorn_Absent,-1,-1.0,3,71,0.93125,32.0,0.34285714285714286,46.0,0.041353383458646614,0.546875,DOWN,DOWN,1.0,0.95,0.18421052631578946,0.0,8,0.020796234419099814,0
4456,12011239,9,12015,Absent,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,27,5,Unicorn_Absent,-1,-1.0,0,98,0.96875,14.0,0.24324324324324326,41.0,0.041353383458646614,0.5625,RS,RS,0.023714766002371646,0.93125,0.34285714285714286,0.041353383458646614,11,1.0,0
4464,12011239,13,12015,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,130,1.0,0.0,0.0,32.0,0.07202380952380955,0.5,NOTHING,NOTHING,1.0,0.96875,0.24324324324324326,0.041353383458646614,5,0.023714766002371646,0
4466,12011239,14,12015,Absent,12,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1.0,0,158,0.975,11.0,0.0,40.0,0.07202380952380955,0.5625,RS,RS,0.03627506129959581,1.0,0.0,0.07202380952380955,0,1.0,0
4468,12011239,15,12015,Absent,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,190,1.0,11.0,0.1,13.0,0.08233815210559398,0.203125,RS,RS,0.03627506129959581,0.975,0.0,0.07202380952380955,4,0.03627506129959581,0
4472,12011239,17,12015,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,4,190,0.8,32.0,0.13157894736842105,64.0,0.08233815210559398,0.5,UP,UP,1.0,1.0,0.1,0.08233815210559398,0,0.03627506129959581,0
4474,12011239,18,12015,Absent,61,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,14,18,Unicorn_Absent,-1,-1.0,0,204,0.8875,42.0,0.34545454545454546,56.0,1.0,0.59375,RS,RS,0.009182867495108389,0.8,0.13157894736842105,0.08233815210559398,32,1.0,0
4476,12011239,19,12015,Absent,56,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,12,20,Unicorn_Absent,-1,-1.0,0,216,0.875,40.0,0.6078431372549019,51.0,1.0,0.484375,RS,RS,0.007454186295369829,0.8875,0.34545454545454546,1.0,18,0.009182867495108389,0
4486,12011239,24,12015,Absent,50,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,9,23,Unicorn_Absent,-1,-1.0,0,225,0.85625,36.0,0.35714285714285715,57.0,0.41304347826086957,0.53125,RS,RS,0.0061027272741740034,0.875,0.6078431372549019,1.0,20,0.007454186295369829,0
4490,12011239,26,12015,Absent,53,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,20,12,Unicorn_Absent,-1,-1.0,0,245,0.925,34.0,0.37254901960784315,42.0,0.41304347826086957,0.46875,RS,RS,0.004180913251655786,0.85625,0.35714285714285715,0.41304347826086957,23,0.0061027272741740034,0
4492,12011239,27,12015,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,277,1.0,1.0,0.0,1.0,0.07058823529411765,0.015625,RS,RS,0.36787944117144233,0.925,0.37254901960784315,0.41304347826086957,12,0.004180913251655786,0
4496,12011239,29,12015,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,Unicorn_Absent,-1,-1.0,4,295,0.9125,32.0,0.0,51.0,0.07058823529411765,0.578125,UP,UP,1.0,1.0,0.0,0.07058823529411765,0,0.36787944117144233,0
4498,12011239,30,12015,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,1,311,0.9,64.0,0.5,64.0,0.10032894736842105,0.75,ALL,ALL,1.0,0.9125,0.0,0.07058823529411765,14,1.0,0
4502,12011239,32,12015,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,343,1.0,32.0,0.5,64.0,0.10032894736842105,1.0,RIGHT,RIGHT,1.0,0.9,0.5,0.10032894736842105,16,1.0,0
4510,12011239,36,12015,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,4,373,0.9875,32.0,0.3333333333333333,37.0,0.15454545454545454,0.546875,UP,UP,1.0,1.0,0.5,0.10032894736842105,0,1.0,0
4516,12011239,39,12015,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,387,0.8875,36.0,0.36,50.0,0.15454545454545454,0.5,IN,IN,1.0,0.9875,0.3333333333333333,0.15454545454545454,2,1.0,0
4518,12011239,40,12015,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,6,387,0.8,32.0,0.36,64.0,0.2674176053400083,0.5,RIGHT,RIGHT,1.0,0.8875,0.36,0.15454545454545454,18,1.0,0
4520,12011239,41,12015,Absent,52,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,13,19,Unicorn_Absent,-1,-1.0,0,400,0.88125,33.0,0.41304347826086957,50.0,0.2674176053400083,0.484375,RS,RS,0.006737946999085467,0.8,0.36,0.2674176053400083,32,1.0,0
