level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
23351,0,9742313430,12,974231,Absent,48,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,-64,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23351,0,26.490084033613446,-64.0,76,0.4,36,0.19047619047619047,36.0,0.8095238095238095,0.5625,0.007454186295369829,1.0,0.16216216216216217,0.8378378378378378,0.0,0.023714766002371646
23353,0,9742313430,14,974231,Absent,54,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,18,14,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,ALL,23353,0,26.490084033613446,26.490084033613446,94,0.9125,38,0.37037037037037035,44.0,0.37037037037037035,0.46875,0.0061027272741740034,0.4,0.19047619047619047,0.8095238095238095,0.0,0.007454186295369829
23354,0,9742313430,15,974231,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,20,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,ALL,ALL,RS,23354,0,26.490084033613446,26.490084033613446,106,0.875,64,0.59375,64.0,0.40625,0.6875,1.0,0.9125,0.37037037037037035,0.37037037037037035,14.0,0.0061027272741740034
23355,0,9742313430,16,974231,Absent,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-16,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,IN,23355,0,26.490084033613446,-16.0,90,0.7,10,0.15625,10.0,0.15625,0.15625,0.04232921962320499,0.875,0.59375,0.40625,20.0,1.0
23358,0,9742313430,19,974231,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12,20,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,IN,IN,RS,23358,0,26.490084033613446,26.490084033613446,102,0.875,36,0.12195121951219512,48.0,0.12195121951219512,0.4375,1.0,0.7,0.15625,0.15625,0.0,0.04232921962320499
23359,0,9742313430,20,974231,Absent,38,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,-16,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23359,0,26.490084033613446,-16.0,86,0.7,29,0.32653061224489793,29.0,0.32653061224489793,0.453125,0.006737946999085467,0.875,0.12195121951219512,0.12195121951219512,20.0,1.0
23362,0,9742313430,23,974231,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,23362,0,26.490084033613446,26.490084033613446,118,1.0,3,0.03225806451612903,19.0,0.03225806451612903,0.296875,0.17692120631776423,0.7,0.32653061224489793,0.32653061224489793,0.0,0.006737946999085467
23363,0,9742313430,24,974231,Absent,20,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23363,0,26.490084033613446,-45.75,145,0.96875,18,0.05,29.0,0.95,0.375,0.01436959609043909,1.0,0.03225806451612903,0.03225806451612903,0.0,0.17692120631776423
23368,0,9742313430,29,974231,Absent,56,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23368,0,26.490084033613446,-7.375,167,0.9375,39,0.26666666666666666,48.0,0.059770114942528735,0.59375,0.006737946999085467,0.96875,0.05,0.95,5.0,0.01436959609043909
23377,0,9742313430,38,974231,Absent,44,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,-1,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23377,0,26.490084033613446,-1.6666666666666667,166,0.79375,32,0.33962264150943394,32.0,0.33962264150943394,0.5,0.005034190088132767,0.9375,0.26666666666666666,0.059770114942528735,10.0,0.006737946999085467
