level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,0,4729962094,1,62094,Absent,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20,2,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,0,0,24.696428571428573,20.0,20,0.925,10,,42.0,,0.625,0.04232921962320499,,,,,
2,0,4729962094,3,62094,Absent,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,LEFT,2,0,24.696428571428573,-16.0,49,0.98125,9,0.05555555555555555,30.0,0.2333333333333333,0.421875,0.049787068367863944,0.925,,,2.0,0.04232921962320499
5,0,4729962094,6,62094,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,LEFT,LEFT,LEFT,5,0,24.696428571428573,24.696428571428573,81,1.0,32,0.05128205128205128,32.0,0.05128205128205128,0.5,1.0,0.98125,0.05555555555555555,0.2333333333333333,3.0,0.049787068367863944
6,0,4729962094,7,62094,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-68,0,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,LEFT,LEFT,LEFT,6,0,24.696428571428573,-68.0,13,0.375,32,1.0,32.0,0.0,0.5,1.0,1.0,0.05128205128205128,0.05128205128205128,0.0,1.0
9,0,4729962094,10,62094,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,18,14,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,LEFT,LEFT,RS,9,0,24.696428571428573,-34.5,31,0.9125,32,1.0,41.0,1.0,0.421875,1.0,0.375,1.0,0.0,0.0,1.0
12,0,4729962094,13,62094,Absent,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,28,4,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,NOTHING,12,0,24.696428571428573,24.696428571428573,59,0.975,13,0.15384615384615385,23.0,0.03263403263403264,0.296875,0.02717246117223556,0.9125,1.0,1.0,14.0,1.0
13,0,4729962094,14,62094,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,ALL,13,0,24.696428571428573,-16.0,43,0.7,0,0.0,32.0,0.21052631578947367,0.5,1.0,0.975,0.15384615384615385,0.03263403263403264,4.0,0.02717246117223556
16,0,4729962094,17,62094,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,35,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,ALL,ALL,LEFT,16,0,24.696428571428573,30.5,40,0.78125,64,0.0,64.0,0.3137254901960784,0.453125,1.0,0.7,0.0,0.21052631578947367,0.0,1.0
19,0,4729962094,20,62094,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-17,0,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,LEFT,LEFT,RS,19,0,24.696428571428573,-17.5,23,0.69375,32,0.5,32.0,0.5,0.5,1.0,0.78125,0.0,0.3137254901960784,35.0,1.0
22,0,4729962094,23,62094,Absent,18,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,29,3,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,22,0,24.696428571428573,24.696428571428573,52,0.98125,16,0.2,19.0,0.2,0.25,0.01831563888873418,0.69375,0.5,0.5,0.0,1.0
