level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
4,0,1656150178,5,165617,Absent,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,4,0,22.662251655629138,32.0,32,1.0,10,,10.0,,0.15625,0.04232921962320499,,,,,
6,0,1656150178,7,165617,Absent,46,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,-64,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,NOTHING,6,0,22.662251655629138,-64.0,-32,0.4,35,0.125,35.0,0.875,0.546875,0.006737946999085467,1.0,,,0.0,0.04232921962320499
8,0,1656150178,9,165617,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,8,0,22.662251655629138,22.662251655629138,0,1.0,0,0.0,36.0,0.0,0.5625,1.0,0.4,0.125,0.875,0.0,0.006737946999085467
9,0,1656150178,10,165617,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,9,0,22.662251655629138,22.662251655629138,32,1.0,0,1.0,28.0,0.6666666666666667,0.4375,1.0,1.0,0.0,0.0,0.0,1.0
10,0,1656150178,11,165617,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,NOTHING,10,0,22.662251655629138,32.0,64,1.0,0,1.0,28.0,0.0,0.4375,1.0,1.0,1.0,0.6666666666666667,0.0,1.0
12,0,1656150178,13,165617,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,RS,12,0,22.662251655629138,-64.0,0,0.4,0,1.0,38.0,0.625,0.59375,1.0,1.0,1.0,0.0,0.0,1.0
14,0,1656150178,15,165617,Absent,29,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,10,22,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,14,0,22.662251655629138,22.662251655629138,10,0.8625,22,0.0,64.0,0.59375,0.65625,0.009182867495108389,0.4,1.0,0.625,0.0,1.0
15,0,1656150178,16,165617,Absent,37,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,19,13,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,IN,15,0,22.662251655629138,22.662251655629138,29,0.91875,27,0.225,46.0,0.275,0.515625,0.006737946999085467,0.8625,0.0,0.59375,22.0,0.009182867495108389
16,0,1656150178,17,165617,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,17,15,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,IN,IN,ALL,16,0,22.662251655629138,8.0,46,0.90625,36,0.23529411764705882,43.0,0.0817790530846485,0.4375,1.0,0.91875,0.225,0.275,13.0,0.006737946999085467
21,0,1656150178,22,165617,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,10,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,ALL,ALL,NOTHING,21,0,22.662251655629138,32.0,68,0.9375,64,0.5625,64.0,0.3773148148148148,0.84375,1.0,0.90625,0.23529411764705882,0.0817790530846485,15.0,1.0
