"par","value","feval","restarts","convergence","message"
0.0268224512181369,8435.2972952884,828,0,0,"Successful convergence"
0.0200617976829176,8435.2972952884,828,0,0,"Successful convergence"
0.0820127294197488,8435.2972952884,828,0,0,"Successful convergence"
0.047872344471535,8435.2972952884,828,0,0,"Successful convergence"
0.0225557181371183,8435.2972952884,828,0,0,"Successful convergence"
299.541603690784,8435.2972952884,828,0,0,"Successful convergence"
31.9964848316398,8435.2972952884,828,0,0,"Successful convergence"
2.29569883103409e-05,8435.2972952884,828,0,0,"Successful convergence"
999.885248478516,8435.2972952884,828,0,0,"Successful convergence"
0.892772968781146,8435.2972952884,828,0,0,"Successful convergence"
