level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1
908,1800,10103809,1,101015,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1,Unicorn_Absent,-1,-1.0,0,31,0.99375,2.0,1.0,20.0,0.0,0.296875,RS,0.5488116360940265,,,,,
910,1802,10103809,2,101015,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1,Unicorn_Absent,-1,-1.0,0,62,0.99375,2.0,1.0,20.0,0.0,0.296875,RS,0.5488116360940265,0.99375,1.0,0.0,1,0.5488116360940265
912,1806,10103809,4,101015,Absent,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28,4,Unicorn_Absent,-1,-1.0,0,25,0.975,8.0,0.1111111111111111,36.0,0.0,0.5,RS,0.387250581508453,0.99375,1.0,0.0,1,0.5488116360940265
914,1810,10103809,6,101015,Absent,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,28,4,Unicorn_Absent,-1,-1.0,0,85,0.975,7.0,0.0,35.0,0.0,0.484375,RS,0.40656965974059917,0.975,0.1111111111111111,0.0,4,0.387250581508453
916,1812,10103809,7,101015,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,4,101,0.9,32.0,0.11428571428571428,48.0,0.07493540051679587,0.5,UP,0.18818508442027443,0.975,0.0,0.0,4,0.40656965974059917
918,1818,10103809,10,101015,Absent,22,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,7,Unicorn_Absent,-1,-1.0,0,-14,0.95625,18.0,0.13636363636363635,46.0,0.07493540051679587,0.609375,RS,0.2614163880174534,0.9,0.11428571428571428,0.07493540051679587,16,0.18818508442027443
920,1820,10103809,11,101015,Absent,49,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,0,-2,0.875,37.0,0.1956521739130435,53.0,1.0,0.515625,RS,0.15734346296411772,0.95625,0.13636363636363635,0.07493540051679587,7,0.2614163880174534
922,1824,10103809,13,101015,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,7,Unicorn_Absent,-1,-1.0,1,-41,0.95625,64.0,0.578125,64.0,1.0,0.890625,ALL,0.0924417853680727,0.875,0.1956521739130435,1.0,20,0.15734346296411772
924,1826,10103809,14,101015,Absent,63,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,29,3,Unicorn_Absent,-1,-1.0,0,-12,0.98125,43.0,0.671875,45.0,0.8857142857142857,0.65625,RS,0.13669886006878335,0.95625,0.578125,1.0,7,0.0924417853680727
926,1828,10103809,15,101015,Absent,35,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,28,4,Unicorn_Absent,-1,-1.0,0,16,0.975,27.0,0.34615384615384615,28.0,0.8857142857142857,0.375,RS,0.20444612479589325,0.98125,0.671875,0.8857142857142857,3,0.13669886006878335
