level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
2099,4253,93382748,27,274877,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12,20,Unicorn_Absent,-1,-1,7,325,0.875,36.0,0.5625,50.0,0.0,0.46875,IN,0.15734346296411772,0.8,0.5,0.0,32,0.0924417853680727,0.05,0
2101,4255,93382748,28,274877,Absent,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1,9,351,0.9625,12.0,0.14285714285714285,40.0,0.0,0.53125,,0.32546601999734803,0.875,0.5625,0.0,20,0.15734346296411772,0.05,0
2103,4257,93382748,29,274877,Absent,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1,9,377,0.9625,12.0,1.0,40.0,0.010489510489510467,0.53125,,0.32546601999734803,0.9625,0.14285714285714285,0.0,6,0.32546601999734803,0.05,0
2105,4259,93382748,30,274877,Absent,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1,9,403,0.9625,12.0,1.0,40.0,0.010489510489510467,0.53125,,0.32546601999734803,0.9625,1.0,0.010489510489510467,6,0.32546601999734803,0.05,0
2107,4261,93382748,31,274877,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12,20,Unicorn_Absent,-1,-1,7,415,0.875,36.0,0.14285714285714285,50.0,0.18972332015810278,0.46875,IN,0.15734346296411772,0.9625,1.0,0.010489510489510467,6,0.32546601999734803,0.05,0
2109,4263,93382748,32,274877,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1,6,431,0.9,32.0,0.36,48.0,0.18972332015810278,0.5,RIGHT,0.17389813739634405,0.875,0.14285714285714285,0.18972332015810278,20,0.15734346296411772,0.05,0
2111,4267,93382748,34,274877,Absent,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32,0,Unicorn_Absent,-1,-1,9,399,1.0,9.0,0.07894736842105263,9.0,0.01907556859867937,0.140625,,0.36972808936944906,0.9,0.36,0.18972332015810278,16,0.17389813739634405,0.05,0
2113,4269,93382748,35,274877,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,9,431,1.0,0.0,0.0,5.0,0.01907556859867937,0.078125,,0.6542510918525355,1.0,0.07894736842105263,0.01907556859867937,0,0.36972808936944906,0.05,0
2115,4271,93382748,36,274877,Absent,14,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,31,1,Unicorn_Absent,-1,-1,9,462,0.99375,14.0,0.0,24.0,0.607843137254902,0.359375,,0.30119421191220214,1.0,0.0,0.01907556859867937,0,0.6542510918525355,0.05,0
2117,4273,93382748,37,274877,Absent,33,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1,9,482,0.925,26.0,0.14285714285714285,46.0,0.607843137254902,0.53125,,0.22313016014842982,0.99375,0.0,0.607843137254902,1,0.30119421191220214,0.05,0
