level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1
2479,4871,83327552,36,755212,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,623,1.0,32.0,1.0,64.0,0.0,1.0,RIGHT,0.17389813739634405,1.0,1.0,0.0,0,0.17389813739634405
2481,4873,83327552,37,755212,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,655,1.0,32.0,1.0,64.0,0.0,1.0,RIGHT,0.17389813739634405,1.0,1.0,0.0,0,0.17389813739634405
2483,4879,83327552,40,755212,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,751,1.0,32.0,1.0,64.0,0.0,1.0,RIGHT,0.17389813739634405,1.0,1.0,0.0,0,0.17389813739634405
2485,4895,83327552,48,755212,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,31,1,Unicorn_Absent,-1,-1.0,6,893,0.99375,32.0,1.0,35.0,0.0,0.53125,RIGHT,0.17389813739634405,1.0,1.0,0.0,0,0.17389813739634405
2487,4897,83327552,49,755212,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,31,1,Unicorn_Absent,-1,-1.0,6,924,0.99375,32.0,1.0,35.0,0.0,0.53125,RIGHT,0.17389813739634405,0.99375,1.0,0.0,1,0.17389813739634405
2489,4899,83327552,50,755212,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,31,1,Unicorn_Absent,-1,-1.0,6,955,0.99375,32.0,1.0,35.0,0.0,0.53125,RIGHT,0.17389813739634405,0.99375,1.0,0.0,1,0.17389813739634405
2491,4901,83327552,51,755212,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,31,1,Unicorn_Absent,-1,-1.0,6,986,0.99375,32.0,1.0,35.0,0.0,0.53125,RIGHT,0.17389813739634405,0.99375,1.0,0.0,1,0.17389813739634405
2493,4905,83327552,53,755212,Absent,26,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,25,7,Unicorn_Absent,-1,-1.0,9,946,0.95625,19.0,0.275,39.0,0.0,0.5,,0.2528970706306086,0.99375,1.0,0.0,1,0.17389813739634405
2495,4907,83327552,54,755212,Absent,58,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,977,0.99375,35.0,0.2857142857142857,36.0,0.0,0.546875,,0.16529888822158656,0.95625,0.275,0.0,7,0.2528970706306086
2497,4909,83327552,55,755212,Absent,58,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,1008,0.99375,35.0,1.0,36.0,0.0,0.546875,,0.16529888822158656,0.99375,0.2857142857142857,0.0,1,0.16529888822158656
2499,4911,83327552,56,755212,Absent,58,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,1039,0.99375,35.0,1.0,36.0,0.0,0.546875,,0.16529888822158656,0.99375,1.0,0.0,1,0.16529888822158656
2501,4919,83327552,60,755212,Absent,58,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,1166,0.99375,35.0,1.0,36.0,0.0,0.546875,,0.16529888822158656,0.99375,1.0,0.0,1,0.16529888822158656
2448,4804,83327552,3,833294,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,90,1.0,0.0,1.0,37.0,0.0,0.578125,RS,0.6542510918525355,,,,,
2450,4810,83327552,6,833294,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,90,1.0,0.0,1.0,32.0,0.0,0.5,NOTHING,0.6542510918525355,1.0,1.0,0.0,0,0.6542510918525355
2452,4814,83327552,8,833294,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,154,1.0,0.0,1.0,32.0,0.0,0.5,NOTHING,0.6542510918525355,1.0,1.0,0.0,0,0.6542510918525355
2454,4826,83327552,14,833294,Absent,33,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,22,10,Unicorn_Absent,-1,-1.0,0,48,0.9375,25.0,0.0,40.0,0.0,0.46875,RS,0.21659936976800023,1.0,1.0,0.0,0,0.6542510918525355
2456,4828,83327552,15,833294,Absent,44,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,13,19,Unicorn_Absent,-1,-1.0,0,61,0.88125,28.0,0.20454545454545456,48.0,0.0,0.453125,RS,0.19336654922791888,0.9375,0.0,0.0,10,0.21659936976800023
2458,4842,83327552,22,833294,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,175,1.0,32.0,0.30434782608695654,64.0,0.0,1.0,LEFT,0.18818508442027443,0.88125,0.20454545454545456,0.0,19,0.19336654922791888
2460,4848,83327552,25,833294,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,271,1.0,32.0,1.0,64.0,0.0,1.0,LEFT,0.18818508442027443,1.0,0.30434782608695654,0.0,0,0.18818508442027443
2462,4852,83327552,27,833294,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,335,1.0,32.0,1.0,64.0,0.0,1.0,LEFT,0.18818508442027443,1.0,1.0,0.0,0,0.18818508442027443
2464,4854,83327552,28,833294,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,367,1.0,32.0,1.0,64.0,0.0,1.0,LEFT,0.18818508442027443,1.0,1.0,0.0,0,0.18818508442027443
2466,4856,83327552,29,833294,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,399,1.0,32.0,1.0,64.0,0.9090909090909091,1.0,LEFT,0.18818508442027443,1.0,1.0,0.0,0,0.18818508442027443
2468,4858,83327552,30,833294,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,431,1.0,32.0,1.0,64.0,0.9090909090909091,1.0,LEFT,0.18818508442027443,1.0,1.0,0.9090909090909091,0,0.18818508442027443
