level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Zeta
103,243,11144911,2,49112,Absent,29,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,18,14,Unicorn_Absent,-1,-1.0,9,40,0.9125,21.0,1.0,45.0,0.0,0.484375,,0.24484627166971443,,,,,,100,5
105,251,11144911,6,49112,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,-33,1.0,0.0,0.0,28.0,0.0,0.4375,NOTHING,0.6542510918525355,0.9125,1.0,0.0,14,0.24484627166971443,100,5
107,253,11144911,7,49112,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,-1,1.0,0.0,1.0,28.0,0.43478260869565216,0.4375,NOTHING,0.6542510918525355,1.0,0.0,0.0,0,0.6542510918525355,100,5
109,261,11144911,11,49112,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,-65,1.0,0.0,1.0,32.0,0.43478260869565216,0.5,NOTHING,0.6542510918525355,1.0,1.0,0.43478260869565216,0,0.6542510918525355,100,5
111,263,11144911,12,49112,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,-33,1.0,0.0,1.0,32.0,0.0,0.5,NOTHING,0.6542510918525355,1.0,1.0,0.43478260869565216,0,0.6542510918525355,100,5
113,265,11144911,13,49112,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,-1,1.0,0.0,1.0,32.0,0.0,0.5,NOTHING,0.6542510918525355,1.0,1.0,0.0,0,0.6542510918525355,100,5
115,267,11144911,14,49112,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,31,1.0,0.0,1.0,32.0,0.6956521739130435,0.5,NOTHING,0.6542510918525355,1.0,1.0,0.0,0,0.6542510918525355,100,5
117,269,11144911,15,49112,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,63,1.0,0.0,1.0,32.0,0.6956521739130435,0.5,NOTHING,0.6542510918525355,1.0,1.0,0.6956521739130435,0,0.6542510918525355,100,5
119,271,11144911,16,49112,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,95,1.0,0.0,1.0,32.0,0.0,0.5,NOTHING,0.6542510918525355,1.0,1.0,0.6956521739130435,0,0.6542510918525355,100,5
121,275,11144911,18,49112,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,45,0.8875,36.0,0.0,50.0,0.0,0.5,IN,0.15734346296411772,1.0,1.0,0.0,0,0.6542510918525355,100,5
123,277,11144911,19,49112,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,59,0.8875,36.0,1.0,50.0,0.0,0.5,IN,0.15734346296411772,0.8875,0.0,0.0,18,0.15734346296411772,100,5
125,289,11144911,25,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,2,0.9,32.0,0.36,47.0,0.0,0.484375,RIGHT,0.17389813739634405,0.8875,1.0,0.0,18,0.15734346296411772,100,5
127,291,11144911,26,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,18,0.9,32.0,1.0,47.0,0.0,0.484375,RIGHT,0.17389813739634405,0.9,0.36,0.0,16,0.17389813739634405,100,5
129,293,11144911,27,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,32,0.8875,32.0,1.0,50.0,0.0,0.5,RIGHT,0.17389813739634405,0.9,1.0,0.0,16,0.17389813739634405,100,5
131,295,11144911,28,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,46,0.8875,32.0,1.0,50.0,0.0,0.5,RIGHT,0.17389813739634405,0.8875,1.0,0.0,18,0.17389813739634405,100,5
133,299,11144911,30,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,21,11,Unicorn_Absent,-1,-1.0,6,97,0.93125,32.0,1.0,40.0,0.0,0.453125,RIGHT,0.17389813739634405,0.8875,1.0,0.0,18,0.17389813739634405,100,5
135,301,11144911,31,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,129,1.0,32.0,1.0,64.0,0.0,1.0,RIGHT,0.17389813739634405,0.93125,1.0,0.0,11,0.17389813739634405,100,5
137,303,11144911,32,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,161,1.0,32.0,1.0,64.0,0.0,1.0,RIGHT,0.17389813739634405,1.0,1.0,0.0,0,0.17389813739634405,100,5
139,307,11144911,34,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,225,1.0,32.0,1.0,64.0,1.0,1.0,RIGHT,0.17389813739634405,1.0,1.0,0.0,0,0.17389813739634405,100,5
141,317,11144911,39,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,385,1.0,32.0,1.0,64.0,1.0,1.0,RIGHT,0.17389813739634405,1.0,1.0,1.0,0,0.17389813739634405,100,5
143,323,11144911,42,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,481,1.0,32.0,1.0,64.0,1.0,1.0,RIGHT,0.17389813739634405,1.0,1.0,1.0,0,0.17389813739634405,100,5
145,325,11144911,43,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,513,1.0,32.0,1.0,64.0,1.0,1.0,RIGHT,0.17389813739634405,1.0,1.0,1.0,0,0.17389813739634405,100,5
147,327,11144911,44,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,545,1.0,32.0,1.0,64.0,0.04749999999999999,1.0,RIGHT,0.17389813739634405,1.0,1.0,1.0,0,0.17389813739634405,100,5
149,329,11144911,45,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,577,1.0,32.0,1.0,64.0,0.04749999999999999,1.0,RIGHT,0.17389813739634405,1.0,1.0,0.04749999999999999,0,0.17389813739634405,100,5
151,339,11144911,50,49112,Absent,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,735,0.99375,3.0,0.06060606060606061,34.0,0.0,0.515625,,0.5112889476777818,1.0,1.0,0.04749999999999999,0,0.17389813739634405,100,5
153,341,11144911,51,49112,Absent,58,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,16,16,Unicorn_Absent,-1,-1.0,9,751,0.9,39.0,0.07692307692307693,55.0,0.0,0.609375,,0.149963012878635,0.99375,0.06060606060606061,0.0,1,0.5112889476777818,100,5
155,343,11144911,52,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,6,751,0.8,32.0,0.4791666666666667,32.0,0.7592592592592593,0.0,RIGHT,0.17389813739634405,0.9,0.07692307692307693,0.0,16,0.149963012878635,100,5
157,349,11144911,55,49112,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,559,0.8,32.0,0.0,32.0,0.7592592592592593,0.0,LEFT,0.18818508442027443,0.8,0.4791666666666667,0.7592592592592593,32,0.17389813739634405,100,5
159,351,11144911,56,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,6,559,0.8,32.0,0.0,32.0,0.0,0.0,RIGHT,0.17389813739634405,0.8,0.0,0.7592592592592593,32,0.18818508442027443,100,5
161,355,11144911,58,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,6,463,0.8,32.0,1.0,32.0,0.0,0.0,RIGHT,0.17389813739634405,0.8,0.0,0.0,32,0.17389813739634405,100,5
163,357,11144911,59,49112,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,495,1.0,32.0,1.0,64.0,0.75,1.0,RIGHT,0.17389813739634405,0.8,1.0,0.0,32,0.17389813739634405,100,5
