index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,RegionGo2,Similarity_LAG1
3156,505-833,37,505-833PL1,Absent,31311,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,59,56,55,51,0,26,24,61,58,57,54,52,22,25,23,63,5,21,53,50,8,27,7,64,67,68,4,49,9,29,28,65,66,69,3,6,33,31,30,47,44,46,19,48,32,34,10,43,18,42,14,13,39,38,35,1,41,2,40,12,11,37,36,31,1,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,3156,0,16.557488653555218,32.0,464,0.99375,63,0.23809523809523808,63,0.23809523809523808,0.96875,0.984375,1.0,0.234375,0.234375,0.0,RS,RS,0.2702702702702703
3159,505-833,40,505-833PL1,Absent,20360,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,14,0,12,0,11,0,0,9,0,13,0,32,0,10,0,0,31,0,2,0,33,38,0,8,30,7,0,35,37,36,0,29,0,16,0,6,34,0,27,28,17,0,0,0,19,0,0,15,0,0,18,5,0,0,25,24,23,22,0,21,0,20,24,8,Unicorn_Absent,-1,-1,Unicorn_Present,RS,3159,0,16.557488653555218,30.0,488,0.95,34,0.5396825396825397,42,0.5396825396825397,0.53125,0.53125,0.99375,0.23809523809523808,0.23809523809523808,1.0,RS,RS,0.984375
3161,505-833,42,505-833PL1,Absent,16968,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,9,0,0,11,0,0,0,0,1,0,0,0,0,29,3,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,3161,0,16.557488653555218,16.557488653555218,517,0.98125,10,0.1282051282051282,32,0.010683760683760701,0.453125,0.21052631578947367,0.95,0.5396825396825397,0.5396825396825397,8.0,RS,RS,0.53125
3162,505-833,43,505-833PL1,Absent,17038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,28,4,Unicorn_Absent,-1,-1,Unicorn_Present,RS,3162,0,16.557488653555218,32.0,545,0.975,7,0.0,23,0.45161290322580644,0.296875,0.12903225806451613,0.98125,0.1282051282051282,0.010683760683760701,3.0,RS,RS,0.21052631578947367
3164,505-833,45,505-833PL1,Absent,17496,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,8,0,23,0,0,0,0,0,24,0,22,7,14,3,0,13,25,10,0,0,0,0,0,0,0,21,6,0,15,12,0,0,0,20,0,1,16,0,0,2,0,0,19,0,0,0,17,0,4,0,0,0,18,0,9,0,0,11,0,0,5,0,0,0,26,6,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,3164,0,16.557488653555218,16.557488653555218,571,0.9625,25,0.06666666666666667,37,0.2904761904761905,0.484375,0.390625,0.975,0.0,0.45161290322580644,4.0,RS,RS,0.12903225806451613
3165,505-833,46,505-833PL1,Present,10449,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,3165,0,16.557488653555218,16.557488653555218,507,0.4,4,0.03571428571428571,16,0.26863354037267084,0.25,0.09090909090909091,0.9625,0.06666666666666667,0.2904761904761905,6.0,RS,RS,0.390625
3166,505-833,47,505-833PL1,Absent,22080,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,6,0,17,29,26,28,7,0,0,18,0,16,27,1,0,0,0,0,30,20,2,24,0,0,3,31,15,0,22,0,41,10,0,0,11,0,0,0,0,40,4,32,0,33,0,5,0,9,39,0,34,12,14,0,0,42,0,38,37,36,13,0,14,18,Unicorn_Absent,-1,-1,Unicorn_Present,RS,3166,0,16.557488653555218,-64.0,521,0.8875,36,0.02564102564102564,38,0.15954415954415954,0.3125,0.5625,0.4,0.03571428571428571,0.26863354037267084,0.0,RS,NOTHING,0.09090909090909091
3168,505-833,49,505-833PL1,Present,11272,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,17,0,16,0,0,0,0,5,0,6,0,0,0,15,0,0,0,0,0,11,2,14,0,0,0,18,0,0,0,13,0,9,0,3,0,12,0,0,4,0,0,0,0,10,0,0,0,0,0,1,0,0,7,0,0,8,0,0,0,0,0,0,0,0,-72,8,Unicorn_Absent,-1,-1,Unicorn_Present,RS,3168,0,16.557488653555218,13.666666666666666,449,0.35,18,0.2,33,0.06842105263157897,0.390625,0.3170731707317073,0.8875,0.02564102564102564,0.15954415954415954,18.0,NOTHING,RS,0.5625
3175,505-833,56,505-833PL1,Absent,17255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,Unicorn_Absent,-1,-1,Unicorn_Present,NOTHING,3175,0,16.557488653555218,-17.5,432,0.69375,0,0.0,33,0.24444444444444444,0.515625,,0.35,0.2,0.06842105263157897,8.0,RS,,0.3170731707317073
3178,505-833,59,505-833PL1,Absent,26521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,Unicorn_Present,RS,3178,0,16.557488653555218,29.0,461,0.98125,5,0.0,40,0.2909090909090909,0.578125,0.12121212121212122,0.69375,0.0,0.24444444444444444,0.0,,,
