index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,RegionGo,RegionGo2
4336.0,6612215646,16,156464,Absent,33.0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,20.0,14,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,202.0,1.0,13.0,RS,5371,0,20.0,20.0,34,0.32653061224489793,49,0.00044365572315879787,0.546875,15.0,0.89375,0.2830188679245283,0.12123645122440785,RS,RS
4337.0,6612215646,18,156464,Absent,48.0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,17.0,15,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,226.0,0.90625,17.0,RS,5374,0,17.0,-28.0,29,0.3125,46,0.013586956521739135,0.484375,20.0,1.0,0.32653061224489793,0.00044365572315879787,RS,RS
4340.0,6612215646,19,156464,Absent,34.0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,-28.0,16,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,154.0,1.0,14.0,RS,5375,0,-28.0,-28.0,36,0.4444444444444444,51,0.15873015873015872,0.546875,17.0,0.90625,0.3125,0.013586956521739135,RS,RS
4342.0,6612215646,23,156464,Absent,46.0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,18.0,14,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,129.0,0.9125,12.0,RS,5380,0,18.0,11.0,35,0.3148148148148148,53,0.029100529100529127,0.609375,-28.0,1.0,0.4444444444444444,0.15873015873015872,RS,RS
4343.0,6612215646,24,156464,Absent,47.0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,11.0,21,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,140.0,0.86875,14.0,RS,5381,0,11.0,20.0,35,0.34615384615384615,50,0.2352415026833632,0.453125,18.0,0.9125,0.3148148148148148,0.029100529100529127,RS,LEFT
4344.0,6612215646,25,156464,Absent,46.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,20.0,12,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,160.0,0.925,21.0,RS,5382,0,20.0,16.0,32,0.3673469387755102,49,0.015631784628745093,0.578125,11.0,0.86875,0.34615384615384615,0.2352415026833632,LEFT,RS
4345.0,6612215646,26,156464,Absent,32.0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16.0,16,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,176.0,0.9,12.0,LEFT,5383,0,16.0,-84.0,32,0.2549019607843137,48,0.04297037964121819,0.5,20.0,0.925,0.3673469387755102,0.015631784628745093,RS,RS
4346.0,6612215646,27,156464,Absent,52.0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,-84.0,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,92.0,1.0,16.0,RS,5384,0,-84.0,-84.0,34,0.375,50,0.011363636363636354,0.59375,16.0,0.9,0.2549019607843137,0.04297037964121819,RS,RIGHT
4347.0,6612215646,28,156464,Absent,50.0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,14.0,18,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,106.0,0.8875,20.0,RS,5386,0,14.0,32.0,34,0.44680851063829785,48,0.0831721470019342,0.46875,-84.0,1.0,0.375,0.011363636363636354,RIGHT,RIGHT
4349.0,6612215646,29,156464,Absent,4.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32.0,17,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,154.0,1.0,9.0,RIGHT,5387,0,32.0,32.0,32,0.29411764705882354,46,0.04630788485607007,0.453125,14.0,0.8875,0.44680851063829785,0.0831721470019342,RIGHT,RS
4350.0,6612215646,31,156464,Absent,32.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,15.0,17,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,185.0,0.89375,0.0,RIGHT,5390,0,15.0,10.0,32,1.0,46,0.0,0.453125,32.0,1.0,0.29411764705882354,0.04630788485607007,RS,RS
4351.0,6612215646,32,156464,Absent,47.0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,10.0,22,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,195.0,0.8625,17.0,RS,5391,0,10.0,22.0,36,0.3333333333333333,46,0.020833333333333315,0.375,15.0,0.89375,1.0,0.0,RS,RS
4353.0,6612215646,33,156464,Absent,29.0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,22.0,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,229.0,1.0,15.0,RS,5392,0,22.0,22.0,26,0.3191489361702128,42,0.04255319148936171,0.46875,10.0,0.8625,0.3333333333333333,0.020833333333333315,RS,RS
4354.0,6612215646,35,156464,Absent,40.0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,17.0,15,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,255.0,0.90625,13.0,RS,5395,0,17.0,14.0,30,0.2727272727272727,47,0.0038684719535783674,0.5,22.0,1.0,0.3191489361702128,0.04255319148936171,RS,UP
4355.0,6612215646,36,156464,Absent,44.0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,14.0,18,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,269.0,0.8875,15.0,RS,5396,0,14.0,13.0,32,0.24,46,0.09333333333333332,0.4375,17.0,0.90625,0.2727272727272727,0.0038684719535783674,UP,RS
4356.0,6612215646,37,156464,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,19,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,282.0,0.88125,18.0,UP,5397,0,13.0,29.0,32,0.391304347826087,42,0.06107660455486541,0.359375,14.0,0.8875,0.24,0.09333333333333332,RS,RIGHT
4358.0,6612215646,38,156464,Absent,17.0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,29.0,17,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,324.0,1.0,12.0,RS,5398,0,29.0,29.0,32,0.3333333333333333,44,0.015503875968992276,0.421875,13.0,0.88125,0.391304347826087,0.06107660455486541,RIGHT,LEFT
