level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
0,0,10481713,1,104835,Absent,43,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,20,12,Unicorn_Absent,-1,-1,0,20,0.925,34.0,1.0,46.0,0.0,0.53125,RS,0.16951329224194475,,,,,,0.05,1
2,4,10481713,3,104835,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1,1,-44,0.8,64.0,0.53125,64.0,0.0,0.5,ALL,0.0924417853680727,0.925,1.0,0.0,12,0.16951329224194475,0.05,1
4,6,10481713,4,104835,Absent,44,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,13,19,Unicorn_Absent,-1,-1,0,-31,0.88125,36.0,0.5625,49.0,0.2585227272727273,0.46875,RS,0.16951329224194475,0.8,0.53125,0.0,32,0.0924417853680727,0.05,1
6,10,10481713,6,104835,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,33,1.0,32.0,0.3333333333333333,64.0,0.2585227272727273,1.0,DOWN,0.17389813739634405,0.88125,0.5625,0.2585227272727273,19,0.16951329224194475,0.05,1
8,12,10481713,7,104835,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1,6,49,0.9,32.0,0.3333333333333333,48.0,0.22916666666666669,0.5,RIGHT,0.17389813739634405,1.0,0.3333333333333333,0.2585227272727273,0,0.17389813739634405,0.05,1
10,18,10481713,10,104835,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1,6,113,0.8,32.0,1.0,64.0,0.22916666666666669,0.5,RIGHT,0.17389813739634405,0.9,0.3333333333333333,0.22916666666666669,16,0.17389813739634405,0.05,1
12,24,10481713,13,104835,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1,8,166,0.9125,28.0,0.30434782608695654,46.0,0.6666666666666667,0.5,OUT,0.2103787656745015,0.8,1.0,0.22916666666666669,32,0.17389813739634405,0.05,1
14,32,10481713,17,104835,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,7,180,0.8875,36.0,0.0,50.0,0.6666666666666667,0.5,IN,0.15734346296411772,0.9125,0.30434782608695654,0.6666666666666667,14,0.2103787656745015,0.05,1
16,34,10481713,18,104835,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,4,212,1.0,32.0,0.36,64.0,0.6666666666666667,1.0,UP,0.18818508442027443,0.8875,0.0,0.6666666666666667,18,0.15734346296411772,0.05,1
18,44,10481713,23,104835,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,4,372,1.0,32.0,1.0,64.0,0.6666666666666667,1.0,UP,0.18818508442027443,1.0,0.36,0.6666666666666667,0,0.18818508442027443,0.05,1
