Dyad,Player,Round,Category,RegionCoded,RegionGo,Score,JointRegion
142-263,142-263PL1,14,RS,aefhjBDEHRTWXZ47:,RS,28,jBTZ
142-263,142-263PL1,16,RS,abcfjluwzBDEHOPQSVY1479:,RS,20,ajluwDOPSY9:
142-263,142-263PL1,18,RS,adghiklnsvxzBDGNQSXZ2469:,RS,20,hklvxzBDNSXZ
142-263,142-263PL1,20,RS,acdfglmqruvxABCEHKMOQSVY014679:,RS,11,acglqruvxACEHMOQSY067
142-263,142-263PL1,21,RS,adfhjmpquzEJLPSVWY158:,RS,22,jzEJLPSW18
142-263,142-263PL1,23,RS,acdfhkprtvzABCEFGIKMRUX01457:,RS,17,cfkpCFIKMRX017:
142-263,142-263PL1,26,RS,adfjlnoptwzCFGILNOPRTXY02347;,RS,13,fjlnozCFLNOPRXY037;
142-263,142-263PL1,27,RS,begijlnpsvyzADEGIJNOQSUVWY024689;:,RS,14,gipvAEGJQUVY2468;:
142-263,142-263PL1,28,RS,abcdghjlnotvzDFGJLMQSWXZ1245678:,RS,11,acgjlnotvzDFGMQXZ2568
142-263,142-263PL1,29,RS,acefhkmpqrstxBDFHLNOQRSTWZ345789:,RS,14,ceqsxBDHNQRTWZ3578
142-263,142-263PL1,30,RS,abcdfhkruwxyBCDIMPSTVYZ024579:,RS,20,bfwyBDITV02:
142-263,142-263PL1,31,RS,abdfhloruACDFGIKMPRY046789:,RS,20,foruCDIKM079
142-263,142-263PL1,35,RS,bdfghijklnqstuwADHKLMNOQRXZ0247;,RS,17,fgijqsLNOQRZ27;
142-263,142-263PL1,37,RS,acdeghnrstuvxyzBDIKMORUVWY12468:,RS,19,acegnrtvDKMO4
142-263,142-263PL1,38,RS,acdegjloqstvxDGJKNPQUWXZ2469:,RS,17,dgjtvGKNQUWX69:
142-263,142-263PL1,39,RS,abdfhlsuvxyACEGHJKLNQRSUVX03468;,RS,22,huAJKSX348
142-263,142-263PL1,42,RS,bdfhjlosuwxzBDGHKLPRXZ013458:,RS,16,bdfjlowzBLXZ1345
142-263,142-263PL1,44,RS,bdfhkmopqsvyBFIKMORTVWX024679:,RS,14,bhovyBFIMORTV0246:
142-263,142-263PL1,45,RS,acdfkpsuyADFHKNPSYZ247;,RS,18,acfkpsuyAPSY27
142-263,142-263PL1,47,RS,abefghjlopqtvxyzBDFKPRXZ147:,RS,17,afgjtvxyzBKR147
142-263,142-263PL1,49,RS,adghjlopqsvxzBDFGHIKLMNOQTVXZ034578;:,RS,16,dhBDGIKMNQTZ358;
142-263,142-263PL1,52,RS,aceghiklmprtvxzCFGIMORTVXZ3479:,RS,15,acegkvxzCOVXZ379:
142-263,142-263PL1,55,RS,acfhkmoqrtwxADGHJNOQSUX03478;:,RS,6,acfhmoqrwADGHJNOQSUX0347;:
142-263,142-263PL1,57,RS,acghjlnpqstvBFGILNOQRSVX03468:,RS,11,acglnpsBFILNORVX0348:
142-263,142-263PL1,58,RS,bdfhikmnpqrtvxyACFHJKMOQSVXY134578;:,RS,13,bdinptxACFJKMXY137;
142-263,142-263PL1,59,RS,acefhiloqswyACHNPQSTWZ4578;:,,16,hilwyCHNQTWZ48;:
142-263,142-263PL2,3,RS,abcdfhijklmnovwyzBCEFJKLMPQSTV1479:,RS,13,adhjlnovyBEJQTV479:
142-263,142-263PL2,4,RS,acdefghijklmopsvwyzBCEFHIJKLOQTUWXZ0234568:,RS,11,acehilpyCFHJLTX02468:
142-263,142-263PL2,5,RS,abcdegijklmnoprsuvwxyzABCDEFGIJKLMNORSTUXYZ123456789;:,RS,8,adjmoruwyABCDJMRTUX2468:
142-263,142-263PL2,6,RS,abcdfiklmnostwABCEFHKMQRTUVZ026,RS,25,akoQU06
142-263,142-263PL2,7,RS,acefhilmnopqstuwzADFJKLMOPTVXZ023689:,RS,18,afhsuzDLOXZ68:
142-263,142-263PL2,8,RS,acglnprswCDEHJOTVY02379,RS,23,aclrEJOT9
142-263,142-263PL2,12,RS,abcdfgijkmopqrtvwyzACEFHIJLNQRSUVXYZ0126789:,RS,15,adfkqvzFHRUY1679:
142-263,142-263PL2,13,RS,abcfhjknqrtvxzABDEHIKLMPQRTVYZ0247:,RS,21,acfhnxKP47:
142-263,142-263PL2,14,RS,cdjlnrtuvwzBFIMOQSTUVZ569;,RS,28,jBTZ
142-263,142-263PL2,16,RS,adgjlpruvwyADIJLMNOPRSUY029:,RS,20,ajluwDOPSY9:
142-263,142-263PL2,18,RS,cehklmoqruvxzBCDEHJLMNPRSUVXZ037;,RS,20,hklvxzBDNSXZ
142-263,142-263PL2,20,RS,aceghklqrtuvxyzACEHIJLMNOQSTUWXYZ03678;,RS,11,acglqruvxACEHMOQSY067
142-263,142-263PL2,21,RS,bcgjkntvxzACEHJLNPQSUW0123678;,RS,22,jzEJLPSW18
142-263,142-263PL2,23,RS,cfikpqsuwxCDFIJKMOPQRTVX01279:,RS,17,cfkpCFIKMRX017:
142-263,142-263PL2,26,RS,befhjklnosvxzACEFJLMNOPQRSUVXY0379;,RS,13,fjlnozCFLNOPRXY037;
142-263,142-263PL2,27,RS,cdgikmpqrtvwABCEFGHJKLQTUVY12468;:,RS,14,gipvAEGJQUVY2468;:
142-263,142-263PL2,28,RS,acegijklnopqrstvwzBCDFGHIKMOPQTUVXZ2568;,RS,11,acgjlnotvzDFGMQXZ2568
142-263,142-263PL2,29,RS,cegjnqsuxzBDHMNQRTVWYZ0235678;,RS,14,ceqsxBDHNQRTWZ3578
142-263,142-263PL2,30,RS,befgijlmnopswyBDFIKRTV0268:,RS,20,bfwyBDITV02:
142-263,142-263PL2,31,RS,cefinoprtuvxBCDHIKMOQT02579,RS,20,foruCDIKM079
142-263,142-263PL2,35,RS,fgijoqsvyCEFGILNOQRTWZ1257;,RS,17,fgijqsLNOQRZ27;
142-263,142-263PL2,37,RS,acegilnprtvwDEFGHKMOQT347;,RS,19,acegnrtvDKMO4
142-263,142-263PL2,38,RS,dgjnprtuvwzCGKLMNQRUWX015679:,RS,17,dgjtvGKNQUWX69:
142-263,142-263PL2,39,RS,cehikmnortuzADFIJKMOPSXY1348,RS,22,huAJKSX348
142-263,142-263PL2,42,RS,bdfgjlnoptvwzBCFIJLMOQSTUVXZ13457;,RS,16,bdfjlowzBLXZ1345
142-263,142-263PL2,44,RS,behijlortuvxyzBCEFGIJLMOPRSTVYZ0123468;:,RS,14,bhovyBFIMORTV0246:
142-263,142-263PL2,45,RS,acefklmopqsuyzABCEGIJLOPQRSTVY0235679:,RS,18,acfkpsuyAPSY27
142-263,142-263PL2,47,RS,acfgjmntuvxyzBCEIKNORSTUY13478;,RS,17,afgjtvxyzBKR147
142-263,142-263PL2,49,RS,bcdfhkmnrtuwABCDGIKMNQRTUWZ12358;,RS,16,dhBDGIKMNQTZ358;
142-263,142-263PL2,52,RS,acefgjknosuvxyzACDEHJLNOQSUVWXZ023579:,RS,15,acegkvxzCOVXZ379:
142-263,142-263PL2,55,RS,acefhijlmoqrsuwyzABCDEFGHJKLMNOPQRSTUVXYZ012345679;:,RS,6,acfhmoqrwADGHJNOQSUX0347;:
142-263,142-263PL2,57,RS,acegilnprsuwyzABCEFHIJLMNOPRTUVWXYZ01234789:,RS,11,acglnpsBFILNORVX0348:
142-263,142-263PL2,58,RS,bdegijlnptwxzABCFGIJKMNPRTWXYZ012379;,RS,13,bdinptxACFJKMXY137;
142-263,142-263PL2,59,RS,bdghijklnruvwxyBCDEFHIJKNOQRTWXZ03468;:,,16,hilwyCHNQTWZ48;:
151-962,151-962PL1,3,RS,dfhnprsuwBDFIJLPZ4579,RS,20,fhrsuBDFJLZ9
151-962,151-962PL1,6,RS,acgijklmnqrstuwxyzBDHIKOQTX05678:,RS,17,alntyzBDHIK068:
151-962,151-962PL1,8,RS,egklopqtuADEGHKRUVY0357;,RS,21,lpuAHKRV37;
151-962,151-962PL1,9,RS,bfhjkmoqrstvxzABDHIJLNPZ3469:,RS,17,fkoqrstBDHJL369
151-962,151-962PL1,10,RS,abcdegimpsvyABCEJKNOPQSVWY01345678;,RS,18,emACKPQWY0567;
151-962,151-962PL1,15,RS,acegilmrsuxzBCDGIJKMOPQRSYZ0134789;,RS,15,celrxBCDIPQSY147;
151-962,151-962PL1,18,RS,abcdehijlmnqrstuwxyzABDFHIJLNPQSTVWY012369;,RS,10,bmnqrswxABHILNVWY0129;
151-962,151-962PL1,19,RS,behjlnosuwyzABCDFGHIJKLMOPQRSTWXZ01235789;,RS,7,jnszBCDGHIJKMQRSXZ0125789
151-962,151-962PL1,20,RS,bcijknoqrsuxzBEGHIJKNPQTUWXYZ012345789;,RS,14,jouBEIJKPTUWXZ1245
151-962,151-962PL1,22,RS,bcefghjkmoprtuwzACDEGIKMOQRSTXYZ02358,RS,15,bkmouwzDGIKQRTZ38
151-962,151-962PL1,23,RS,abcdfghiklmnopqrsvxyACHIJKLNOPRSTUWXZ13457;:,RS,12,aghopxCNSUWXZ13457;:
151-962,151-962PL1,26,RS,acfhiklnruvyACEINPQRTUVWXYZ1347;,RS,20,fhknrvCEIRZ1
151-962,151-962PL1,27,RS,bdghjklmnostuvyzBCFIKMSVWXYZ013679;,RS,18,kosvFMVXYZ139;
151-962,151-962PL1,28,RS,hikmortxzACHIKMNPQRSTUVWXYZ0125679;:,RS,9,korzACIKMNPRSUVZ012579;
151-962,151-962PL1,30,RS,abcdeghijklnopqstuwxyACDFGIJNQRSUVXZ03479,RS,14,ceknqsuwyADGJRSZ07
151-962,151-962PL1,31,RS,bcejlmnqrtuwzACDFGIJKNOTUXZ03569:,RS,16,bmuwADFGJNTXZ059
151-962,151-962PL1,32,RS,bdefhijkmnosvxyBCEILMNPQRUVWYZ12359;:,RS,15,behjnsxBIMPRVZ25;
151-962,151-962PL1,36,RS,ahijklmqrstuvwyABCEHKOPQSUWYZ4579;:,RS,22,ahlqvCE47:
151-962,151-962PL1,39,RS,acejmopstvxyzABCDIKMNPQRTVXYZ134,RS,20,ajopsvBIMX34
151-962,151-962PL1,42,RS,acdfghijlmrsuvwxyzBCDEFHJKLMPRSWXYZ1245679:,RS,11,acfghijrsvwxDEFLM129:
151-962,151-962PL1,45,RS,bdhjklnosvwxzBCEGHIKLMNPQSTUWXY0234679;:,RS,13,bdhjklosvwxNWX234;:
151-962,151-962PL1,46,RS,dfghjklmnoqrstuvxzABCDEGHIJKLNPQRSTUVWXYZ0123456789;:,RS,12,dfghjlmnouvxWX2345;:
151-962,151-962PL1,50,RS,adfgjlopqstuvwABCEFHJKLMOPQRSTVXY013468:,RS,14,adjlqsFHOPQVXY346:
151-962,151-962PL1,52,RS,ghjkltwxzBDHJMNOQSUWXYZ01246;:,RS,23,jkzDMNOU1
151-962,151-962PL1,54,RS,bdeghjklmnoprstvwxABCFGIJKMPQSTUXYZ023479:,RS,18,AIPQTUXYZ02347
151-962,151-962PL1,55,RS,abcdeghjkmopqrsuvxyzABDFGHIJLNOPQSTUWXY01347;,RS,13,abghjopzABHIJWX134;
151-962,151-962PL1,57,RS,bdeghklnopqtuvwxzBCDEFIKLMNOQRSUVWXYZ0134568:,,9,knquvwzBCEFILMOSUVXZ358
151-962,151-962PL2,3,RS,bfhjmrstuvABCDFGHJKLQRUVXYZ089,RS,20,fhrsuBDFJLZ9
151-962,151-962PL2,6,RS,ahlnptvyzABCDFHIJKLMNPRVY0134689;:,RS,17,alntyzBDHIK068:
151-962,151-962PL2,8,RS,lnpruvzABCHIKMORTVWXZ1367;,RS,21,lpuAHKRV37;
151-962,151-962PL2,9,RS,fknoqrstuBDEFHJKLOQRTUVX23679;,RS,17,fkoqrstBDHJL369
151-962,151-962PL2,10,RS,ekmnoqwzACDGKLPQUWYZ02567;,RS,18,emACKPQWY0567;
151-962,151-962PL2,15,RS,cejlnpqrvxyBCDEILPQSTUVWXY124567;,RS,15,celrxBCDIPQSY147;
151-962,151-962PL2,18,RS,bgmnqrsvwxABCHIKLMNRUVWY01289;,RS,10,bmnqrswxABHILNVWY0129;
151-962,151-962PL2,19,RS,dgijknpqstvzBCDGHIJKMQRSUXZ0125789,RS,7,jnszBCDGHIJKMQRSXZ0125789
151-962,151-962PL2,20,RS,efgjlouvABCDEIJKLMOPRTUWXZ1245,RS,14,jouBEIJKPTUWXZ1245
151-962,151-962PL2,22,RS,bikmnoqsuwzBDGIKLNQRTUWZ368:,RS,15,bkmouwzDGIKQRTZ38
151-962,151-962PL2,23,RS,aghopuwxBCEFMNQSUVWXYZ0123456789;:,RS,12,aghopxCNSUWXZ13457;:
151-962,151-962PL2,26,RS,efghkmnoprtvwxCDEFHIKLMORZ1,RS,20,fhknrvCEIRZ1
151-962,151-962PL2,27,RS,kopsvwxADEFHJLMNRTUVXYZ1239;:,RS,18,kosvFMVXYZ139;
151-962,151-962PL2,28,RS,dfjklnoruzACDEFGIKMNPRSUVZ0123579;,RS,9,korzACIKMNPRSUVZ012579;
151-962,151-962PL2,30,RS,ceknqsuwyzABDGHJKLMOPRSWYZ01257:,RS,14,ceknqsuwyADGJRSZ07
151-962,151-962PL2,31,RS,bikmopsuvwxyADEFGHJLNQTXZ02579,RS,16,bmuwADFGJNTXZ059
151-962,151-962PL2,32,RS,behjnswxzBDFIKMPRTVZ258;,RS,15,behjnsxBIMPRVZ25;
151-962,151-962PL2,36,RS,aehloqvzCERTV47:,RS,22,ahlqvCE47:
151-962,151-962PL2,39,RS,abghijopsvBIMWX23456;:,RS,20,ajopsvBIMX34
151-962,151-962PL2,42,RS,abcfghijknopqrsvwxADEFLMNTUV1239;:,RS,11,acfghijrsvwxDEFLM129:
151-962,151-962PL2,45,RS,abcdfghijklmopqrstuvwxNVWX2345;:,RS,13,bdhjklosvwxNWX234;:
151-962,151-962PL2,46,RS,abdefghijlmnopuvwxWX2345;:,RS,12,dfghjlmnouvxWX2345;:
151-962,151-962PL2,50,RS,abcdijklqrsxFGHINOPQUVWXY23456;:,RS,14,adjlqsFHOPQVXY346:
151-962,151-962PL2,52,RS,cfjknqrsvzADEFGLMNOTUV19,RS,23,jkzDMNOU1
151-962,151-962PL2,54,RS,zAHIOPQRTUWXYZ01234567,RS,18,AIPQTUXYZ02347
151-962,151-962PL2,55,RS,abghijopzABCHIJKWX12345;:,RS,13,abghjopzABHIJWX134;
151-962,151-962PL2,57,RS,cikmnqsuvwzBCEFGHIJLMOSTUVXZ2358;,,9,knquvwzBCEFILMOSUVXZ358
152-727,152-727PL1,3,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,RS,31,s
152-727,152-727PL1,12,RS,OPQRZ8,RS,-64,
152-727,152-727PL1,14,RS,GHIJKLMNOPQRSTUVWXY4,RS,-65,Y
152-727,152-727PL1,17,RS,KLMNSTUV0123789;:,ALL,-65,L
152-727,152-727PL1,18,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,ALL,31,S
152-727,152-727PL1,21,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,ALL,31,Y
152-727,152-727PL1,22,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,RS,31,Y
152-727,152-727PL1,24,RS,abijqrwyzEFGHMPQVXY457,RS,10,abijqrwyzEFGHMPQVXY457
152-727,152-727PL1,26,RS,d:,ALL,-65,d
152-727,152-727PL1,28,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,RS,31,Y
152-727,152-727PL1,29,RS,GHPW4,ALL,-64,
152-727,152-727PL1,30,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,RS,13,QR
152-727,152-727PL1,32,RS,abceghiklmnoprstuvxyzACDEGHIJKMNOPQRSTUWYZ013456789;,RS,-20,abceghiklmnoprstuvxyzACDEGHIJKMNOPQRSTUWYZ013456789;
152-727,152-727PL1,33,RS,OW34,RS,28,OW34
152-727,152-727PL1,34,RS,iqyGNOW4,RS,24,iqyGNOW4
152-727,152-727PL1,35,RS,abcdefhijklmnoqrstuwyzABCDEGHIJOPQRWXYZ045678:,RS,13,abijqrABCDEIJRZ078:
152-727,152-727PL1,36,RS,abiqyGOW4,RS,-64,
152-727,152-727PL1,37,RS,abcijmoqruvwyzBCDFGJLNORUWY046,RS,21,abjrvwzBCDJ
152-727,152-727PL1,39,RS,abcefhjklmoqrtuvwyABDEGHIJKLMOPQRUXYZ124689;,RS,14,lmtDEIJKLMQUYZ1289
152-727,152-727PL1,41,RS,abcdegijklmnoqrstuvwxzACEFGIJLOPQRSUVWXYZ01256789:,RS,16,bkmtACEJLQSUZ018
152-727,152-727PL1,43,RS,abcdeghijklmnprstvwxyABCDEFHIJKLMORSUVXY013579;:,RS,11,cdlmnpstyABCDEHIJKORS
152-727,152-727PL1,45,RS,fjlnpqsuvABCDGHIJKLMNOPQRSTUVWXYZ0123456789;:,RS,14,fjlnpqsuvABCDGHIJK
152-727,152-727PL1,46,RS,abcdefghijklmnopqrstuvwxyzABCDEFLMNWX4567,RS,19,yzABLMNWX4567
152-727,152-727PL1,49,RS,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMN,UP,25,uBJKLMN
152-727,152-727PL1,50,UP,abcdefghijklmnopqrstuvwxyzABCDEFLMN,RS,29,LMN
152-727,152-727PL1,53,RS,abcdefghijklmnopqrstuvwxyzABCDEFIJKLMN,UP,29,IJK
152-727,152-727PL1,56,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,28,ayCE
152-727,152-727PL1,57,UP,abcdefghijklmnopqrstuvwxyzABCDEFLMN,,29,LMN
152-727,152-727PL2,3,RS,s,RS,-65,s
152-727,152-727PL2,12,RS,Y,RS,-64,
152-727,152-727PL2,14,RS,Y,RS,-65,Y
152-727,152-727PL2,17,RS,LX,RS,-65,L
152-727,152-727PL2,18,RS,S,RS,-65,S
152-727,152-727PL2,21,RS,Y,RS,-65,Y
152-727,152-727PL2,22,RS,Y,ALL,-65,Y
152-727,152-727PL2,24,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,RS,10,abijqrwyzEFGHMPQVXY457
152-727,152-727PL2,26,RS,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUV,RS,-65,d
152-727,152-727PL2,28,RS,Y,NOTHING,31,Y
152-727,152-727PL2,29,NOTHING,,RS,-64,
152-727,152-727PL2,30,RS,QR,ALL,13,QR
152-727,152-727PL2,32,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,ALL,-20,abceghiklmnoprstuvxyzACDEGHIJKMNOPQRSTUWYZ013456789;
152-727,152-727PL2,33,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,ALL,28,OW34
152-727,152-727PL2,34,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,RS,24,iqyGNOW4
152-727,152-727PL2,35,RS,abijqrABCDEFIJKLMNRSTUVZ0123789;:,RS,13,abijqrABCDEIJRZ078:
152-727,152-727PL2,36,RS,L,RS,-64,
152-727,152-727PL2,37,RS,abjkrstvwzBCDEHIJ,RS,21,abjrvwzBCDJ
152-727,152-727PL2,39,RS,lmstCDEFIJKLMQSTUYZ01289,RS,14,lmtDEIJKLMQUYZ1289
152-727,152-727PL2,41,RS,bkmtABCDEJKLMQSTUZ018,RS,16,bkmtACEJLQSUZ018
152-727,152-727PL2,43,RS,cdlmnopstyABCDEGHIJKOPRS,RS,11,cdlmnpstyABCDEHIJKORS
152-727,152-727PL2,45,RS,abcdefghijklmnopqrstuvwxyzABCDEFGHIJK,RS,14,fjlnpqsuvABCDGHIJK
152-727,152-727PL2,46,RS,yzABGHIJKLMNOPQRSTUVWXYZ0123456789;:,RS,19,yzABLMNWX4567
152-727,152-727PL2,49,RS,uBJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,25,uBJKLMN
152-727,152-727PL2,50,DOWN,HIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,29,LMN
152-727,152-727PL2,53,DOWN,GHIJKOPQRSTUVWXYZ0123456789;:,RS,29,IJK
152-727,152-727PL2,56,RS,ayCEGHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,28,ayCE
152-727,152-727PL2,57,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,,29,LMN
216-713,216-713PL1,6,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,ALL,-32,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:
216-713,216-713PL1,9,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,ALL,-27,abcdefghijklmnopqrstuvwxyzACDEFGHKLMNOPSTUVWXYZ0123456789;:
216-713,216-713PL1,10,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,ALL,-32,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:
