index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
1204,11854363,3,11850,Absent,56,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,29,3,Unicorn_Absent,-1,-1,0,-120,0.98125,40.0,1.0,44.0,0.0,0.640625,RS,,,,,,0.025,0.975
1206,11854363,4,11850,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,-89,0.99375,1.0,0.025,31.0,0.0,0.46875,RS,0.98125,1.0,0.0,3,RS,0.025,0.975
1212,11854363,7,11850,Absent,47,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,16,16,Unicorn_Absent,-1,-1,0,-212,0.9,32.0,0.03125,47.0,0.060714285714285714,0.484375,RS,0.99375,0.025,0.0,1,RS,0.025,0.975
1218,11854363,10,11850,Absent,48,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,-219,0.98125,29.0,0.2708333333333333,38.0,0.060714285714285714,0.546875,RS,0.9,0.03125,0.060714285714285714,16,RS,0.025,0.975
1222,11854363,12,11850,Absent,19,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,-162,0.99375,18.0,0.34285714285714286,22.0,0.34652777777777777,0.328125,RS,0.98125,0.2708333333333333,0.060714285714285714,3,RS,0.025,0.975
1226,11854363,14,11850,Absent,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,-200,0.98125,5.0,0.045454545454545456,34.0,0.34652777777777777,0.484375,RS,0.99375,0.34285714285714286,0.34652777777777777,1,RS,0.025,0.975
1228,11854363,15,11850,Absent,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1,0,-170,0.9875,5.0,1.0,36.0,0.13925438596491227,0.53125,RS,0.98125,0.045454545454545456,0.34652777777777777,3,RS,0.025,0.975
1232,11854363,17,11850,Absent,52,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,24,8,Unicorn_Absent,-1,-1,0,-210,0.95,36.0,0.05128205128205128,40.0,0.13925438596491227,0.5,RS,0.9875,1.0,0.13925438596491227,2,RS,0.025,0.975
1236,11854363,19,11850,Absent,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,4,Unicorn_Absent,-1,-1,0,-253,0.975,9.0,0.18421052631578946,28.0,0.34285714285714286,0.375,RS,0.95,0.05128205128205128,0.13925438596491227,8,RS,0.025,0.975
1242,11854363,22,11850,Absent,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,3,Unicorn_Absent,-1,-1,0,-359,0.98125,9.0,1.0,24.0,0.34285714285714286,0.328125,RS,0.975,0.18421052631578946,0.34285714285714286,4,RS,0.025,0.975
1244,11854363,23,11850,Absent,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1,0,-329,0.9875,6.0,0.0,22.0,0.01767676767676768,0.3125,RS,0.98125,1.0,0.34285714285714286,3,RS,0.025,0.975
1254,11854363,28,11850,Absent,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,20,12,Unicorn_Absent,-1,-1,0,-304,0.925,18.0,0.043478260869565216,38.0,0.01767676767676768,0.40625,RS,0.9875,0.0,0.01767676767676768,2,RS,0.025,0.975
1260,11854363,31,11850,Absent,42,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,17,15,Unicorn_Absent,-1,-1,0,-333,0.90625,31.0,0.16666666666666666,48.0,0.5869565217391304,0.515625,RS,0.925,0.043478260869565216,0.01767676767676768,12,RS,0.025,0.975
1264,11854363,33,11850,Absent,25,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,32,0,Unicorn_Absent,-1,-1,0,-270,1.0,21.0,0.2682926829268293,21.0,0.5869565217391304,0.328125,RS,0.90625,0.16666666666666666,0.5869565217391304,15,RS,0.025,0.975
1266,11854363,34,11850,Absent,44,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,32,0,Unicorn_Absent,-1,-1,0,-238,1.0,35.0,0.24444444444444444,35.0,0.13292847503373817,0.546875,RS,1.0,0.2682926829268293,0.5869565217391304,0,RS,0.025,0.975
1270,11854363,36,11850,Absent,42,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,15,17,Unicorn_Absent,-1,-1,0,-191,0.89375,33.0,0.2830188679245283,54.0,0.13292847503373817,0.578125,RS,1.0,0.24444444444444444,0.13292847503373817,0,RS,0.025,0.975
1272,11854363,37,11850,Absent,42,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,15,17,Unicorn_Absent,-1,-1,0,-176,0.89375,33.0,1.0,54.0,0.12360446570972886,0.578125,RS,0.89375,0.2830188679245283,0.13292847503373817,17,RS,0.025,0.975
1274,11854363,38,11850,Absent,19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,25,7,Unicorn_Absent,-1,-1,0,-151,0.95625,16.0,0.225,47.0,0.12360446570972886,0.625,RS,0.89375,1.0,0.12360446570972886,17,RS,0.025,0.975
