index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
2725,12954143,43,414343,Absent,27,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,20,12,Unicorn_Absent,-1,-1.0,9,453,0.925,23.0,0.23809523809523808,43.0,0.0,0.484375,,0.9875,1.0,0.0,2,,0.5,0
2727,12954143,44,414343,Absent,27,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,20,12,Unicorn_Absent,-1,-1.0,9,473,0.925,23.0,1.0,43.0,0.05581668625146885,0.484375,,0.925,0.23809523809523808,0.0,12,,0.5,0
2729,12954143,45,414343,Absent,27,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,20,12,Unicorn_Absent,-1,-1.0,9,493,0.925,23.0,1.0,43.0,0.05581668625146885,0.484375,,0.925,1.0,0.05581668625146885,12,,0.5,0
2731,12954143,46,414343,Absent,27,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,20,12,Unicorn_Absent,-1,-1.0,9,513,0.925,23.0,1.0,43.0,0.010989010989011005,0.484375,,0.925,1.0,0.05581668625146885,12,,0.5,0
2735,12954143,48,414343,Absent,27,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,20,12,Unicorn_Absent,-1,-1.0,9,457,0.925,23.0,1.0,43.0,0.010989010989011005,0.484375,,0.925,1.0,0.010989010989011005,12,,0.5,0
2745,12954143,53,414343,Absent,33,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,21,11,Unicorn_Absent,-1,-1.0,9,591,0.93125,24.0,0.2702702702702703,42.0,0.030690537084398978,0.484375,,0.925,1.0,0.010989010989011005,12,,0.5,0
2749,12954143,55,414343,Absent,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,9,651,0.98125,6.0,0.15384615384615385,22.0,0.030690537084398978,0.296875,,0.93125,0.2702702702702703,0.030690537084398978,11,,0.5,0
2751,12954143,56,414343,Absent,24,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,24,8,Unicorn_Absent,-1,-1.0,9,675,0.95,19.0,0.08695652173913043,30.0,0.0,0.34375,,0.98125,0.15384615384615385,0.030690537084398978,3,,0.5,0
2757,12954143,59,414343,Absent,24,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,24,8,Unicorn_Absent,-1,-1.0,9,555,0.95,19.0,1.0,30.0,0.0,0.34375,,0.95,0.08695652173913043,0.0,8,,0.5,0
5282,15964364,2,159625,Absent,42,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,25,7,Unicorn_Absent,-1,-1.0,0,55,0.95625,33.0,1.0,39.0,0.0,0.5,RS,,,,,,0.5,0
