level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
210,432,88834809,37,888384,Absent,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,29,3,Unicorn_Absent,-1,-1.0,0,481,0.98125,10.0,0.1951219512195122,37.0,0.06896551724137931,0.53125,RS,0.35372677547714554,0.88125,1.0,0.06896551724137931,19,0.14646961601798344,0,150
212,434,88834809,38,888384,Absent,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,28,4,Unicorn_Absent,-1,-1.0,0,509,0.975,10.0,1.0,34.0,0.0,0.46875,RS,0.35372677547714554,0.98125,0.1951219512195122,0.06896551724137931,3,0.35372677547714554,0,150
214,440,88834809,41,888384,Absent,60,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,15,17,Unicorn_Absent,-1,-1.0,0,487,0.89375,43.0,0.1276595744680851,50.0,0.0,0.515625,RS,0.1430984807006795,0.975,1.0,0.0,4,0.35372677547714554,0,150
216,442,88834809,42,888384,Absent,60,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,15,17,Unicorn_Absent,-1,-1.0,0,502,0.89375,43.0,1.0,50.0,0.0,0.515625,RS,0.1430984807006795,0.89375,0.1276595744680851,0.0,17,0.1430984807006795,0,150
218,444,88834809,43,888384,Absent,60,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,15,17,Unicorn_Absent,-1,-1.0,0,517,0.89375,43.0,1.0,50.0,0.0,0.515625,RS,0.1430984807006795,0.89375,1.0,0.0,17,0.1430984807006795,0,150
220,446,88834809,44,888384,Absent,60,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,15,17,Unicorn_Absent,-1,-1.0,0,532,0.89375,43.0,1.0,50.0,0.2918918918918919,0.515625,RS,0.1430984807006795,0.89375,1.0,0.0,17,0.1430984807006795,0,150
222,452,88834809,47,888384,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,529,1.0,0.0,0.0,24.0,0.2918918918918919,0.375,RS,0.6542510918525355,0.89375,1.0,0.2918918918918919,17,0.1430984807006795,0,150
224,456,88834809,49,888384,Absent,60,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,26,6,Unicorn_Absent,-1,-1.0,0,582,0.9625,41.0,0.0,42.0,0.0,0.5625,RS,0.149963012878635,1.0,0.0,0.2918918918918919,0,0.6542510918525355,0,150
226,458,88834809,50,888384,Absent,60,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,26,6,Unicorn_Absent,-1,-1.0,0,608,0.9625,41.0,1.0,42.0,0.0,0.5625,RS,0.149963012878635,0.9625,0.0,0.0,6,0.149963012878635,0,150
228,460,88834809,51,888384,Absent,60,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,26,6,Unicorn_Absent,-1,-1.0,0,634,0.9625,41.0,1.0,42.0,0.15804935370152762,0.5625,RS,0.149963012878635,0.9625,1.0,0.0,6,0.149963012878635,0,150
230,466,88834809,54,888384,Absent,28,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,23,9,Unicorn_Absent,-1,-1.0,0,720,0.94375,22.0,0.4,47.0,0.15804935370152762,0.59375,RS,0.23722423237162518,0.9625,1.0,0.15804935370152762,6,0.149963012878635,0,150
232,468,88834809,55,888384,Absent,28,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,23,9,Unicorn_Absent,-1,-1.0,0,743,0.94375,22.0,1.0,47.0,0.0,0.59375,RS,0.23722423237162518,0.94375,0.4,0.15804935370152762,9,0.23722423237162518,0,150
234,472,88834809,57,888384,Absent,44,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,28,4,Unicorn_Absent,-1,-1.0,0,803,0.975,35.0,0.2391304347826087,37.0,0.0,0.515625,RS,0.17389813739634405,0.94375,1.0,0.0,9,0.23722423237162518,0,150
236,476,88834809,59,888384,Absent,44,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,28,4,Unicorn_Absent,-1,-1.0,0,763,0.975,35.0,1.0,37.0,0.0,0.515625,RS,0.17389813739634405,0.975,0.2391304347826087,0.0,4,0.17389813739634405,0,150
238,478,88834809,60,888384,Absent,44,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,28,4,Unicorn_Absent,-1,-1.0,0,791,0.975,35.0,1.0,37.0,0.0,0.515625,RS,0.17389813739634405,0.975,1.0,0.0,4,0.17389813739634405,0,150
1034,2040,89969236,1,899633,Absent,14,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,0,26,0.9625,14.0,1.0,38.0,0.0,0.5,RS,0.30119421191220214,,,,,,0,150
