level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Zeta
1822,3600,14572851,1,145798,Absent,54,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,15,17,Unicorn_Absent,-1,-1,0,15,0.89375,38.0,1.0,53.0,0.0,0.5625,RS,0.1612452535498154,,,,,,0,1
1824,3606,14572851,4,145798,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,111,1.0,0.0,0.0,28.0,0.0,0.4375,NOTHING,0.6542510918525355,0.89375,1.0,0.0,17,0.1612452535498154,0,1
1826,3608,14572851,5,145798,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,143,1.0,0.0,1.0,14.0,0.30434782608695654,0.21875,NOTHING,0.6542510918525355,1.0,0.0,0.0,0,0.6542510918525355,0,1
1828,3610,14572851,6,145798,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,175,1.0,0.0,1.0,0.0,0.30434782608695654,0.0,NOTHING,0.6542510918525355,1.0,1.0,0.30434782608695654,0,0.6542510918525355,0,1
1830,3612,14572851,7,145798,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,207,1.0,0.0,1.0,12.0,0.8333333333333334,0.1875,NOTHING,0.6542510918525355,1.0,1.0,0.30434782608695654,0,0.6542510918525355,0,1
1832,3616,14572851,9,145798,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,271,1.0,0.0,1.0,17.0,0.8333333333333334,0.265625,NOTHING,0.6542510918525355,1.0,1.0,0.8333333333333334,0,0.6542510918525355,0,1
1834,3628,14572851,15,145798,Absent,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,175,1.0,3.0,0.0,3.0,1.0,0.046875,RS,0.5112889476777818,1.0,1.0,0.8333333333333334,0,0.6542510918525355,0,1
1836,3630,14572851,16,145798,Absent,39,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,207,1.0,29.0,0.06666666666666667,29.0,1.0,0.453125,RS,0.19336654922791888,1.0,0.0,1.0,0,0.5112889476777818,0,1
1838,3632,14572851,17,145798,Absent,37,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,32,0,Unicorn_Absent,-1,-1,0,239,1.0,29.0,0.38095238095238093,29.0,1.0,0.453125,RS,0.19336654922791888,1.0,0.06666666666666667,1.0,0,0.19336654922791888,0,1
1840,3648,14572851,25,145798,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1,6,184,0.9125,32.0,0.38636363636363635,46.0,1.0,0.5,RIGHT,0.17389813739634405,1.0,0.38095238095238093,1.0,0,0.19336654922791888,0,1
1842,3652,14572851,27,145798,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1,6,233,0.9125,32.0,1.0,46.0,0.9642857142857143,0.5,RIGHT,0.17389813739634405,0.9125,0.38636363636363635,1.0,14,0.17389813739634405,0,1
1844,3656,14572851,29,145798,Absent,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,293,0.98125,8.0,0.02564102564102564,33.0,0.9642857142857143,0.46875,RS,0.387250581508453,0.9125,1.0,0.9642857142857143,14,0.17389813739634405,0,1
1846,3660,14572851,31,145798,Absent,44,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,17,15,Unicorn_Absent,-1,-1,0,339,0.90625,32.0,0.08108108108108109,45.0,0.0,0.46875,RS,0.17846392590418705,0.98125,0.02564102564102564,0.9642857142857143,3,0.387250581508453,0,1
1848,3664,14572851,33,145798,Absent,44,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,16,16,Unicorn_Absent,-1,-1,0,276,0.9,32.0,1.0,48.0,0.0,0.5,RS,0.17846392590418705,0.90625,0.08108108108108109,0.0,15,0.17846392590418705,0,1
1850,3668,14572851,35,145798,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,8,Unicorn_Absent,-1,-1,1,330,0.95,64.0,0.5,64.0,0.9333333333333333,0.875,ALL,0.0924417853680727,0.9,1.0,0.0,16,0.17846392590418705,0,1
1852,3672,14572851,37,145798,Absent,22,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,14,18,Unicorn_Absent,-1,-1,0,376,0.8875,18.0,0.28125,64.0,0.9333333333333333,0.71875,RS,0.2614163880174534,0.95,0.5,0.9333333333333333,8,0.0924417853680727,0,1
1854,3676,14572851,39,145798,Absent,22,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,28,4,Unicorn_Absent,-1,-1,0,331,0.975,18.0,1.0,32.0,0.6190476190476191,0.4375,RS,0.2614163880174534,0.8875,0.28125,0.9333333333333333,18,0.2614163880174534,0,1
1856,3678,14572851,40,145798,Absent,22,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,28,4,Unicorn_Absent,-1,-1,0,359,0.975,18.0,1.0,32.0,0.6190476190476191,0.4375,RS,0.2614163880174534,0.975,1.0,0.6190476190476191,4,0.2614163880174534,0,1
1858,3680,14572851,41,145798,Absent,50,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,0,391,1.0,35.0,0.17777777777777778,37.0,0.38636363636363635,0.578125,RS,0.16529888822158656,0.975,1.0,0.6190476190476191,4,0.2614163880174534,0,1
1860,3682,14572851,42,145798,Absent,53,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,25,7,Unicorn_Absent,-1,-1,0,416,0.95625,34.0,0.35294117647058826,39.0,0.38636363636363635,0.5,RS,0.16951329224194475,1.0,0.17777777777777778,0.38636363636363635,0,0.16529888822158656,0,1
1862,3686,14572851,44,145798,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,480,1.0,64.0,0.53125,64.0,0.0,1.0,ALL,0.0924417853680727,0.95625,0.35294117647058826,0.38636363636363635,7,0.16951329224194475,0,1
1864,3690,14572851,46,145798,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,544,1.0,64.0,1.0,64.0,0.0,1.0,ALL,0.0924417853680727,1.0,0.53125,0.0,0,0.0924417853680727,0,1
1866,3694,14572851,48,145798,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,608,1.0,64.0,1.0,64.0,0.9743589743589743,1.0,ALL,0.0924417853680727,1.0,1.0,0.0,0,0.0924417853680727,0,1
1868,3698,14572851,50,145798,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,672,1.0,64.0,1.0,64.0,0.9743589743589743,1.0,ALL,0.0924417853680727,1.0,1.0,0.9743589743589743,0,0.0924417853680727,0,1
1870,3700,14572851,51,145798,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,704,1.0,64.0,1.0,64.0,0.9189189189189189,1.0,ALL,0.0924417853680727,1.0,1.0,0.9743589743589743,0,0.0924417853680727,0,1
1872,3704,14572851,53,145798,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,768,1.0,64.0,1.0,64.0,0.9189189189189189,1.0,ALL,0.0924417853680727,1.0,1.0,0.9189189189189189,0,0.0924417853680727,0,1
1874,3706,14572851,54,145798,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,800,1.0,64.0,1.0,64.0,0.6956521739130435,1.0,ALL,0.0924417853680727,1.0,1.0,0.9189189189189189,0,0.0924417853680727,0,1
1876,3712,14572851,57,145798,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,896,1.0,64.0,1.0,64.0,0.6956521739130435,1.0,ALL,0.0924417853680727,1.0,1.0,0.6956521739130435,0,0.0924417853680727,0,1
