index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
3656,82429948,29,824292,Absent,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,23,9,Unicorn_Absent,-1,-1.0,0,423,0.94375,20.0,1.0,39.0,0.0,0.46875,RS,0.94375,0.2608695652173913,0.0,9,RS,0.3,0.1
3658,82429948,30,824292,Absent,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,23,9,Unicorn_Absent,-1,-1.0,0,446,0.94375,20.0,1.0,39.0,0.0,0.46875,RS,0.94375,1.0,0.0,9,RS,0.3,0.1
3662,82429948,32,824292,Absent,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,23,9,Unicorn_Absent,-1,-1.0,0,396,0.94375,20.0,1.0,39.0,0.6956521739130435,0.46875,RS,0.94375,1.0,0.0,9,RS,0.3,0.1
3666,82429948,34,824292,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,23,9,Unicorn_Absent,-1,-1.0,8,346,0.94375,28.0,0.2,41.0,0.6956521739130435,0.5,OUT,0.94375,1.0,0.6956521739130435,9,RS,0.3,0.1
3672,82429948,37,824292,Absent,25,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,12,Unicorn_Absent,-1,-1.0,0,221,0.925,21.0,0.2564102564102564,41.0,0.4375,0.453125,RS,0.94375,0.2,0.6956521739130435,9,OUT,0.3,0.1
3676,82429948,39,824292,Absent,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,29,3,Unicorn_Absent,-1,-1.0,0,281,0.98125,11.0,0.06666666666666667,40.0,0.4375,0.578125,RS,0.925,0.2564102564102564,0.4375,12,RS,0.3,0.1
3678,82429948,40,824292,Absent,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,29,3,Unicorn_Absent,-1,-1.0,0,310,0.98125,11.0,1.0,40.0,0.004755434782608703,0.578125,RS,0.98125,0.06666666666666667,0.4375,3,RS,0.3,0.1
3680,82429948,41,824292,Absent,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,339,0.98125,5.0,0.06666666666666667,34.0,0.004755434782608703,0.484375,RS,0.98125,1.0,0.004755434782608703,3,RS,0.3,0.1
3682,82429948,42,824292,Absent,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,0,365,0.9625,15.0,0.1111111111111111,41.0,0.0,0.546875,RS,0.98125,0.06666666666666667,0.004755434782608703,3,RS,0.3,0.1
3684,82429948,43,824292,Absent,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,0,389,0.95,15.0,1.0,37.0,0.0,0.453125,RS,0.9625,0.1111111111111111,0.0,6,RS,0.3,0.1
