index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
5160,14048172,1,1404,Absent,41,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,14,18,Unicorn_Absent,-1,-1,0,14,0.8875,33.0,1.0,46.0,0.0,0.4375,RS,,,,,,20,0.8
5162,14048172,2,1404,Absent,41,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,14,18,Unicorn_Absent,-1,-1,0,28,0.8875,33.0,1.0,46.0,0.0,0.4375,RS,0.8875,1.0,0.0,18,RS,20,0.8
5166,14048172,4,1404,Absent,41,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,14,18,Unicorn_Absent,-1,-1,0,-40,0.8875,33.0,1.0,46.0,0.0,0.4375,RS,0.8875,1.0,0.0,18,RS,20,0.8
5170,14048172,6,1404,Absent,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,18,0.98125,6.0,0.08333333333333333,20.0,0.0,0.265625,RS,0.8875,1.0,0.0,18,RS,20,0.8
5172,14048172,7,1404,Absent,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1,0,48,0.9875,6.0,1.0,36.0,0.0,0.53125,RS,0.98125,0.08333333333333333,0.0,3,RS,20,0.8
5180,14048172,11,1404,Absent,59,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,9,23,Unicorn_Absent,-1,-1,0,129,0.85625,39.0,0.125,52.0,0.0,0.453125,RS,0.9875,1.0,0.0,2,RS,20,0.8
5182,14048172,12,1404,Absent,59,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,9,23,Unicorn_Absent,-1,-1,0,138,0.85625,39.0,1.0,52.0,0.14743589743589747,0.453125,RS,0.85625,0.125,0.0,23,RS,20,0.8
5184,14048172,13,1404,Absent,59,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,9,23,Unicorn_Absent,-1,-1,0,147,0.85625,39.0,1.0,52.0,0.14743589743589747,0.453125,RS,0.85625,1.0,0.14743589743589747,23,RS,20,0.8
5186,14048172,14,1404,Absent,59,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,9,23,Unicorn_Absent,-1,-1,0,156,0.85625,39.0,1.0,52.0,0.775,0.453125,RS,0.85625,1.0,0.14743589743589747,23,RS,20,0.8
5194,14048172,18,1404,Absent,60,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,24,8,Unicorn_Absent,-1,-1,0,153,0.95,37.0,0.38181818181818183,47.0,0.775,0.609375,RS,0.85625,1.0,0.775,23,RS,20,0.8
5196,14048172,19,1404,Absent,60,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,24,8,Unicorn_Absent,-1,-1,0,177,0.95,37.0,1.0,47.0,0.20833333333333331,0.609375,RS,0.95,0.38181818181818183,0.775,8,RS,20,0.8
5202,14048172,22,1404,Absent,60,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,24,8,Unicorn_Absent,-1,-1,0,153,0.95,37.0,1.0,47.0,0.20833333333333331,0.609375,RS,0.95,1.0,0.20833333333333331,8,RS,20,0.8
