index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
844,28972937,3,28973,Absent,27,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,22,10,Unicorn_Absent,-1,-1,0,-22,0.9375,23.0,1.0,39.0,0.0,0.453125,RS,,,,,,10,0.8
848,28972937,5,28973,Absent,27,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,22,10,Unicorn_Absent,-1,-1,0,-74,0.9375,23.0,1.0,39.0,0.0,0.453125,RS,0.9375,1.0,0.0,10,RS,10,0.8
852,28972937,7,28973,Absent,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,-15,0.98125,4.0,0.125,34.0,0.0,0.484375,RS,0.9375,1.0,0.0,10,RS,10,0.8
856,28972937,9,28973,Absent,59,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,9,23,Unicorn_Absent,-1,-1,0,24,0.85625,39.0,0.075,50.0,0.0,0.421875,RS,0.98125,0.125,0.0,3,RS,10,0.8
860,28972937,11,28973,Absent,59,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,9,23,Unicorn_Absent,-1,-1,0,60,0.85625,39.0,1.0,50.0,0.1303191489361702,0.421875,RS,0.85625,0.075,0.0,23,RS,10,0.8
862,28972937,12,28973,Absent,59,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,9,23,Unicorn_Absent,-1,-1,0,69,0.85625,39.0,1.0,50.0,0.1303191489361702,0.421875,RS,0.85625,1.0,0.1303191489361702,23,RS,10,0.8
864,28972937,13,28973,Absent,59,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,9,23,Unicorn_Absent,-1,-1,0,78,0.85625,39.0,1.0,50.0,0.3208333333333333,0.421875,RS,0.85625,1.0,0.1303191489361702,23,RS,10,0.8
868,28972937,15,28973,Absent,59,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,9,23,Unicorn_Absent,-1,-1,0,112,0.85625,39.0,1.0,50.0,0.3208333333333333,0.421875,RS,0.85625,1.0,0.3208333333333333,23,RS,10,0.8
870,28972937,16,28973,Absent,59,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,9,23,Unicorn_Absent,-1,-1,0,121,0.85625,39.0,1.0,50.0,0.0,0.421875,RS,0.85625,1.0,0.3208333333333333,23,RS,10,0.8
872,28972937,17,28973,Absent,59,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,9,23,Unicorn_Absent,-1,-1,0,130,0.85625,39.0,1.0,50.0,0.0,0.421875,RS,0.85625,1.0,0.0,23,RS,10,0.8
