level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
510,1104,29424037,13,294298,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,18,14,Unicorn_Absent,-1,-1.0,5,47,0.9125,32.0,0.29411764705882354,46.0,0.8787878787878788,0.5,LEFT,0.18818508442027443,0.99375,0.14705882352941177,0.24252717391304346,1,0.16951329224194475,0.05,150
512,1106,29424037,14,294298,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,61,0.8875,32.0,0.0,50.0,0.8787878787878788,0.5,RIGHT,0.17389813739634405,0.9125,0.29411764705882354,0.8787878787878788,14,0.18818508442027443,0.05,150
514,1110,29424037,16,294298,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,125,1.0,1.0,0.0,41.0,0.0,0.640625,RS,0.594749338357888,0.8875,0.0,0.8787878787878788,18,0.17389813739634405,0.05,150
516,1112,29424037,17,294298,Absent,52,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,31,1,Unicorn_Absent,-1,-1.0,0,156,0.99375,34.0,0.0,35.0,0.0,0.53125,RS,0.17846392590418705,1.0,0.0,0.0,0,0.594749338357888,0.05,150
518,1114,29424037,18,294298,Absent,57,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,15,17,Unicorn_Absent,-1,-1.0,0,171,0.89375,41.0,0.3888888888888889,50.0,0.12003179650238474,0.515625,RS,0.149963012878635,0.99375,0.0,0.0,1,0.17846392590418705,0.05,150
520,1116,29424037,19,294298,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,4,185,0.8875,32.0,0.37735849056603776,50.0,0.12003179650238474,0.5,UP,0.18818508442027443,0.89375,0.3888888888888889,0.12003179650238474,17,0.149963012878635,0.05,150
522,1122,29424037,22,294298,Absent,29,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,21,11,Unicorn_Absent,-1,-1.0,0,269,0.93125,22.0,0.2558139534883721,43.0,0.2607843137254902,0.5,RS,0.23722423237162518,0.8875,0.37735849056603776,0.12003179650238474,18,0.18818508442027443,0.05,150
524,1124,29424037,23,294298,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,283,0.8875,36.0,0.3181818181818182,47.0,0.2607843137254902,0.453125,IN,0.15734346296411772,0.93125,0.2558139534883721,0.2607843137254902,11,0.23722423237162518,0.05,150
526,1126,29424037,24,294298,Absent,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,0,309,0.9625,8.0,0.15789473684210525,31.0,0.0,0.390625,RS,0.387250581508453,0.8875,0.3181818181818182,0.2607843137254902,18,0.15734346296411772,0.05,150
528,1130,29424037,26,294298,Absent,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,274,0.99375,8.0,1.0,13.0,0.0,0.1875,RS,0.387250581508453,0.9625,0.15789473684210525,0.0,6,0.387250581508453,0.05,150
