index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
843,39892874,2,287473,Absent,32,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,17,15,Unicorn_Absent,-1,-1.0,9,42,0.90625,24.0,0.05555555555555555,41.0,0.0,0.40625,,0.95625,1.0,0.0,7,,0.025,0.99
851,39892874,6,287473,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,-53,1.0,0.0,0.0,21.0,0.30808080808080807,0.328125,,0.90625,0.05555555555555555,0.0,15,,0.025,0.99
853,39892874,7,287473,Absent,45,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,30,2,Unicorn_Absent,-1,-1.0,9,-23,0.9875,35.0,0.0,39.0,0.30808080808080807,0.578125,,1.0,0.0,0.30808080808080807,0,,0.025,0.99
855,39892874,8,287473,Absent,54,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,14,18,Unicorn_Absent,-1,-1.0,9,-9,0.8875,35.0,0.48936170212765956,44.0,0.2926829268292683,0.40625,,0.9875,0.0,0.30808080808080807,2,,0.025,0.99
861,39892874,11,287473,Absent,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,86,0.99375,4.0,0.08333333333333333,43.0,0.2926829268292683,0.65625,,0.8875,0.48936170212765956,0.2926829268292683,18,,0.025,0.99
863,39892874,12,287473,Absent,44,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,13,19,Unicorn_Absent,-1,-1.0,9,99,0.88125,29.0,0.03125,50.0,0.038461538461538464,0.484375,,0.99375,0.08333333333333333,0.2926829268292683,1,,0.025,0.99
865,39892874,13,287473,Absent,32,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,17,15,Unicorn_Absent,-1,-1.0,9,116,0.90625,26.0,0.27906976744186046,45.0,0.038461538461538464,0.46875,,0.88125,0.03125,0.038461538461538464,19,,0.025,0.99
867,39892874,14,287473,Absent,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,30,2,Unicorn_Absent,-1,-1.0,9,146,0.9875,19.0,0.21621621621621623,20.0,0.45811170212765956,0.28125,,0.90625,0.27906976744186046,0.038461538461538464,15,,0.025,0.99
879,39892874,20,287473,Absent,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,21,11,Unicorn_Absent,-1,-1.0,9,205,0.93125,21.0,0.3333333333333333,52.0,0.45811170212765956,0.640625,,0.9875,0.21621621621621623,0.45811170212765956,2,,0.025,0.99
885,39892874,23,287473,Absent,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,24,8,Unicorn_Absent,-1,-1.0,9,189,0.95,21.0,1.0,31.0,0.2566666666666667,0.359375,,0.93125,0.3333333333333333,0.45811170212765956,11,,0.025,0.99
