index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
3093,52208070,47,807035,Absent,35,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,27,5,Unicorn_Absent,-1,-1.0,9,792,0.96875,31.0,0.02631578947368421,36.0,0.0,0.484375,RS,RS,0.006737946999085467,0.975,0.1111111111111111,0.2604166666666667,4,0.059105746561956225
3097,52208070,49,807035,Absent,59,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,9,819,0.96875,39.0,0.4,43.0,0.0,0.59375,RS,RS,0.006737946999085467,0.96875,0.02631578947368421,0.0,5,0.006737946999085467
3103,52208070,52,807035,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,19,Unicorn_Absent,-1,-1.0,3,832,0.88125,32.0,0.42,51.0,0.0,0.5,DOWN,DOWN,1.0,0.96875,0.4,0.0,5,0.006737946999085467
3105,52208070,53,807035,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,832,0.8,32.0,0.3333333333333333,64.0,0.0,0.5,LEFT,LEFT,1.0,0.88125,0.42,0.0,19,1.0
3109,52208070,55,807035,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,864,1.0,32.0,0.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,0.8,0.3333333333333333,0.0,32,1.0
3111,52208070,56,807035,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,896,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,0.0,0.0,0,1.0
3115,52208070,58,807035,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,928,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0
3117,52208070,59,807035,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,960,1.0,32.0,1.0,32.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0
480,52557741,1,525509,Absent,22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,29,0.98125,18.0,1.0,36.0,0.0,0.515625,RS,RS,0.01436959609043909,,,,,
490,52557741,6,525509,Absent,57,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,11,21,Unicorn_Absent,-1,-1.0,0,40,0.86875,34.0,0.3684210526315789,52.0,0.0,0.484375,RS,RS,0.004180913251655786,0.98125,1.0,0.0,3,0.01436959609043909
496,52557741,9,525509,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,24,Unicorn_Absent,-1,-1.0,1,48,0.85,64.0,0.53125,64.0,0.14393125671321158,0.625,ALL,ALL,1.0,0.86875,0.3684210526315789,0.0,21,0.004180913251655786
498,52557741,10,525509,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4,36,Unicorn_Absent,-1,-1.0,1,44,0.775,64.0,1.0,64.0,0.14393125671321158,0.4375,ALL,ALL,1.0,0.85,0.53125,0.14393125671321158,24,1.0
500,52557741,11,525509,Absent,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,76,1.0,4.0,0.0625,14.0,0.2455357142857143,0.21875,RS,RS,0.1353352832366127,0.775,1.0,0.14393125671321158,36,1.0
502,52557741,12,525509,Absent,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,108,1.0,4.0,1.0,14.0,0.2455357142857143,0.21875,RS,RS,0.1353352832366127,1.0,0.0625,0.2455357142857143,0,0.1353352832366127
510,52557741,16,525509,Absent,31,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,32,0,Unicorn_Absent,-1,-1.0,0,140,1.0,25.0,0.07407407407407407,25.0,0.6363636363636364,0.390625,RS,RS,0.006737946999085467,1.0,1.0,0.2455357142857143,0,0.1353352832366127
512,52557741,17,525509,Absent,31,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,32,0,Unicorn_Absent,-1,-1.0,0,172,1.0,25.0,1.0,25.0,0.6363636363636364,0.390625,RS,RS,0.006737946999085467,1.0,0.07407407407407407,0.6363636363636364,0,0.006737946999085467
