index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
3308,26554897,35,265569,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,86,1.0,1.0,0.03125,30.0,0.7058823529411764,0.46875,RS,0.875,0.10526315789473684,0.0,20,UP,0.025,70
3314,26554897,38,265569,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12,20,Unicorn_Absent,-1,-1,7,59,0.875,36.0,0.0,55.0,0.7058823529411764,0.546875,IN,1.0,0.03125,0.7058823529411764,0,RS,0.025,70
3320,26554897,41,265569,Absent,36,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,14,18,Unicorn_Absent,-1,-1,0,131,0.8875,28.0,0.30612244897959184,50.0,0.5961538461538461,0.5,RS,0.875,0.0,0.7058823529411764,20,IN,0.025,70
3324,26554897,43,265569,Absent,36,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,14,18,Unicorn_Absent,-1,-1,0,161,0.8875,28.0,1.0,50.0,0.5961538461538461,0.5,RS,0.8875,0.30612244897959184,0.5961538461538461,18,RS,0.025,70
3328,26554897,45,265569,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,4,191,0.8875,32.0,0.3333333333333333,54.0,0.0,0.5625,UP,0.8875,1.0,0.5961538461538461,18,RS,0.025,70
3334,26554897,48,265569,Absent,59,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,18,14,Unicorn_Absent,-1,-1,0,146,0.9125,43.0,0.41509433962264153,57.0,0.0,0.671875,RS,0.8875,0.3333333333333333,0.0,18,UP,0.025,70
3336,26554897,49,265569,Absent,59,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,26,6,Unicorn_Absent,-1,-1,0,172,0.9625,43.0,1.0,51.0,0.5686274509803921,0.703125,RS,0.9125,0.41509433962264153,0.0,14,RS,0.025,70
3338,26554897,50,265569,Absent,59,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,26,6,Unicorn_Absent,-1,-1,0,198,0.9625,43.0,1.0,51.0,0.5686274509803921,0.703125,RS,0.9625,1.0,0.5686274509803921,6,RS,0.025,70
3342,26554897,52,265569,Absent,8,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,259,0.98125,8.0,0.0851063829787234,34.0,0.29411764705882354,0.484375,RS,0.9625,1.0,0.5686274509803921,6,RS,0.025,70
3350,26554897,56,265569,Absent,8,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,192,1.0,8.0,1.0,14.0,0.29411764705882354,0.21875,RS,0.98125,0.0851063829787234,0.29411764705882354,3,RS,0.025,70
