index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
5222,87252418,32,872500,Absent,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,601,0.99375,4.0,0.0,24.0,0.22689075630252098,0.359375,RS,0.9875,1.0,0.22689075630252098,2,RS,[0.025],[0.95]
5224,87252418,33,872500,Absent,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1.0,0,628,0.96875,11.0,0.07142857142857142,27.0,0.7894736842105263,0.34375,RS,0.99375,0.0,0.22689075630252098,1,RS,[0.025],[0.95]
5226,87252418,34,872500,Absent,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1.0,0,655,0.96875,11.0,1.0,27.0,0.7894736842105263,0.34375,RS,0.96875,0.07142857142857142,0.7894736842105263,5,RS,[0.025],[0.95]
5228,87252418,35,872500,Absent,20,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,26,6,Unicorn_Absent,-1,-1.0,0,681,0.9625,19.0,0.15384615384615385,39.0,0.8148148148148149,0.515625,RS,0.96875,1.0,0.7894736842105263,5,RS,[0.025],[0.95]
5236,87252418,39,872500,Absent,38,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,16,16,Unicorn_Absent,-1,-1.0,0,784,0.9,29.0,0.17073170731707318,50.0,0.8148148148148149,0.53125,RS,0.9625,0.15384615384615385,0.8148148148148149,6,RS,[0.025],[0.95]
5238,87252418,40,872500,Absent,15,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,24,8,Unicorn_Absent,-1,-1.0,0,808,0.95,15.0,0.29411764705882354,38.0,0.07142857142857142,0.46875,RS,0.9,0.17073170731707318,0.8148148148148149,16,RS,[0.025],[0.95]
5244,87252418,43,872500,Absent,24,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,30,2,Unicorn_Absent,-1,-1.0,0,898,0.9875,21.0,0.2857142857142857,24.0,0.07142857142857142,0.34375,RS,0.95,0.29411764705882354,0.07142857142857142,8,RS,[0.025],[0.95]
5250,87252418,46,872500,Absent,37,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,30,2,Unicorn_Absent,-1,-1.0,0,892,0.9875,25.0,0.21052631578947367,28.0,0.027777777777777762,0.40625,RS,0.9875,0.2857142857142857,0.07142857142857142,2,RS,[0.025],[0.95]
5252,87252418,47,872500,Absent,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,923,0.99375,7.0,0.18518518518518517,11.0,0.027777777777777762,0.15625,RS,0.9875,0.21052631578947367,0.027777777777777762,2,RS,[0.025],[0.95]
5260,87252418,51,872500,Absent,14,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,854,0.99375,11.0,0.0,20.0,0.0,0.296875,RS,0.99375,0.18518518518518517,0.027777777777777762,1,RS,[0.025],[0.95]
5272,87252418,57,872500,Absent,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,0,826,0.9625,10.0,0.16666666666666666,35.0,0.0,0.453125,RS,0.99375,0.0,0.0,1,RS,[0.025],[0.95]
5276,87252418,59,872500,Absent,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,0,882,0.9625,10.0,1.0,35.0,0.0,0.453125,RS,0.9625,0.16666666666666666,0.0,6,RS,[0.025],[0.95]
