index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
3265,18345270,13,527068,Absent,22,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,27,5,Unicorn_Absent,-1,-1.0,9,169,0.96875,18.0,0.1951219512195122,26.0,0.0,0.328125,RS,RS,0.01436959609043909,0.975,0.2549019607843137,0.0,4,0.006737946999085467
3267,18345270,14,527068,Absent,26,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,20,12,Unicorn_Absent,-1,-1.0,9,189,0.925,21.0,0.14705882352941177,49.0,0.05555555555555555,0.578125,RS,RS,0.010228516799093708,0.96875,0.1951219512195122,0.0,5,0.01436959609043909
3269,18345270,15,527068,Absent,16,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,29,3,Unicorn_Absent,-1,-1.0,9,218,0.98125,14.0,0.09375,27.0,0.05555555555555555,0.375,RS,RS,0.023714766002371646,0.925,0.14705882352941177,0.05555555555555555,12,0.010228516799093708
3279,18345270,20,527068,Absent,20,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,12,Unicorn_Absent,-1,-1.0,9,238,0.925,17.0,0.19230769230769232,37.0,0.25,0.390625,RS,RS,0.016194143319162562,0.98125,0.09375,0.05555555555555555,3,0.023714766002371646
3281,18345270,21,527068,Absent,51,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,11,21,Unicorn_Absent,-1,-1.0,9,249,0.86875,32.0,0.2564102564102564,50.0,0.25,0.453125,RS,RS,0.0061027272741740034,0.925,0.19230769230769232,0.25,12,0.016194143319162562
3285,18345270,23,527068,Absent,25,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,21,11,Unicorn_Absent,-1,-1.0,9,270,0.93125,22.0,0.3170731707317073,43.0,0.5,0.5,RS,RS,0.009182867495108389,0.86875,0.2564102564102564,0.25,21,0.0061027272741740034
3287,18345270,24,527068,Absent,30,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,9,291,0.93125,23.0,0.21621621621621623,44.0,0.5,0.515625,RS,RS,0.008264124158046258,0.93125,0.3170731707317073,0.5,11,0.009182867495108389
3293,18345270,27,527068,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,20,Unicorn_Absent,-1,-1.0,3,303,0.875,32.0,0.30952380952380953,48.0,0.0,0.4375,DOWN,DOWN,1.0,0.93125,0.21621621621621623,0.5,11,0.008264124158046258
3299,18345270,30,527068,Absent,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1,Unicorn_Absent,-1,-1.0,9,334,0.99375,6.0,0.02702702702702703,37.0,0.0,0.5625,RS,RS,0.08633762966036206,0.875,0.30952380952380953,0.0,20,1.0
3301,18345270,31,527068,Absent,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1,Unicorn_Absent,-1,-1.0,9,365,0.99375,6.0,1.0,37.0,0.0,0.5625,RS,RS,0.08633762966036206,0.99375,0.02702702702702703,0.0,1,0.08633762966036206
