index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1
4516,73399227,17,922718,Absent,40,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,18,14,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,NOTHING,4516,79,0.9125,26.0,0.2926829268292683,44.0,0.2926829268292683,0.46875,0.79375,0.38095238095238093,0.6190476190476191,0
4518,73399227,19,922718,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,RS,4518,97,0.9125,0.0,0.0,27.0,0.22916666666666666,0.421875,0.9125,0.2926829268292683,0.2926829268292683,14
4527,73399227,28,922718,Absent,26,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,24,8,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RIGHT,4527,121,0.95,21.0,0.0,45.0,0.22916666666666666,0.578125,0.9125,0.0,0.22916666666666666,0
4528,73399227,29,922718,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,Unicorn_Present,RIGHT,RIGHT,RS,4528,137,0.9,32.0,0.325,48.0,0.008333333333333304,0.5,0.95,0.0,0.22916666666666666,8
4530,73399227,31,922718,Absent,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,4530,169,1.0,3.0,0.06060606060606061,18.0,0.17623604465709727,0.28125,0.9,0.325,0.008333333333333304,16
4531,73399227,32,922718,Absent,45,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,14,18,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,DOWN,4531,183,0.8875,34.0,0.05714285714285714,51.0,0.10564784053156148,0.515625,1.0,0.06060606060606061,0.17623604465709727,0
4535,73399227,36,922718,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,DOWN,DOWN,UP,4535,199,0.9,32.0,0.3469387755102041,48.0,0.020408163265306145,0.5,0.8875,0.05714285714285714,0.10564784053156148,18
4536,73399227,37,922718,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,UP,UP,RS,4536,225,0.9625,32.0,0.0,35.0,0.10810810810810811,0.453125,0.9,0.3469387755102041,0.020408163265306145,16
4539,73399227,40,922718,Absent,36,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,25,7,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,4539,250,0.95625,28.0,0.2765957446808511,39.0,0.04932301740812381,0.5,0.9625,0.0,0.10810810810810811,6
4542,73399227,43,922718,Absent,57,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,21,11,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RIGHT,4542,271,0.93125,39.0,0.34,50.0,0.09000000000000002,0.609375,0.95625,0.2765957446808511,0.04932301740812381,7
