level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
698,1410,52311419,46,523184,Absent,24,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,20,12,Unicorn_Absent,-1,-1,0,664,0.925,22.0,1.0,43.0,0.27505827505827507,0.484375,RS,0.23722423237162518,0.96875,0.125,0.27505827505827507,5,0.23722423237162518,0.05,0
700,1418,52311419,50,523184,Absent,34,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,20,12,Unicorn_Absent,-1,-1,0,757,0.925,27.0,0.2564102564102564,48.0,0.8611111111111112,0.5625,RS,0.20444612479589325,0.925,1.0,0.27505827505827507,12,0.23722423237162518,0.05,0
702,1426,52311419,54,523184,Absent,62,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,25,7,Unicorn_Absent,-1,-1,0,869,0.95625,37.0,0.45454545454545453,43.0,0.8611111111111112,0.5625,RS,0.15734346296411772,0.925,0.2564102564102564,0.8611111111111112,12,0.20444612479589325,0.05,0
704,1428,52311419,55,523184,Absent,62,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,14,18,Unicorn_Absent,-1,-1,0,883,0.8875,37.0,1.0,47.0,0.7948717948717949,0.453125,RS,0.15734346296411772,0.95625,0.45454545454545453,0.8611111111111112,7,0.15734346296411772,0.05,0
706,1430,52311419,56,523184,Absent,62,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,21,11,Unicorn_Absent,-1,-1,0,904,0.93125,37.0,1.0,45.0,0.7948717948717949,0.53125,RS,0.15734346296411772,0.8875,1.0,0.7948717948717949,18,0.15734346296411772,0.05,0
1510,3002,55228029,2,552251,Absent,37,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,15,17,Unicorn_Absent,-1,-1,0,-66,0.89375,32.0,1.0,49.0,0.0,0.5,RS,0.17389813739634405,,,,,,0.05,0
1512,3012,55228029,7,552251,Absent,37,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,15,17,Unicorn_Absent,-1,-1,0,-375,0.89375,32.0,1.0,47.0,0.0,0.46875,RS,0.17389813739634405,0.89375,1.0,0.0,17,0.17389813739634405,0.05,0
1514,3016,55228029,9,552251,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,-321,1.0,0.0,0.0,0.0,0.653061224489796,0.0,NOTHING,0.6542510918525355,0.89375,1.0,0.0,17,0.17389813739634405,0.05,0
1516,3020,55228029,11,552251,Absent,10,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,28,4,Unicorn_Absent,-1,-1,0,-363,0.975,10.0,0.0,38.0,0.653061224489796,0.53125,RS,0.36972808936944906,1.0,0.0,0.653061224489796,0,0.6542510918525355,0.05,0
1518,3022,55228029,12,552251,Absent,10,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,32,0,Unicorn_Absent,-1,-1,0,-331,1.0,10.0,1.0,10.0,0.0,0.15625,RS,0.36972808936944906,0.975,0.0,0.653061224489796,4,0.36972808936944906,0.05,0
