index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,RegionGo,RegionGo2
19.0,24655781,20,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,563.0,1.0,0.0,UP,23,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
20.0,24655781,21,781,Absent,28.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,595.0,1.0,0.0,UP,24,0,29.025,32.0,32,1.0,64,0.0,1.0,29.025,1.0,1.0,0.0,UP,UP
21.0,24655781,22,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,627.0,1.0,0.0,UP,26,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
24.0,24655781,23,781,Absent,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,723.0,1.0,0.0,UP,27,0,29.025,32.0,32,1.0,64,0.0,1.0,29.025,1.0,1.0,0.0,UP,UP
27.0,24655781,28,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,819.0,1.0,0.0,UP,33,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
28.0,24655781,29,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,851.0,1.0,0.0,UP,34,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
29.0,24655781,30,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,883.0,1.0,0.0,UP,35,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
31.0,24655781,31,781,Absent,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,930.0,1.0,1.0,UP,36,0,29.025,31.5,32,1.0,64,0.0,1.0,29.025,1.0,1.0,0.0,UP,UP
32.0,24655781,33,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,978.0,1.0,0.0,UP,39,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
33.0,24655781,34,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,1010.0,1.0,0.0,UP,40,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
34.0,24655781,35,781,Absent,22.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,1042.0,1.0,0.0,UP,41,0,29.025,32.0,32,1.0,64,0.0,1.0,29.025,1.0,1.0,0.0,UP,UP
35.0,24655781,36,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,1074.0,1.0,0.0,UP,43,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
36.0,24655781,37,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,1106.0,1.0,0.0,UP,44,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
