index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,90578145,23,145,Absent,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,27,5,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,212,0.96875,6,0.07142857142857142,36.0,0.9285714285714286,0.484375,0.08633762966036206,0.86875,0.2727272727272727,0.7272727272727273,21.0,0.006737946999085467
0,90578145,24,145,Absent,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,28,4,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,240,0.975,6,1.0,40.0,0.5961538461538461,0.5625,0.08633762966036206,0.96875,0.07142857142857142,0.9285714285714286,5.0,0.08633762966036206
0,90578145,29,145,Absent,43,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,17,15,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,OUT,257,0.90625,31,0.08823529411764706,44.0,0.31602002503128906,0.453125,0.005537830714382473,0.975,1.0,0.5961538461538461,4.0,0.08633762966036206
0,90578145,30,145,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,23,9,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,OUT,OUT,RS,280,0.94375,28,0.3111111111111111,38.0,0.07426900584795323,0.453125,1.0,0.90625,0.08823529411764706,0.31602002503128906,15.0,0.005537830714382473
0,90578145,34,145,Absent,15,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,NOTHING,312,1.0,13,0.1388888888888889,13.0,0.1388888888888889,0.203125,0.02717246117223556,0.94375,0.3111111111111111,0.07426900584795323,9.0,1.0
0,90578145,36,145,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,RS,344,1.0,0,0.0,36.0,0.0,0.5625,1.0,1.0,0.1388888888888889,0.1388888888888889,0.0,0.02717246117223556
0,90578145,40,145,Absent,61,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,20,12,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,364,0.925,40,0.0,46.0,0.22727272727272727,0.53125,0.007454186295369829,1.0,0.0,0.0,0.0,1.0
0,90578145,41,145,Absent,43,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,26,6,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,390,0.9625,30,0.32075471698113206,41.0,0.1540880503144654,0.546875,0.005034190088132767,0.925,0.0,0.22727272727272727,12.0,0.007454186295369829
0,90578145,43,145,Absent,19,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,413,0.94375,17,0.09302325581395349,44.0,0.23197674418604652,0.546875,0.016194143319162562,0.9625,0.32075471698113206,0.1540880503144654,6.0,0.005034190088132767
0,90578145,45,145,Absent,19,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,22,10,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,OUT,435,0.9375,17,1.0,39.0,0.64,0.453125,0.016194143319162562,0.94375,0.09302325581395349,0.23197674418604652,9.0,0.016194143319162562
