index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
3688,94759672,45,947562,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,510,1.0,1.0,1.0,33.0,0.12234580384226493,0.515625,RS,RS,0.36787944117144233,1.0,1.0,0.12234580384226493,0,0.36787944117144233
3690,94759672,46,947562,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,542,1.0,1.0,1.0,33.0,0.0,0.515625,RS,RS,0.36787944117144233,1.0,1.0,0.12234580384226493,0,0.36787944117144233
3692,94759672,47,947562,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,574,1.0,1.0,1.0,33.0,0.0,0.515625,RS,RS,0.36787944117144233,1.0,1.0,0.0,0,0.36787944117144233
3696,94759672,49,947562,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,606,1.0,1.0,1.0,33.0,0.0,0.515625,RS,RS,0.36787944117144233,1.0,1.0,0.0,0,0.36787944117144233
3700,94759672,51,947562,Absent,27,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,21,11,Unicorn_Absent,-1,-1.0,0,627,0.93125,23.0,0.043478260869565216,44.0,0.0,0.515625,RS,RS,0.008264124158046258,1.0,1.0,0.0,0,0.36787944117144233
3702,94759672,52,947562,Absent,57,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,10,22,Unicorn_Absent,-1,-1.0,0,637,0.8625,42.0,0.3829787234042553,52.0,0.11764705882352941,0.46875,RS,RS,0.009182867495108389,0.93125,0.043478260869565216,0.0,11,0.008264124158046258
3706,94759672,54,947562,Absent,22,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,24,8,Unicorn_Absent,-1,-1.0,0,661,0.95,21.0,0.26,45.0,0.11764705882352941,0.578125,RS,RS,0.010228516799093708,0.8625,0.3829787234042553,0.11764705882352941,22,0.009182867495108389
3708,94759672,55,947562,Absent,29,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,20,12,Unicorn_Absent,-1,-1.0,0,681,0.925,24.0,0.15384615384615385,44.0,0.0,0.5,RS,RS,0.007454186295369829,0.95,0.26,0.11764705882352941,8,0.010228516799093708
3714,94759672,58,947562,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,713,1.0,0.0,0.0,31.0,0.0,0.484375,NOTHING,NOTHING,1.0,0.925,0.15384615384615385,0.0,12,0.007454186295369829
3603,94759672,2,967216,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,31,0.99375,2.0,1.0,35.0,0.0,0.53125,RS,RS,0.2431167344342142,,,,,
3619,94759672,10,967216,Absent,63,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,8,24,Unicorn_Absent,-1,-1.0,9,39,0.85,46.0,0.043478260869565216,54.0,0.0,0.46875,RS,RS,0.01436959609043909,0.99375,1.0,0.0,1,0.2431167344342142
3621,94759672,11,967216,Absent,60,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,51,0.875,37.0,0.45614035087719296,55.0,0.0,0.546875,RS,RS,0.005537830714382473,0.85,0.043478260869565216,0.0,24,0.01436959609043909
3623,94759672,12,967216,Absent,50,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,29,3,Unicorn_Absent,-1,-1.0,9,80,0.98125,35.0,0.38461538461538464,36.0,0.0,0.515625,RS,RS,0.005537830714382473,0.875,0.45614035087719296,0.0,20,0.005537830714382473
3629,94759672,15,967216,Absent,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,111,0.99375,11.0,0.022222222222222223,22.0,0.3617021276595745,0.328125,RS,RS,0.03627506129959581,0.98125,0.38461538461538464,0.0,3,0.005537830714382473
3631,94759672,16,967216,Absent,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,142,0.99375,11.0,1.0,22.0,0.3617021276595745,0.328125,RS,RS,0.03627506129959581,0.99375,0.022222222222222223,0.3617021276595745,1,0.03627506129959581
3633,94759672,17,967216,Absent,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,173,0.99375,11.0,1.0,22.0,0.0,0.328125,RS,RS,0.03627506129959581,0.99375,1.0,0.3617021276595745,1,0.03627506129959581
3645,94759672,23,967216,Absent,29,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,23,9,Unicorn_Absent,-1,-1.0,9,196,0.94375,19.0,0.1111111111111111,44.0,0.0,0.546875,RS,RS,0.012792465124422179,0.99375,1.0,0.0,1,0.03627506129959581
3647,94759672,24,967216,Absent,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,226,0.9875,6.0,0.08695652173913043,22.0,0.0,0.3125,RS,RS,0.08633762966036206,0.94375,0.1111111111111111,0.0,9,0.012792465124422179
3649,94759672,25,967216,Absent,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,256,0.9875,6.0,1.0,22.0,0.0,0.3125,RS,RS,0.08633762966036206,0.9875,0.08695652173913043,0.0,2,0.08633762966036206
3651,94759672,26,967216,Absent,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,286,0.9875,6.0,1.0,22.0,0.0,0.3125,RS,RS,0.08633762966036206,0.9875,1.0,0.0,2,0.08633762966036206
3663,94759672,32,967216,Absent,41,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,32,0,Unicorn_Absent,-1,-1.0,9,318,1.0,32.0,0.11764705882352941,33.0,0.0,0.515625,RS,RS,0.004180913251655786,0.9875,1.0,0.0,2,0.08633762966036206
3665,94759672,33,967216,Absent,41,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,32,0,Unicorn_Absent,-1,-1.0,9,350,1.0,32.0,1.0,33.0,0.0,0.515625,RS,RS,0.004180913251655786,1.0,0.11764705882352941,0.0,0,0.004180913251655786
