level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
785,1579,88373470,10,34703,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,174,1.0,32.0,0.36,32.0,0.11598746081504702,0.5,DOWN,0.17389813739634405,1.0,0.0,0.11598746081504702,0,0.15734346296411772,5,1.5
787,1581,88373470,11,34703,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,206,1.0,32.0,1.0,32.0,0.8888888888888888,0.5,DOWN,0.17389813739634405,1.0,0.36,0.11598746081504702,0,0.17389813739634405,5,1.5
789,1587,88373470,14,34703,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,3,174,0.9125,32.0,1.0,46.0,0.8888888888888888,0.5,DOWN,0.17389813739634405,1.0,1.0,0.8888888888888888,0,0.17389813739634405,5,1.5
791,1589,88373470,15,34703,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,206,1.0,36.0,0.36,64.0,0.09090909090909091,1.0,IN,0.15734346296411772,0.9125,1.0,0.8888888888888888,14,0.17389813739634405,5,1.5
793,1597,88373470,19,34703,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,206,0.8875,36.0,1.0,50.0,0.09090909090909091,0.5,IN,0.15734346296411772,1.0,0.36,0.09090909090909091,0,0.15734346296411772,5,1.5
795,1599,88373470,20,34703,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,238,1.0,0.0,0.0,32.0,0.36,0.5,NOTHING,0.6542510918525355,0.8875,1.0,0.09090909090909091,18,0.15734346296411772,5,1.5
797,1601,88373470,21,34703,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,270,1.0,0.0,1.0,32.0,0.36,0.5,NOTHING,0.6542510918525355,1.0,0.0,0.36,0,0.6542510918525355,5,1.5
799,1603,88373470,22,34703,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,3,286,0.9,32.0,0.0,48.0,0.0,0.5,DOWN,0.17389813739634405,1.0,1.0,0.36,0,0.6542510918525355,5,1.5
801,1605,88373470,23,34703,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,5,302,0.9,32.0,0.3333333333333333,48.0,0.0,0.5,LEFT,0.18818508442027443,0.9,0.0,0.0,16,0.17389813739634405,5,1.5
803,1607,88373470,24,34703,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,334,1.0,36.0,0.36,36.0,1.0,0.5625,IN,0.15734346296411772,0.9,0.3333333333333333,0.0,16,0.18818508442027443,5,1.5
