level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1
2121,4379,28198550,30,855058,Absent,13,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,-6,1.0,12.0,0.13793103448275862,12.0,0.0,0.1875,,0.3390304398248439,0.98125,0.037037037037037035,0.6326530612244898,3,0.24484627166971443
2123,4383,28198550,32,855058,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,8,40,0.9125,28.0,0.17647058823529413,46.0,0.0,0.5,OUT,0.2103787656745015,1.0,0.13793103448275862,0.0,0,0.3390304398248439
2125,4385,28198550,33,855058,Absent,50,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,21,11,Unicorn_Absent,-1,-1.0,9,61,0.93125,39.0,0.34,48.0,0.1785243741765481,0.578125,,0.15734346296411772,0.9125,0.17647058823529413,0.0,14,0.2103787656745015
2127,4389,28198550,35,855058,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,21,11,Unicorn_Absent,-1,-1.0,7,7,0.93125,36.0,0.41509433962264153,45.0,0.1785243741765481,0.53125,IN,0.15734346296411772,0.93125,0.34,0.1785243741765481,11,0.15734346296411772
2129,4391,28198550,36,855058,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,39,1.0,0.0,0.0,32.0,0.07558139534883723,0.5,,0.6542510918525355,0.93125,0.41509433962264153,0.1785243741765481,11,0.15734346296411772
2131,4393,28198550,37,855058,Absent,50,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,18,14,Unicorn_Absent,-1,-1.0,9,57,0.9125,32.0,0.0,50.0,0.07558139534883723,0.5625,,0.18818508442027443,1.0,0.0,0.07558139534883723,0,0.6542510918525355
2133,4395,28198550,38,855058,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,35,Unicorn_Absent,-1,-1.0,1,54,0.78125,64.0,0.5,64.0,1.0,0.453125,ALL,0.0924417853680727,0.9125,0.0,0.07558139534883723,14,0.18818508442027443
2135,4397,28198550,39,855058,Absent,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28,4,Unicorn_Absent,-1,-1.0,9,82,0.975,7.0,0.109375,38.0,1.0,0.53125,,0.40656965974059917,0.78125,0.5,1.0,35,0.0924417853680727
2137,4399,28198550,40,855058,Absent,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,27,5,Unicorn_Absent,-1,-1.0,9,109,0.96875,7.0,1.0,34.0,0.0,0.453125,,0.40656965974059917,0.975,0.109375,1.0,4,0.40656965974059917
2139,4401,28198550,41,855058,Absent,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,27,5,Unicorn_Absent,-1,-1.0,9,136,0.96875,7.0,1.0,34.0,0.0,0.453125,,0.40656965974059917,0.96875,1.0,0.0,5,0.40656965974059917
