level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
1274,2528,10111798,5,101102,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,23,9,Unicorn_Absent,-1,-1,5,-124,0.94375,32.0,1.0,46.0,0.0,0.578125,LEFT,0.18818508442027443,,,,,,0.2,5
1276,2532,10111798,7,101102,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1,1,-110,0.8,64.0,0.5,64.0,0.0,0.5,ALL,0.0924417853680727,0.94375,1.0,0.0,9,0.18818508442027443,0.2,5
1278,2534,10111798,8,101102,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,4,-96,0.8875,32.0,0.5,50.0,0.15853658536585363,0.5,UP,0.18818508442027443,0.8,0.5,0.0,32,0.0924417853680727,0.2,5
1280,2538,10111798,10,101102,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,4,-54,0.8875,32.0,1.0,50.0,0.15853658536585363,0.5,UP,0.18818508442027443,0.8875,0.5,0.15853658536585363,18,0.18818508442027443,0.2,5
1282,2544,10111798,13,101102,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,18,Unicorn_Absent,-1,-1,3,-88,0.8875,32.0,0.0,50.0,0.14,0.5,DOWN,0.17389813739634405,0.8875,1.0,0.15853658536585363,18,0.18818508442027443,0.2,5
1284,2552,10111798,17,101102,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,10,1.0,64.0,0.5,64.0,0.14,1.0,ALL,0.0924417853680727,0.8875,0.0,0.14,18,0.17389813739634405,0.2,5
1286,2554,10111798,18,101102,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,42,1.0,64.0,1.0,64.0,0.0,1.0,ALL,0.0924417853680727,1.0,0.5,0.14,0,0.0924417853680727,0.2,5
1288,2558,10111798,20,101102,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1,1,74,0.8,64.0,1.0,64.0,0.0,0.5,ALL,0.0924417853680727,1.0,1.0,0.0,0,0.0924417853680727,0.2,5
1290,2560,10111798,21,101102,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,7,88,0.8875,36.0,0.5625,50.0,1.0,0.5,IN,0.15734346296411772,0.8,1.0,0.0,32,0.0924417853680727,0.2,5
1292,2564,10111798,23,101102,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1,1,120,0.8,64.0,0.5625,64.0,1.0,0.5,ALL,0.0924417853680727,0.8875,0.5625,1.0,18,0.15734346296411772,0.2,5
