level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
172,362,10263910,2,102647,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,64,1.0,0.0,1.0,3.0,0.0,0.046875,RS,0.6542510918525355,,,,,,20,1.5
174,370,10263910,6,102647,Absent,28,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,25,7,Unicorn_Absent,-1,-1.0,0,71,0.95625,21.0,0.0,35.0,0.0,0.4375,RS,0.23722423237162518,1.0,1.0,0.0,0,0.6542510918525355,20,1.5
176,372,10263910,7,102647,Absent,28,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,25,7,Unicorn_Absent,-1,-1.0,0,96,0.95625,21.0,1.0,35.0,0.09090909090909091,0.4375,RS,0.23722423237162518,0.95625,0.0,0.0,7,0.23722423237162518,20,1.5
178,376,10263910,9,102647,Absent,34,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,17,15,Unicorn_Absent,-1,-1.0,0,121,0.90625,27.0,0.2,49.0,0.09090909090909091,0.53125,RS,0.21659936976800023,0.95625,1.0,0.09090909090909091,7,0.23722423237162518,20,1.5
180,378,10263910,10,102647,Absent,34,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,17,15,Unicorn_Absent,-1,-1.0,0,138,0.90625,27.0,1.0,49.0,0.0,0.53125,RS,0.21659936976800023,0.90625,0.2,0.09090909090909091,15,0.21659936976800023,20,1.5
182,384,10263910,13,102647,Absent,55,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,12,20,Unicorn_Absent,-1,-1.0,0,210,0.875,36.0,0.3125,48.0,0.0,0.4375,RS,0.16951329224194475,0.90625,1.0,0.0,15,0.21659936976800023,20,1.5
184,392,10263910,17,102647,Absent,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,126,1.0,5.0,0.05128205128205128,15.0,0.08888888888888885,0.234375,RS,0.45215719036181795,0.875,0.3125,0.0,20,0.16951329224194475,20,1.5
186,394,10263910,18,102647,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,158,1.0,0.0,0.0,27.0,0.08888888888888885,0.421875,RS,0.6542510918525355,1.0,0.05128205128205128,0.08888888888888885,0,0.45215719036181795,20,1.5
188,398,10263910,20,102647,Absent,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,4,Unicorn_Absent,-1,-1.0,0,121,0.975,5.0,0.0,33.0,0.0,0.453125,RS,0.45215719036181795,1.0,0.0,0.08888888888888885,0,0.6542510918525355,20,1.5
190,400,10263910,21,102647,Absent,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,4,Unicorn_Absent,-1,-1.0,0,149,0.975,5.0,1.0,33.0,0.0,0.453125,RS,0.45215719036181795,0.975,0.0,0.0,4,0.45215719036181795,20,1.5
