index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
835,17319878,56,987820,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,13,19,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,LEFT,LEFT,LEFT,835,337,0.88125,32.0,0.28846153846153844,51.0,0.08653846153846156,0.5,1.0,0.9125,0.15217391304347827,0.08320839580209896,14,0.005537830714382473
838,17319878,59,987820,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,LEFT,LEFT,,838,353,0.9,32.0,1.0,48.0,0.6538461538461539,0.5,1.0,0.88125,0.28846153846153844,0.08653846153846156,19,1.0
841,21262243,2,212680,Absent,61,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,10,22,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,841,41,0.8625,38.0,0.07317073170731707,58.0,0.3046070460704607,0.5625,0.007454186295369829,,,,,
842,21262243,3,212680,Absent,24,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,842,73,1.0,21.0,0.22916666666666666,22.0,0.20535714285714285,0.34375,0.010228516799093708,0.8625,0.07317073170731707,0.3046070460704607,22,0.007454186295369829
843,21262243,4,212680,Absent,63,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,LEFT,843,85,0.875,38.0,0.3111111111111111,56.0,0.28479532163742693,0.5625,0.0061027272741740034,1.0,0.22916666666666666,0.20535714285714285,0,0.010228516799093708
844,21262243,5,212680,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,21,11,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,LEFT,LEFT,OUT,844,106,0.93125,32.0,0.37254901960784315,41.0,0.08366013071895428,0.46875,1.0,0.875,0.3111111111111111,0.28479532163742693,20,0.0061027272741740034
845,21262243,6,212680,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,27,5,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,OUT,OUT,RS,845,133,0.96875,28.0,0.30434782608695654,33.0,0.23291925465838512,0.4375,1.0,0.93125,0.37254901960784315,0.08366013071895428,11,1.0
846,21262243,7,212680,Absent,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,29,3,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,DOWN,846,162,0.98125,13.0,0.24242424242424243,32.0,0.09956709956709958,0.453125,0.02717246117223556,0.96875,0.30434782608695654,0.23291925465838512,5,1.0
847,21262243,8,212680,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,6,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,DOWN,DOWN,RS,847,188,0.9625,32.0,0.25,40.0,0.125,0.53125,1.0,0.98125,0.24242424242424243,0.09956709956709958,3,0.02717246117223556
848,21262243,9,212680,Absent,47,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,18,14,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RIGHT,848,206,0.9125,31.0,0.21153846153846154,44.0,0.040109890109890106,0.46875,0.008264124158046258,0.9625,0.25,0.125,6,1.0
849,21262243,10,212680,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,RIGHT,RIGHT,RIGHT,849,238,1.0,32.0,0.26,32.0,0.26,0.5,1.0,0.9125,0.21153846153846154,0.040109890109890106,14,0.008264124158046258
850,21262243,11,212680,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,RIGHT,RIGHT,RIGHT,850,270,1.0,32.0,1.0,32.0,0.0,0.5,1.0,1.0,0.26,0.26,0,1.0
851,21262243,12,212680,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-64,0,Unicorn_Absent,-1,-1.0,6,Unicorn_Present,RIGHT,RIGHT,LEFT,851,206,0.4,32.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
853,21262243,14,212680,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,LEFT,LEFT,RS,853,206,0.8,32.0,0.0,32.0,0.0,0.0,1.0,0.4,1.0,0.0,0,1.0
857,21262243,18,212680,Absent,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,LEFT,857,236,0.9875,3.0,0.029411764705882353,33.0,0.029411764705882353,0.484375,0.17692120631776423,0.8,0.0,0.0,32,1.0
859,21262243,20,212680,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,LEFT,LEFT,RS,859,236,0.8,32.0,0.029411764705882353,64.0,0.47058823529411764,0.5,1.0,0.9875,0.029411764705882353,0.029411764705882353,2,0.17692120631776423
860,21262243,21,212680,Absent,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,28,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RIGHT,860,264,0.975,8.0,0.1111111111111111,40.0,0.4513888888888889,0.5625,0.059105746561956225,0.8,0.029411764705882353,0.47058823529411764,32,1.0
861,21262243,22,212680,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-18,0,Unicorn_Absent,-1,-1.0,6,Unicorn_Present,RIGHT,RIGHT,RS,861,246,0.6875,32.0,0.1111111111111111,32.0,0.1111111111111111,0.5,1.0,0.975,0.1111111111111111,0.4513888888888889,4,0.059105746561956225
864,21262243,25,212680,Absent,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,864,272,0.9625,7.0,0.11428571428571428,46.0,0.11428571428571428,0.625,0.07095202666684558,0.6875,0.1111111111111111,0.1111111111111111,0,1.0
865,21262243,26,212680,Absent,38,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,865,294,0.9375,29.0,0.058823529411764705,46.0,0.20433436532507737,0.5625,0.004584084770106734,0.9625,0.11428571428571428,0.11428571428571428,6,0.07095202666684558
867,21262243,28,212680,Absent,55,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,13,19,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,867,307,0.88125,42.0,0.42,53.0,0.12454545454545451,0.53125,0.009182867495108389,0.9375,0.058823529411764705,0.20433436532507737,10,0.004584084770106734
870,21262243,31,212680,Absent,59,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,-2,34,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,870,305,0.7875,34.0,0.52,64.0,0.05125000000000002,0.46875,0.0061027272741740034,0.88125,0.42,0.12454545454545451,19,0.009182867495108389
874,21262243,35,212680,Absent,26,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,874,337,1.0,25.0,0.37209302325581395,25.0,0.37209302325581395,0.390625,0.006737946999085467,0.7875,0.52,0.05125000000000002,34,0.0061027272741740034
876,21262243,37,212680,Absent,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,IN,876,361,0.95,11.0,0.125,39.0,0.125,0.484375,0.03627506129959581,1.0,0.37209302325581395,0.37209302325581395,0,0.006737946999085467
878,21262243,39,212680,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,IN,IN,NOTHING,878,375,0.8875,36.0,0.20512820512820512,50.0,0.2731326644370123,0.5,1.0,0.95,0.125,0.125,8,0.03627506129959581
880,21262243,41,212680,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,880,407,1.0,0.0,0.0,64.0,0.5,1.0,1.0,0.8875,0.20512820512820512,0.2731326644370123,18,1.0
881,21262243,42,212680,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,881,439,1.0,0.0,1.0,64.0,0.0,1.0,1.0,1.0,0.0,0.5,0,1.0
882,21262243,43,212680,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,NOTHING,NOTHING,RS,882,471,1.0,0.0,1.0,64.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0
883,21262243,44,212680,Absent,35,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,3,29,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,DOWN,883,474,0.81875,29.0,0.0,64.0,1.0,0.546875,0.004584084770106734,1.0,1.0,0.0,0,1.0
891,21262243,52,212680,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,20,Unicorn_Absent,-1,-1.0,3,Unicorn_Present,DOWN,DOWN,RS,891,486,0.875,32.0,0.35555555555555557,51.0,0.25381944444444443,0.484375,1.0,0.81875,0.0,1.0,29,0.004584084770106734
893,21262243,54,212680,Absent,26,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,19,13,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,893,505,0.91875,19.0,0.275,49.0,0.21590909090909088,0.5625,0.012792465124422179,0.875,0.35555555555555557,0.25381944444444443,20,1.0
894,21262243,55,212680,Absent,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,894,536,0.99375,4.0,0.045454545454545456,22.0,0.12435677530017152,0.328125,0.1353352832366127,0.91875,0.275,0.21590909090909088,13,0.012792465124422179
895,21262243,56,212680,Absent,8,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,895,564,0.975,8.0,0.09090909090909091,41.0,0.2114164904862579,0.578125,0.059105746561956225,0.99375,0.045454545454545456,0.12435677530017152,1,0.1353352832366127
896,21262243,57,212680,Absent,30,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,18,14,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,896,582,0.9125,23.0,0.10714285714285714,43.0,0.31285714285714283,0.453125,0.008264124158046258,0.975,0.09090909090909091,0.2114164904862579,4,0.059105746561956225
897,21262243,58,212680,Absent,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,897,610,0.975,6.0,0.03571428571428571,42.0,0.4744897959183674,0.59375,0.08633762966036206,0.9125,0.10714285714285714,0.31285714285714283,14,0.008264124158046258
898,21262243,59,212680,Absent,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,,898,642,1.0,9.0,0.0,9.0,0.0,0.140625,0.049787068367863944,0.975,0.03571428571428571,0.4744897959183674,4,0.08633762966036206
901,21262243,2,224305,Absent,62,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,10,22,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,901,41,0.8625,42.0,0.37777777777777777,58.0,0.3046070460704607,0.5625,0.009182867495108389,,,,,
902,21262243,3,224305,Absent,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,902,73,1.0,1.0,0.023809523809523808,22.0,0.20535714285714285,0.34375,0.36787944117144233,0.8625,0.37777777777777777,0.3046070460704607,22,0.009182867495108389
903,21262243,4,224305,Absent,53,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,903,85,0.875,38.0,0.02631578947368421,56.0,0.28479532163742693,0.5625,0.007454186295369829,1.0,0.023809523809523808,0.20535714285714285,0,0.36787944117144233
904,21262243,5,224305,Absent,27,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,21,11,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,904,106,0.93125,20.0,0.28888888888888886,41.0,0.08366013071895428,0.46875,0.01142289099346694,0.875,0.02631578947368421,0.28479532163742693,20,0.007454186295369829
