Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
45213692,2,452102,Present,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,3.0,0,64,1.0,4.0,1.0,4.0,0.0,0.0625,RS,RS,0.1353352832366127,1.0,1.0,0.0,0,0.1353352832366127
45213692,3,452102,Absent,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-64,0,Unicorn_Present,7,6.0,0,0,0.4,10.0,0.4,10.0,0.0,0.15625,RS,RS,0.04232921962320499,1.0,1.0,0.0,0,0.1353352832366127
45213692,4,452102,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,31,0.99375,2.0,0.09090909090909091,33.0,0.0,0.5,RS,RS,0.2431167344342142,0.4,0.4,0.0,0,0.04232921962320499
45213692,5,452102,Present,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Present,3,7.0,0,62,0.99375,2.0,1.0,33.0,0.0,0.5,RS,RS,0.2431167344342142,0.99375,0.09090909090909091,0.0,1,0.2431167344342142
45213692,6,452102,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,93,0.99375,2.0,1.0,33.0,0.0,0.5,RS,RS,0.2431167344342142,0.99375,1.0,0.0,1,0.2431167344342142
45213692,7,452102,Present,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,1,3.0,0,125,1.0,2.0,1.0,16.0,0.0,0.25,RS,RS,0.2431167344342142,0.99375,1.0,0.0,1,0.2431167344342142
45213692,8,452102,Present,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,0,0.0,0,157,1.0,1.0,0.5,2.0,0.0,0.03125,RS,RS,0.36787944117144233,1.0,1.0,0.0,0,0.2431167344342142
45213692,9,452102,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,188,0.99375,2.0,0.5,33.0,0.3103448275862069,0.5,RS,RS,0.2431167344342142,1.0,0.5,0.0,0,0.36787944117144233
45213692,10,452102,Present,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,1.0,0,220,1.0,2.0,1.0,9.0,0.3103448275862069,0.140625,RS,RS,0.2431167344342142,0.99375,0.5,0.3103448275862069,1,0.2431167344342142
45213692,11,452102,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,251,0.99375,2.0,1.0,33.0,0.07971014492753625,0.5,RS,RS,0.2431167344342142,1.0,1.0,0.3103448275862069,0,0.2431167344342142
45213692,12,452102,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,282,0.99375,2.0,1.0,33.0,0.07971014492753625,0.5,RS,RS,0.2431167344342142,0.99375,1.0,0.07971014492753625,1,0.2431167344342142
45213692,13,452102,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,313,0.99375,2.0,1.0,33.0,0.07683982683982682,0.5,RS,RS,0.2431167344342142,0.99375,1.0,0.07971014492753625,1,0.2431167344342142
45213692,14,452102,Present,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Present,2,5.0,0,344,0.99375,2.0,1.0,24.0,0.07683982683982682,0.359375,RS,RS,0.2431167344342142,0.99375,1.0,0.07683982683982682,1,0.2431167344342142
45213692,15,452102,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,1,Unicorn_Present,5,7.0,0,279,0.39375,2.0,1.0,33.0,0.26666666666666666,0.5,RS,RS,0.2431167344342142,0.99375,1.0,0.07683982683982682,1,0.2431167344342142
45213692,16,452102,Absent,14,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,32,0,Unicorn_Absent,-1,-1.0,0,311,1.0,13.0,0.0,13.0,0.26666666666666666,0.203125,RS,RS,0.02717246117223556,0.39375,1.0,0.26666666666666666,1,0.2431167344342142
45213692,17,452102,Absent,14,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,32,0,Unicorn_Absent,-1,-1.0,0,343,1.0,13.0,1.0,13.0,0.7631578947368421,0.203125,RS,RS,0.02717246117223556,1.0,0.0,0.26666666666666666,0,0.02717246117223556
45213692,18,452102,Absent,14,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,-64,0,Unicorn_Present,0,3.0,0,279,0.4,13.0,1.0,13.0,0.7631578947368421,0.203125,RS,RS,0.02717246117223556,1.0,1.0,0.7631578947368421,0,0.02717246117223556
45213692,19,452102,Absent,21,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,18,14,Unicorn_Absent,-1,-1.0,0,297,0.9125,19.0,0.23076923076923078,45.0,0.7631578947368421,0.484375,RS,RS,0.012792465124422179,0.4,1.0,0.7631578947368421,0,0.02717246117223556
45213692,20,452102,Present,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Present,1,3.0,0,327,0.9875,20.0,0.14705882352941177,20.0,0.7631578947368421,0.28125,RS,RS,0.01142289099346694,0.9125,0.23076923076923078,0.7631578947368421,14,0.012792465124422179
45213692,21,452102,Absent,47,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,357,0.9875,40.0,0.5,40.0,0.0,0.59375,RS,RS,0.007454186295369829,0.9875,0.14705882352941177,0.7631578947368421,2,0.01142289099346694
45213692,22,452102,Present,33,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Present,2,0.0,0,387,0.9875,29.0,0.725,29.0,0.0,0.421875,RS,RS,0.006737946999085467,0.9875,0.5,0.0,2,0.007454186295369829
45213692,23,452102,Present,44,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Present,3,1.0,0,417,0.9875,37.0,0.7837837837837838,37.0,0.0,0.546875,RS,RS,0.006737946999085467,0.9875,0.725,0.0,2,0.006737946999085467
45213692,24,452102,Absent,47,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,447,0.9875,40.0,0.925,40.0,0.0,0.59375,RS,RS,0.007454186295369829,0.9875,0.7837837837837838,0.0,2,0.006737946999085467
45213692,25,452102,Absent,47,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,477,0.9875,40.0,1.0,40.0,0.25,0.59375,RS,RS,0.007454186295369829,0.9875,0.925,0.0,2,0.007454186295369829
45213692,26,452102,Present,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,31,1,Unicorn_Present,5,6.0,0,508,0.99375,9.0,0.225,10.0,0.25,0.140625,RS,RS,0.049787068367863944,0.9875,1.0,0.25,2,0.007454186295369829
45213692,27,452102,Present,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,31,1,Unicorn_Present,5,2.0,0,539,0.99375,11.0,0.8181818181818182,12.0,0.05882352941176472,0.171875,RS,RS,0.03627506129959581,0.99375,0.225,0.25,1,0.049787068367863944
45213692,28,452102,Present,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,31,1,Unicorn_Present,0,4.0,0,570,0.99375,8.0,0.7272727272727273,9.0,0.05882352941176472,0.125,RS,RS,0.059105746561956225,0.99375,0.8181818181818182,0.05882352941176472,1,0.03627506129959581
45213692,29,452102,Absent,47,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,600,0.9875,40.0,0.2,40.0,0.10989010989010989,0.59375,RS,RS,0.007454186295369829,0.99375,0.7272727272727273,0.05882352941176472,1,0.059105746561956225
45213692,30,452102,Absent,47,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,630,0.9875,40.0,1.0,40.0,0.10989010989010989,0.59375,RS,RS,0.007454186295369829,0.9875,0.2,0.10989010989010989,2,0.007454186295369829
45213692,31,452102,Absent,47,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,660,0.9875,40.0,1.0,40.0,0.007722007722007707,0.59375,RS,RS,0.007454186295369829,0.9875,1.0,0.10989010989010989,2,0.007454186295369829
45213692,32,452102,Absent,47,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,690,0.9875,40.0,1.0,40.0,0.007722007722007707,0.59375,RS,RS,0.007454186295369829,0.9875,1.0,0.007722007722007707,2,0.007454186295369829
45213692,33,452102,Absent,47,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,720,0.9875,40.0,1.0,40.0,0.016666666666666663,0.59375,RS,RS,0.007454186295369829,0.9875,1.0,0.007722007722007707,2,0.007454186295369829
45213692,34,452102,Absent,47,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,-66,2,Unicorn_Present,3,5.0,0,654,0.3875,40.0,1.0,40.0,0.016666666666666663,0.59375,RS,RS,0.007454186295369829,0.9875,1.0,0.016666666666666663,2,0.007454186295369829
45213692,35,452102,Absent,43,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,-78,14,Unicorn_Present,7,2.0,0,576,0.3125,36.0,0.3103448275862069,50.0,0.0260545905707196,0.5625,RS,RS,0.005034190088132767,0.3875,1.0,0.016666666666666663,2,0.007454186295369829
45213692,36,452102,Absent,45,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,-82,18,Unicorn_Present,6,1.0,0,494,0.2875,29.0,0.41304347826086957,47.0,0.0260545905707196,0.453125,RS,RS,0.005537830714382473,0.3125,0.3103448275862069,0.0260545905707196,14,0.005034190088132767
45213692,37,452102,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,10,Unicorn_Present,2,5.0,4,420,0.3375,32.0,0.38636363636363635,41.0,0.0,0.484375,UP,UP,1.0,0.2875,0.41304347826086957,0.0260545905707196,18,0.005537830714382473
45213692,38,452102,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,452,1.0,0.0,0.0,38.0,0.0,0.59375,NOTHING,NOTHING,1.0,0.3375,0.38636363636363635,0.0,10,1.0
45213692,39,452102,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,0,7.0,2,484,1.0,0.0,1.0,9.0,0.06874999999999998,0.140625,NOTHING,NOTHING,1.0,1.0,0.0,0.0,0,1.0
45213692,40,452102,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,516,1.0,0.0,1.0,38.0,0.06874999999999998,0.59375,NOTHING,NOTHING,1.0,1.0,1.0,0.06874999999999998,0,1.0
45213692,41,452102,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,548,1.0,0.0,1.0,38.0,0.14184397163120566,0.59375,NOTHING,NOTHING,1.0,1.0,1.0,0.06874999999999998,0,1.0
45213692,42,452102,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,3,6.0,2,484,0.4,0.0,1.0,38.0,0.14184397163120566,0.59375,NOTHING,NOTHING,1.0,1.0,1.0,0.14184397163120566,0,1.0
45213692,43,452102,Present,19,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,30,2,Unicorn_Present,5,1.0,0,514,0.9875,17.0,0.0,32.0,0.14285714285714285,0.46875,RS,RS,0.016194143319162562,0.4,1.0,0.14184397163120566,0,1.0
45213692,44,452102,Present,16,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,32,0,Unicorn_Present,6,2.0,0,546,1.0,15.0,0.8823529411764706,29.0,0.14285714285714285,0.453125,RS,RS,0.020796234419099814,0.9875,0.0,0.14285714285714285,2,0.016194143319162562
45213692,45,452102,Absent,54,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,17,15,Unicorn_Absent,-1,-1.0,0,563,0.90625,35.0,0.42857142857142855,46.0,0.25473684210526315,0.484375,RS,RS,0.005537830714382473,1.0,0.8823529411764706,0.14285714285714285,0,0.020796234419099814
