index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
4500,7306646373,1,730667,Absent,25,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,28.0,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,28,0.975,,RS,4500,0,28.0,-75.0,19,,38,,0.53125,,,,,,RS,RS
4502,7306646373,3,730667,Absent,21,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,26.0,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-21,0.9625,11.0,RS,4502,0,26.0,24.0,16,0.20689655172413793,31,0.07869142351900973,0.390625,28.0,0.975,,,RS,RS,RS
4503,7306646373,4,730667,Absent,38,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,24.0,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,3,0.95,6.0,RS,4503,0,24.0,-77.0,29,0.15384615384615385,41,0.12740384615384615,0.515625,26.0,0.9625,0.20689655172413793,0.07869142351900973,RS,RS,RS
4505,7306646373,6,730667,Absent,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,23.0,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-51,0.94375,13.0,RS,4505,0,23.0,-1.0,18,0.38235294117647056,41,0.14425770308123248,0.5,24.0,0.95,0.15384615384615385,0.12740384615384615,RS,RS,RS
4509,7306646373,10,730667,Absent,38,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,20.0,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-35,0.925,0.0,RS,4509,0,20.0,-10.0,27,0.15384615384615385,47,0.17948717948717946,0.546875,23.0,0.94375,0.38235294117647056,0.14425770308123248,RS,RS,RS
4513,7306646373,14,730667,Absent,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,24.0,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-42,0.95,11.0,RS,4513,0,24.0,28.0,21,0.23076923076923078,41,0.04582651391162029,0.515625,20.0,0.925,0.15384615384615385,0.17948717948717946,RS,RS,RS
4516,7306646373,17,730667,Absent,38,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,14.0,18,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,28,0.8875,7.0,RS,4516,0,14.0,28.0,29,0.19047619047619047,43,0.014005602240896337,0.390625,24.0,0.95,0.23076923076923078,0.04582651391162029,RS,RS,RS
4517,7306646373,18,730667,Absent,15,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,28.0,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,56,0.975,18.0,RS,4517,0,28.0,-5.0,13,0.13513513513513514,30,0.06941031941031942,0.40625,14.0,0.8875,0.19047619047619047,0.014005602240896337,RS,RS,NOTHING
4521,7306646373,22,730667,Absent,46,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,18.0,14,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,57,0.9125,7.0,RS,4521,0,18.0,32.0,33,0.21052631578947367,51,0.0059808612440191145,0.578125,28.0,0.975,0.13513513513513514,0.06941031941031942,RS,NOTHING,RS
4522,7306646373,23,730667,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.0,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,89,1.0,14.0,NOTHING,4522,0,32.0,-16.0,0,0.0,32,0.3333333333333333,0.5,18.0,0.9125,0.21052631578947367,0.0059808612440191145,RS,RS,UP
