index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Alpha
0,1114412411,11,111444,Present,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,32,11,Unicorn_Present,2,0.0,0,Unicorn_Present,179,1.0,8.0,RS,30,0.20454545454545456,43,0.034584980237154145,0.5,0.46875,24.0,0.95,0.14893617021276595,0.16696481812760883,RS,RS,RS,0.359375,1.2
0,1114412411,12,111444,Present,18,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,28,10,Unicorn_Present,0,6.0,0,Unicorn_Present,207,0.975,0.0,RS,24,0.14893617021276595,43,0.05560928433268861,0.515625,0.375,32.0,1.0,0.2682926829268293,0.034584980237154145,RS,RS,RS,0.46875,1.2
0,1114412411,13,111444,Present,22,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,25,10,Unicorn_Present,2,6.0,0,Unicorn_Present,232,0.95625,4.0,RS,28,0.2682926829268293,44,0.010777084515031177,0.53125,0.4375,28.0,0.975,0.3333333333333333,0.05560928433268861,RS,RS,RS,0.375,1.2
0,1114412411,14,111444,Present,2,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,32,8,Unicorn_Present,2,2.0,0,Unicorn_Absent,264,1.0,7.0,RS,28,0.3333333333333333,47,0.04065040650406504,0.609375,0.4375,25.0,0.95625,0.20512820512820512,0.010777084515031177,RS,RS,RS,0.4375,1.2
0,1114412411,15,111444,Absent,32,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,21,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,285,0.93125,0.0,RS,19,0.20512820512820512,31,0.010683760683760674,0.421875,0.296875,32.0,1.0,0.3235294117647059,0.04065040650406504,RS,RS,RS,0.4375,1.2
0,1114412411,16,111444,Absent,32,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,21,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,306,0.93125,11.0,RS,26,0.3235294117647059,41,0.2124183006535948,0.5,0.40625,21.0,0.93125,0.25,0.010683760683760674,RS,RS,RS,0.296875,1.2
0,1114412411,17,111444,Present,2,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,32,9,Unicorn_Present,1,3.0,0,Unicorn_Absent,338,1.0,11.0,RS,24,0.25,37,0.07051282051282051,0.4375,0.375,21.0,0.93125,0.2894736842105263,0.2124183006535948,RS,RS,RS,0.40625,1.2
0,1114412411,18,111444,Absent,32,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,19,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,357,0.91875,0.0,RS,25,0.2894736842105263,45,0.06996148908857511,0.578125,0.390625,32.0,1.0,0.2631578947368421,0.07051282051282051,RS,RS,RS,0.375,1.2
0,1114412411,19,111444,Absent,32,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,-77,8,Unicorn_Present,5,2.0,0,Unicorn_Absent,280,0.31875,13.0,RS,23,0.2631578947368421,39,0.10760233918128653,0.484375,0.375,19.0,0.91875,0.275,0.06996148908857511,RS,RS,RS,0.390625,1.2
0,1114412411,20,111444,Absent,32,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,22,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,302,0.9375,13.0,RS,28,0.275,41,0.12115384615384617,0.515625,0.4375,-77.0,0.31875,0.225,0.10760233918128653,RS,RS,RS,0.375,1.2
