index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Delta
0,1311917648,32,131196,Absent,32,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,20,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,108,0.925,10.0,RS,23,0.21951219512195122,38,0.06620209059233448,0.453125,0.359375,-74.0,0.3375,0.29411764705882354,0.052380952380952375,RS,RS,RS,0.421875,1
0,1311917648,33,131196,Absent,33,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,-75,6,Unicorn_Present,1,0.0,0,Unicorn_Absent,33,0.33125,12.0,RS,21,0.29411764705882354,35,0.03697478991596642,0.453125,0.328125,20.0,0.925,0.20588235294117646,0.06620209059233448,RS,RS,RS,0.359375,1
0,1311917648,34,131196,Absent,32,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,24,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,57,0.95,11.0,RS,20,0.20588235294117646,34,0.02941176470588233,0.4375,0.3333333333333333,-75.0,0.33125,0.2,0.03697478991596642,RS,RS,RS,0.328125,1
0,1311917648,35,131196,Present,24,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,26,12,Unicorn_Present,5,7.0,0,Unicorn_Absent,83,0.9625,8.0,RS,28,0.2,39,0.10303030303030303,0.421875,0.4375,24.0,0.95,0.2619047619047619,0.02941176470588233,RS,RS,RS,0.3333333333333333,1
0,1311917648,36,131196,Absent,32,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,105,0.9375,6.0,RS,25,0.2619047619047619,39,0.008365508365508367,0.453125,0.390625,26.0,0.9625,0.125,0.10303030303030303,RS,RS,RS,0.4375,1
0,1311917648,37,131196,Present,17,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,28,9,Unicorn_Present,1,4.0,0,Unicorn_Present,133,0.975,10.0,RS,20,0.125,33,0.024999999999999994,0.375,0.3125,22.0,0.9375,0.26666666666666666,0.008365508365508367,RS,RS,RS,0.390625,1
0,1311917648,38,131196,Present,22,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,27,9,Unicorn_Present,4,6.0,0,Unicorn_Absent,160,0.96875,4.0,RS,18,0.26666666666666666,32,0.016666666666666663,0.359375,0.28125,28.0,0.975,0.19444444444444445,0.024999999999999994,RS,RS,RS,0.3125,1
0,1311917648,39,131196,Absent,32,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,20,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,180,0.925,5.0,RS,25,0.19444444444444445,35,0.01797385620915032,0.4375,0.390625,27.0,0.96875,0.275,0.016666666666666663,RS,RS,RS,0.28125,1
0,1311917648,40,131196,Present,28,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,24,12,Unicorn_Present,6,4.0,0,Unicorn_Present,204,0.95,12.0,RS,26,0.275,44,0.03815789473684214,0.5,0.40625,20.0,0.925,0.2702702702702703,0.01797385620915032,RS,RS,RS,0.390625,1
0,1311917648,41,131196,Absent,32,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,-76,9,Unicorn_Present,0,6.0,0,Unicorn_Present,128,0.325,8.0,RS,21,0.2702702702702703,34,0.060967944688874925,0.390625,0.328125,24.0,0.95,0.11904761904761904,0.03815789473684214,RS,RS,RS,0.40625,1
0,1311917648,42,131196,Present,16,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,27,11,Unicorn_Present,3,7.0,0,Unicorn_Present,155,0.96875,12.0,RS,26,0.11904761904761904,39,0.030952380952380953,0.4375,0.40625,-76.0,0.325,0.3333333333333333,0.060967944688874925,RS,RS,RS,0.328125,1
0,1311917648,43,131196,Absent,32,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,-77,12,Unicorn_Present,0,5.0,0,Unicorn_Absent,78,0.31875,5.0,RS,26,0.3333333333333333,39,0.04385964912280699,0.421875,0.40625,27.0,0.96875,0.25,0.030952380952380953,RS,RS,RS,0.40625,1
0,1311917648,44,131196,Absent,32,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,20,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,98,0.925,13.0,RS,24,0.25,38,0.09615384615384615,0.5,0.4,-77.0,0.31875,0.3170731707317073,0.04385964912280699,RS,RS,RS,0.40625,1
0,1311917648,45,131196,Absent,32,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,-73,14,Unicorn_Present,1,6.0,0,Unicorn_Absent,25,0.34375,12.0,RS,30,0.3170731707317073,44,0.14634146341463414,0.46875,0.46875,20.0,0.925,0.24444444444444444,0.09615384615384615,RS,RS,RS,0.4,1
0,1311917648,46,131196,Absent,32,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,25,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,50,0.95625,9.0,RS,26,0.24444444444444444,36,0.061111111111111144,0.421875,0.40625,-73.0,0.34375,0.23809523809523808,0.14634146341463414,RS,RS,RS,0.46875,1
0,1311917648,47,131196,Present,29,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,26,10,Unicorn_Present,4,6.0,0,Unicorn_Absent,76,0.9625,7.0,RS,26,0.23809523809523808,38,0.03221288515406162,0.4375,0.40625,25.0,0.95625,0.4,0.061111111111111144,RS,RS,RS,0.40625,1
0,1311917648,48,131196,Absent,32,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,23,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,99,0.94375,6.0,RS,30,0.4,44,0.24615384615384617,0.546875,0.46875,26.0,0.9625,0.2619047619047619,0.03221288515406162,RS,RS,RS,0.40625,1
