index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Delta
0,6342268242,31,634227,Absent,33,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,18,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,434,0.9125,9.0,RS,29,0.24390243902439024,43,0.059691912708600775,0.484375,0.453125,23.0,0.94375,0.225,0.09679487179487181,RS,RS,RS,0.35,0.8
0,6342268242,32,634227,Absent,32,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,458,0.95,14.0,RS,20,0.225,37,0.018902439024390233,0.453125,0.3333333333333333,18.0,0.9125,0.18518518518518517,0.059691912708600775,RS,RS,RS,0.453125,0.8
0,6342268242,33,634227,Absent,32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-78,2,Unicorn_Present,2,6.0,0,Unicorn_Present,380,0.3125,8.0,RS,12,0.18518518518518517,34,0.07122507122507121,0.5,0.1891891891891892,24.0,0.95,0.0967741935483871,0.018902439024390233,RS,RS,RS,0.3333333333333333,0.8
0,6342268242,34,634227,Present,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,32,8,Unicorn_Present,6,3.0,0,Unicorn_Absent,412,1.0,14.0,RS,22,0.0967741935483871,41,0.21091811414392062,0.515625,0.3488372093023256,-78.0,0.3125,0.20588235294117646,0.07122507122507121,RS,RS,RS,0.1891891891891892,0.8
0,6342268242,35,634227,Absent,32,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,21,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,433,0.93125,0.0,RS,19,0.20588235294117646,33,0.06302521008403361,0.40625,0.3076923076923077,32.0,1.0,0.15384615384615385,0.21091811414392062,RS,RS,RS,0.3488372093023256,0.8
0,6342268242,36,634227,Present,21,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,27,10,Unicorn_Present,5,4.0,0,Unicorn_Present,460,0.96875,11.0,RS,26,0.15384615384615385,44,0.012820512820512803,0.53125,0.40625,21.0,0.93125,0.23684210526315788,0.06302521008403361,RS,RS,RS,0.3076923076923077,0.8
0,6342268242,37,634227,Absent,33,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-75,7,Unicorn_Present,1,3.0,0,Unicorn_Present,385,0.33125,5.0,RS,21,0.23684210526315788,34,0.0661103979460847,0.421875,0.328125,27.0,0.96875,0.23255813953488372,0.012820512820512803,RS,RS,RS,0.40625,0.8
0,6342268242,38,634227,Absent,32,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,-74,13,Unicorn_Present,4,0.0,0,Unicorn_Absent,311,0.3375,11.0,RS,32,0.23255813953488372,45,0.04521963824289407,0.5,0.5,-75.0,0.33125,0.2222222222222222,0.0661103979460847,RS,RS,RS,0.328125,0.8
0,6342268242,39,634227,Absent,32,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,22,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,333,0.9375,10.0,RS,23,0.2222222222222222,34,0.03303303303303301,0.421875,0.37209302325581395,-74.0,0.3375,0.2,0.04521963824289407,RS,RS,RS,0.5,0.8
0,6342268242,40,634227,Absent,32,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,-75,8,Unicorn_Present,2,7.0,0,Unicorn_Absent,258,0.33125,10.0,RS,25,0.2,40,0.00588235294117645,0.5,0.390625,22.0,0.9375,0.275,0.03303303303303301,RS,RS,RS,0.37209302325581395,0.8
0,6342268242,41,634227,Absent,32,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,26,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,284,0.9625,11.0,RS,26,0.275,41,0.09078947368421056,0.53125,0.40625,-75.0,0.33125,0.358974358974359,0.00588235294117645,RS,RS,RS,0.390625,0.8
0,6342268242,42,634227,Absent,32,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,-72,6,Unicorn_Present,5,2.0,0,Unicorn_Absent,212,0.35,6.0,RS,27,0.358974358974359,41,0.12368024132730016,0.546875,0.421875,26.0,0.9625,0.358974358974359,0.09078947368421056,RS,RS,RS,0.40625,0.8
0,6342268242,43,634227,Absent,32,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,233,0.93125,8.0,RS,26,0.358974358974359,34,0.2119155354449472,0.359375,0.40625,-72.0,0.35,0.21951219512195122,0.12368024132730016,RS,RS,RS,0.421875,0.8
