index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Alpha
0,1490314743,52,147433,Absent,32,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,26,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-29,0.9625,14.0,RS,20,0.2564102564102564,33,0.0814102564102564,0.359375,0.3125,18.0,0.9125,0.22857142857142856,0.13783783783783782,RS,RS,RS,0.453125,1
0,1490314743,53,147433,Present,4,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,31,8,Unicorn_Present,5,0.0,0,Unicorn_Absent,2,0.99375,6.0,RS,23,0.22857142857142856,36,0.039382239382239365,0.4375,0.359375,26.0,0.9625,0.2702702702702703,0.0814102564102564,RS,RS,RS,0.3125,1
0,1490314743,54,147433,Absent,32,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,21,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,23,0.93125,1.0,RS,24,0.2702702702702703,39,0.02702702702702703,0.453125,0.375,31.0,0.99375,0.2222222222222222,0.039382239382239365,RS,RS,RS,0.359375,1
0,1490314743,55,147433,Absent,32,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,20,13,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,43,0.925,11.0,RS,31,0.2222222222222222,43,0.0935672514619883,0.46875,0.484375,21.0,0.93125,0.275,0.02702702702702703,RS,RS,RS,0.375,1
0,1490314743,56,147433,Absent,32,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-75,4,Unicorn_Present,0,2.0,0,Unicorn_Present,-32,0.33125,12.0,RS,20,0.275,39,0.10426829268292684,0.546875,0.3125,20.0,0.925,0.16666666666666666,0.0935672514619883,RS,RS,RS,0.484375,1
0,1490314743,57,147433,Absent,32,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,-69,11,Unicorn_Present,5,5.0,0,Unicorn_Present,-101,0.36875,11.0,RS,22,0.16666666666666666,34,0.01282051282051283,0.359375,0.35135135135135137,-75.0,0.33125,0.1951219512195122,0.10426829268292684,RS,RS,RS,0.3125,1
0,1490314743,58,147433,Present,14,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,31,8,Unicorn_Present,3,4.0,0,Unicorn_Absent,-70,0.99375,5.0,RS,27,0.1951219512195122,42,0.01540436456996147,0.53125,0.421875,-69.0,0.36875,0.24390243902439024,0.01282051282051283,RS,RS,RS,0.35135135135135137,1
0,1490314743,59,147433,Absent,32,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,23,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-47,0.94375,1.0,RS,24,0.24390243902439024,41,0.059691912708600775,0.5625,0.375,31.0,0.99375,0.17142857142857143,0.01540436456996147,RS,RS,,0.421875,1
0,1490314743,60,147433,Present,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,30,5,Unicorn_Present,5,1.0,0,,-17,0.9875,9.0,RS,17,0.17142857142857143,36,0.03909774436090224,0.484375,0.32432432432432434,23.0,0.94375,,0.059691912708600775,RS,,,0.375,1
0,1490314743,1,149038,Present,22,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,27,14,Unicorn_Present,0,5.0,0,Unicorn_Absent,27,0.96875,,RS,32,,46,,0.5,0.5,,,0.3488372093023256,,,RS,RS,,1
