Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
1045963521,1,104599,Absent,31,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,-72,9,Unicorn_Present,0,3.0,0,Unicorn_Absent,-72,0.35,,RS,27,,49,,0.625,,,0.36363636363636365,,,RS,RS
1045963521,2,104599,Absent,44,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,26,13,Unicorn_Absent,-1,-1,0,Unicorn_Absent,-46,0.9625,8,RS,33,0.36363636363636365,49,0.03030303030303033,0.5625,-72.0,0.35,0.34782608695652173,,RS,RS,RS
1045963521,3,104599,Absent,23,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,25,11,Unicorn_Absent,-1,-1,0,Unicorn_Present,-21,0.95625,6,RS,29,0.34782608695652173,49,0.07123034227567066,0.59375,26.0,0.9625,0.24444444444444444,0.03030303030303033,RS,RS,RS
1045963521,4,104599,Absent,28,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,-71,8,Unicorn_Present,0,6.0,0,Unicorn_Absent,-92,0.35625,7,RS,27,0.24444444444444444,44,0.05295508274231678,0.5625,25.0,0.95625,0.175,0.07123034227567066,RS,RS,RS
1045963521,5,104599,Absent,31,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,22,9,Unicorn_Absent,-1,-1,0,Unicorn_Absent,-70,0.9375,7,RS,20,0.175,37,0.0159090909090909,0.4375,-71.0,0.35625,0.10810810810810811,0.05295508274231678,RS,RS,RS
1045963521,6,104599,Absent,33,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,22,6,Unicorn_Absent,-1,-1,0,Unicorn_Present,-48,0.9375,10,RS,21,0.10810810810810811,43,0.17760617760617758,0.578125,22.0,0.9375,0.28125,0.0159090909090909,RS,RS,RS
1045963521,7,104599,Absent,32,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,-73,6,Unicorn_Present,3,2.0,0,Unicorn_Absent,-121,0.34375,10,RS,20,0.28125,34,0.05048076923076922,0.4375,22.0,0.9375,0.2222222222222222,0.17760617760617758,RS,RS,RS
1045963521,8,104599,Absent,35,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,19,9,Unicorn_Absent,-1,-1,0,Unicorn_Absent,-102,0.91875,9,RS,24,0.2222222222222222,44,0.0027777777777777957,0.546875,-73.0,0.34375,0.07692307692307693,0.05048076923076922,RS,RS,RS
1045963521,9,104599,Absent,32,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,21,7,Unicorn_Absent,-1,-1,0,Unicorn_Present,-81,0.93125,13,RS,18,0.07692307692307693,39,0.2486583184257603,0.5,19.0,0.91875,0.23684210526315788,0.0027777777777777957,RS,RS,RS
1045963521,10,104599,Absent,34,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,-75,7,Unicorn_Present,5,6.0,0,Unicorn_Present,-156,0.33125,11,RS,29,0.23684210526315788,43,0.08748221906116646,0.5625,21.0,0.93125,0.2558139534883721,0.2486583184257603,RS,RS,RS
