Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
1179955803,11,117995,Absent,39,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,26,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,72,0.9625,1,RS,21,0.17073170731707318,42,0.05426829268292682,0.546875,31.0,0.99375,0.15789473684210525,0.13333333333333333,RS,RS,RS
1179955803,12,117995,Present,33,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,22,10,Unicorn_Present,6,2.0,0,Unicorn_Absent,94,0.9375,6,RS,23,0.15789473684210525,40,0.09210526315789475,0.46875,26.0,0.9625,0.22857142857142856,0.05426829268292682,RS,RS,RS
1179955803,13,117995,Absent,46,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,118,0.95,10,RS,20,0.22857142857142856,33,0.05783972125435538,0.390625,22.0,0.9375,0.3333333333333333,0.09210526315789475,RS,RS,RS
1179955803,14,117995,Absent,32,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,21,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,139,0.93125,8,RS,20,0.3333333333333333,40,0.08333333333333331,0.484375,24.0,0.95,0.24242424242424243,0.05783972125435538,RS,RS,RS
1179955803,15,117995,Absent,41,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,18,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,157,0.9125,11,RS,21,0.24242424242424243,37,0.08333333333333334,0.484375,21.0,0.93125,0.23684210526315788,0.08333333333333331,RS,RS,RS
1179955803,16,117995,Absent,36,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,-80,12,Unicorn_Present,6,3.0,0,Unicorn_Absent,77,0.3,14,RS,26,0.23684210526315788,42,0.01732991014120666,0.46875,18.0,0.9125,0.2972972972972973,0.08333333333333334,RS,RS,OUT
1179955803,17,117995,Absent,36,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,19,14,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,96,0.91875,16,RS,22,0.2972972972972973,44,0.036036036036036,0.46875,-80.0,0.3,0.19047619047619047,0.01732991014120666,RS,OUT,OUT
1179955803,18,117995,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,128,1.0,13,OUT,28,0.19047619047619047,64,0.8095238095238095,1.0,19.0,0.91875,1.0,0.036036036036036,RS,OUT,OUT
1179955803,19,117995,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,160,1.0,0,OUT,28,1.0,64,0.0,1.0,32.0,1.0,1.0,0.8095238095238095,OUT,OUT,OUT
1179955803,20,117995,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,192,1.0,0,OUT,28,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,OUT,OUT,OUT
