Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
1076436361,1,107648,Present,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,32,7,Unicorn_Present,7,3.0,0,Unicorn_Present,32,1.0,,RS,22,,34,,0.421875,,,0.1891891891891892,,,RS,RS
1076436361,2,107648,Present,36,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27,8,Unicorn_Present,1,1.0,0,Unicorn_Present,59,0.96875,0,RS,22,0.1891891891891892,36,0.050300300300300305,0.4375,32.0,1.0,0.15,,RS,RS,RS
1076436361,3,107648,Present,14,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,30,11,Unicorn_Present,2,4.0,0,Unicorn_Absent,89,0.9875,5,RS,24,0.15,42,0.09390243902439024,0.484375,27.0,0.96875,0.28205128205128205,0.050300300300300305,RS,RS,RS
1076436361,4,107648,Absent,37,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,110,0.93125,2,RS,26,0.28205128205128205,45,0.0005574136008918429,0.53125,30.0,0.9875,0.23809523809523808,0.09390243902439024,RS,RS,RS
1076436361,5,107648,Absent,35,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,25,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,135,0.95625,11,RS,26,0.23809523809523808,37,0.0058072009291521565,0.421875,21.0,0.93125,0.2222222222222222,0.0005574136008918429,RS,RS,RS
1076436361,6,107648,Absent,33,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,157,0.9375,7,RS,29,0.2222222222222222,41,0.06006006006006004,0.484375,25.0,0.95625,0.21951219512195122,0.0058072009291521565,RS,RS,RS
1076436361,7,107648,Absent,25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,27,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,184,0.96875,10,RS,21,0.21951219512195122,36,0.008985879332477548,0.421875,22.0,0.9375,0.16666666666666666,0.06006006006006004,RS,RS,RS
1076436361,8,107648,Absent,27,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,26,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,210,0.9625,5,RS,28,0.16666666666666666,43,0.047619047619047616,0.484375,27.0,0.96875,0.19148936170212766,0.008985879332477548,RS,RS,RS
1076436361,9,107648,Absent,43,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,20,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,230,0.925,6,RS,28,0.19148936170212766,41,0.17993920972644378,0.515625,26.0,0.9625,0.225,0.047619047619047616,RS,RS,RS
1076436361,10,107648,Present,15,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,28,8,Unicorn_Present,3,4.0,0,Unicorn_Present,258,0.975,12,RS,21,0.225,38,0.04551282051282052,0.46875,20.0,0.925,0.2972972972972973,0.17993920972644378,RS,RS,RS
