index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1644,354-344,25,354-344PL2,Absent,18329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,10,5,7,4,1,17,18,16,9,8,6,3,2,19,14,15,33,32,27,28,26,12,20,21,34,31,30,29,25,24,23,22,25,7,Unicorn_Absent,-1,-1,Unicorn_Present,DOWN,1644,0,16.557488653555218,28.0,51,0.95625,33,0.5116279069767442,64,0.1037567084078712,0.890625,0.3011942119122021,0.9,0.4888888888888889,0.1962962962962964,16.0,RS,DOWN,0.00822974704902003
1646,354-344,27,354-344PL2,Absent,20417,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,27,0,0,0,0,0,25,26,0,0,0,0,0,0,0,0,0,20,21,22,0,0,28,0,1,19,3,18,0,29,24,0,23,15,14,5,0,30,0,36,0,16,13,12,0,31,0,35,0,17,11,6,0,0,32,33,34,10,9,8,19,13,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1646,0,16.557488653555218,30.5,70,0.91875,33,0.5,59,0.21111111111111114,0.71875,0.004090488681861962,0.95625,0.5116279069767442,0.1037567084078712,7.0,DOWN,RS,0.3011942119122021
1651,354-344,32,354-344PL2,Absent,20489,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,35,34,32,33,28,29,31,30,17,18,19,20,21,22,23,24,16,13,12,9,1,3,6,7,14,15,11,10,2,4,5,8,24,8,Unicorn_Absent,-1,-1,Unicorn_Absent,DOWN,1651,0,16.557488653555218,16.557488653555218,94,0.95,35,0.5111111111111111,64,0.25633074935400524,0.875,0.12512263168945895,0.91875,0.5,0.21111111111111114,13.0,RS,DOWN,0.004090488681861962
1652,354-344,33,354-344PL2,Absent,17649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,0,0,0,0,0,0,0,27,0,0,0,0,0,0,29,30,28,31,32,33,24,23,22,21,20,19,18,17,7,8,9,10,11,12,13,14,6,5,4,3,2,1,16,15,25,7,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1652,0,16.557488653555218,16.557488653555218,119,0.95625,33,0.7894736842105263,64,0.003759398496240629,0.890625,0.06833852792409179,0.95,0.5111111111111111,0.25633074935400524,8.0,DOWN,RS,0.12512263168945895
1653,354-344,34,354-344PL2,Absent,17463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,34,0,33,0,0,0,0,0,0,0,0,0,25,26,27,28,29,30,31,32,17,18,19,20,24,21,23,22,16,15,14,13,12,11,10,9,1,2,3,4,5,6,7,8,26,6,Unicorn_Absent,-1,-1,Unicorn_Present,DOWN,1653,0,16.557488653555218,32.0,145,0.9625,35,0.8378378378378378,64,0.033957033957033984,0.90625,0.12512263168945895,0.95625,0.7894736842105263,0.003759398496240629,7.0,RS,RS,0.06833852792409179
1655,354-344,36,354-344PL2,Absent,15624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,24,25,26,0,0,0,29,28,27,23,22,0,0,17,18,19,20,0,0,0,0,15,14,11,10,7,6,5,4,16,13,12,9,8,1,2,3,27,5,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1655,0,16.557488653555218,32.0,172,0.96875,29,0.6410256410256411,54,0.1645299145299145,0.765625,0.01868657834410481,0.9625,0.8378378378378378,0.033957033957033984,6.0,RS,DOWN,0.12512263168945895
1657,354-344,38,354-344PL2,Absent,20240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,10,0,0,26,0,0,14,15,9,0,0,27,0,17,16,11,8,29,28,0,0,18,13,12,7,0,0,24,22,20,23,6,5,30,31,0,21,1,2,3,4,21,11,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1657,0,16.557488653555218,16.557488653555218,193,0.93125,30,0.475,62,0.2226744186046512,0.796875,0.011220768761929843,0.96875,0.6410256410256411,0.1645299145299145,5.0,DOWN,DOWN,0.01868657834410481
1658,354-344,39,354-344PL2,Absent,17349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,32,8,9,31,30,29,24,25,12,7,6,26,27,28,22,21,1,3,4,20,19,18,23,13,14,2,5,15,16,17,27,5,Unicorn_Absent,-1,-1,Unicorn_Present,DOWN,1658,0,16.557488653555218,32.0,220,0.96875,31,0.6486486486486487,64,0.0747556066705003,0.921875,0.12512263168945895,0.93125,0.475,0.2226744186046512,11.0,DOWN,RS,0.011220768761929843
1660,354-344,41,354-344PL2,Absent,20485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,34,0,0,0,32,31,30,29,28,27,26,18,19,20,21,22,23,24,25,17,14,13,10,9,8,6,5,16,15,12,11,1,3,7,4,26,6,Unicorn_Absent,-1,-1,Unicorn_Present,DOWN,1660,0,16.557488653555218,32.0,246,0.9625,33,0.8823529411764706,64,0.040723981900452566,0.90625,0.12512263168945895,0.96875,0.6486486486486487,0.0747556066705003,5.0,RS,DOWN,0.12512263168945895
1663,354-344,44,354-344PL2,Absent,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,7,9,0,10,0,0,23,0,26,27,28,11,0,0,22,30,0,20,0,0,0,0,6,0,5,4,17,18,13,31,32,2,33,3,16,15,0,26,6,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1663,0,16.557488653555218,16.557488653555218,272,0.9625,26,0.5945945945945946,53,0.15540540540540534,0.734375,0.00822974704902003,0.9625,0.8823529411764706,0.040723981900452566,6.0,DOWN,RS,0.12512263168945895
