index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,Similarity_LAG1
122,142-263,3,142-263PL1,Absent,33164,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,16,0,0,0,17,0,25,0,28,0,26,3,0,0,2,0,0,0,22,0,0,21,0,0,13,0,0,7,0,0,8,0,6,0,0,0,18,14,0,24,0,0,23,4,12,0,5,0,20,27,0,0,0,15,10,0,11,0,9,0,19,13,19,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,122,0,16.557488653555218,16.557488653555218,22,0.88125,28,0.2325581395348837,44,0.2846832397754612,0.390625,0.0017470910232989688,,,,,RS,
123,142-263,4,142-263PL1,Absent,28551,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,6,0,27,0,28,0,0,5,30,0,0,29,0,2,0,4,26,1,0,25,24,0,0,23,19,0,20,0,21,0,0,22,14,34,0,33,0,32,3,0,0,18,0,17,0,15,0,16,0,11,0,0,13,0,12,0,7,0,31,10,9,0,0,8,11,21,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,123,0,16.557488653555218,16.557488653555218,33,0.86875,34,0.3191489361702128,56,0.1808510638297872,0.546875,0.0017470910232989688,0.88125,0.2325581395348837,0.2846832397754612,19.0,RS,0.0017470910232989688
124,142-263,5,142-263PL1,Absent,27137,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,8,0,0,17,0,18,0,7,0,30,0,0,29,0,31,0,0,15,0,16,28,0,6,0,5,0,26,25,24,27,0,0,0,23,0,13,0,0,14,0,0,4,0,21,0,22,3,0,19,12,0,0,2,0,20,0,1,0,10,0,11,0,0,9,8,24,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,124,0,16.557488653555218,16.557488653555218,41,0.85,31,0.4772727272727273,61,0.1393939393939394,0.578125,0.0024787521766663585,0.86875,0.3191489361702128,0.1808510638297872,21.0,RS,0.0017470910232989688
125,142-263,6,142-263PL1,Absent,19417,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,5,0,0,0,15,0,0,6,0,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,9,0,13,0,0,0,14,0,0,0,0,0,2,0,0,0,1,0,8,0,0,0,0,7,25,7,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,125,0,16.557488653555218,16.557488653555218,66,0.95625,15,0.2432432432432433,39,0.17342342342342346,0.5,0.009584768880023008,0.85,0.4772727272727273,0.1393939393939394,24.0,RS,0.0024787521766663585
126,142-263,7,142-263PL1,Absent,19209,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,5,0,0,16,0,17,0,4,0,23,0,0,0,0,0,0,0,0,14,0,18,13,0,22,0,15,0,0,0,11,12,0,0,0,10,0,0,3,0,0,9,0,0,0,0,0,20,0,0,19,0,2,0,8,0,0,1,0,7,0,21,0,0,6,18,14,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,126,0,16.557488653555218,16.557488653555218,84,0.9125,23,0.3103448275862069,46,0.13646368305209094,0.5,0.003166913489668913,0.95625,0.2432432432432433,0.17342342342342346,7.0,RS,0.009584768880023008
127,142-263,8,142-263PL1,Absent,15769,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,3,0,23,0,0,0,0,2,0,0,0,21,0,0,22,0,0,20,0,0,0,19,0,0,15,14,0,13,0,0,12,0,0,0,17,16,0,0,18,0,10,9,0,0,0,8,0,0,0,11,0,7,0,0,0,0,1,0,5,0,0,6,0,4,23,9,Unicorn_Absent,-1,-1,Unicorn_Present,RS,127,0,16.557488653555218,-4.666666666666667,107,0.94375,23,0.35294117647058826,37,0.010695187165775388,0.4375,0.003166913489668913,0.9125,0.3103448275862069,0.13646368305209094,14.0,RS,0.003166913489668913
131,142-263,12,142-263PL1,Absent,21775,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,3,0,0,5,0,25,0,4,0,0,19,0,0,0,0,0,14,0,18,0,15,16,0,17,0,24,0,13,0,26,0,27,0,7,0,0,8,0,9,0,28,0,0,23,0,0,22,0,20,0,12,0,0,10,0,0,1,29,21,6,0,11,0,2,15,17,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,131,0,16.557488653555218,16.557488653555218,122,0.89375,29,0.2682926829268293,56,0.045432807269249136,0.609375,0.00195887900173681,0.94375,0.35294117647058826,0.010695187165775388,9.0,RS,0.003166913489668913
132,142-263,13,142-263PL1,Absent,16080,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,3,0,4,16,0,2,0,0,0,0,0,15,0,0,0,0,0,0,11,0,0,14,10,0,0,0,0,0,0,13,0,0,0,12,17,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,6,21,11,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,132,0,16.557488653555218,16.557488653555218,143,0.93125,17,0.2777777777777778,41,0.1851851851851852,0.46875,0.0070995295993586515,0.89375,0.2682926829268293,0.045432807269249136,17.0,RS,0.00195887900173681
133,142-263,14,142-263PL1,Absent,13156,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,5,0,0,0,14,15,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,11,0,0,9,0,0,0,0,0,0,0,0,0,2,0,12,0,0,16,18,0,17,0,0,0,0,1,0,0,8,0,0,0,6,28,4,Unicorn_Absent,-1,-1,Unicorn_Present,RS,133,0,16.557488653555218,32.0,171,0.975,17,0.25925925925925924,39,0.038613081166272656,0.546875,0.0070995295993586515,0.93125,0.2777777777777778,0.1851851851851852,11.0,RS,0.0070995295993586515
135,142-263,16,142-263PL1,Absent,11830,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,10,9,8,0,0,7,0,0,0,23,0,22,0,0,0,0,0,0,0,0,11,0,20,0,0,19,0,21,0,24,12,0,0,6,0,0,0,0,0,0,5,16,17,0,4,0,0,13,0,0,18,0,0,3,0,0,1,0,0,2,0,15,0,14,20,12,Unicorn_Absent,-1,-1,Unicorn_Present,RS,135,0,16.557488653555218,25.0,191,0.925,24,0.3225806451612903,40,0.005507474429582993,0.4375,0.002798209913999482,0.975,0.25925925925925924,0.038613081166272656,4.0,RS,0.0070995295993586515
