index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,Similarity_LAG1
2042,416-710,3,416-710PL1,Absent,34371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,44,43,47,42,41,40,53,34,46,35,48,37,38,39,52,59,33,54,49,50,51,24,23,60,58,55,30,32,29,22,19,62,57,56,28,27,26,20,18,63,64,13,31,14,15,17,21,66,65,9,10,6,16,5,11,67,1,8,7,2,3,4,12,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,2042,0,16.557488653555218,16.557488653555218,56,1.0,64,1.0,64,1.0,1.0,1.0,,,,,ALL,
2043,416-710,4,416-710PL1,Absent,28794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72,73,63,55,56,62,58,59,71,66,65,36,54,61,52,60,70,67,37,74,35,51,47,46,68,38,39,33,50,43,48,49,69,32,40,41,19,18,45,17,31,22,21,1,15,14,16,13,28,29,24,2,6,11,3,10,27,30,25,26,5,8,9,12,20,12,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,2043,0,16.557488653555218,18.0,76,0.925,64,1.0,64,1.0,0.8125,1.0,1.0,1.0,1.0,0.0,ALL,1.0
2045,416-710,6,416-710PL1,Absent,23584,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69,70,12,50,49,51,52,53,68,71,73,48,47,10,45,43,76,75,72,19,20,21,46,41,65,8,24,23,16,22,18,40,64,25,77,28,29,17,39,35,78,26,27,7,30,6,36,38,61,60,59,57,31,32,34,5,1,2,3,58,56,4,55,54,21,11,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,2045,0,16.557488653555218,16.557488653555218,97,0.93125,64,1.0,64,0.7894736842105263,0.828125,1.0,0.925,1.0,1.0,12.0,ALL,1.0
2046,416-710,7,416-710PL1,Absent,23951,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84,64,63,44,43,40,39,38,83,65,7,8,45,41,9,10,82,67,6,46,15,13,11,37,81,68,62,48,16,4,34,32,80,70,60,49,19,20,35,31,79,72,59,51,18,22,3,30,78,73,58,53,2,24,27,36,76,74,56,54,55,25,26,28,19,13,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,2046,0,16.557488653555218,16.557488653555218,116,0.91875,64,1.0,64,0.9090909090909092,0.796875,1.0,0.93125,1.0,0.7894736842105263,11.0,ALL,1.0
2047,416-710,8,416-710PL1,Absent,24528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,65,66,69,70,71,15,72,25,62,27,28,29,30,31,32,24,74,63,12,18,19,35,34,61,23,22,21,76,20,11,73,1,2,7,3,6,4,5,36,58,0,8,9,57,55,75,54,42,60,41,40,49,50,38,53,43,44,45,46,48,39,51,52,20,12,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,2047,0,16.557488653555218,32.0,136,0.925,63,0.984375,63,0.8974184782608696,0.796875,0.3011942119122021,0.91875,1.0,0.9090909090909092,13.0,ALL,1.0
2049,416-710,10,416-710PL1,Absent,52284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,16,15,14,13,12,11,10,9,17,18,19,20,21,22,23,24,32,31,30,29,28,27,26,25,33,34,35,36,37,38,39,40,48,47,46,45,44,43,42,41,49,50,51,52,53,54,56,57,65,64,63,62,61,60,59,58,31,1,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,2049,0,16.557488653555218,32.0,167,0.99375,64,0.984375,64,0.9010416666666666,0.984375,1.0,0.925,0.984375,0.8974184782608696,12.0,ALL,0.3011942119122021
2055,416-710,16,416-710PL1,Absent,34018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,20,36,37,69,68,71,2,16,21,35,39,70,66,67,3,15,22,34,47,48,65,64,4,19,23,33,40,49,62,63,5,14,24,32,42,50,61,60,6,13,25,31,46,51,58,59,7,12,26,30,44,52,57,56,10,11,28,29,45,53,54,55,32,0,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,2055,0,16.557488653555218,32.0,199,1.0,64,1.0,64,1.0,1.0,1.0,0.99375,0.984375,0.9010416666666666,1.0,ALL,1.0
2060,416-710,21,416-710PL1,Absent,24021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82,17,18,32,35,80,37,81,16,21,19,33,34,78,77,39,25,27,6,30,79,3,4,76,26,23,29,7,70,71,72,75,14,65,2,69,68,8,73,74,63,60,66,62,59,58,55,54,64,61,1,12,11,53,57,41,49,48,50,52,46,45,44,43,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,2060,0,16.557488653555218,16.557488653555218,231,1.0,64,1.0,64,0.0,1.0,1.0,1.0,1.0,1.0,0.0,ALL,1.0
2061,416-710,22,416-710PL1,Absent,25579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58,6,62,59,63,8,86,87,57,5,60,66,65,85,84,83,55,12,15,14,68,80,81,82,54,17,16,67,69,78,77,76,11,19,10,70,71,72,74,75,53,52,50,47,46,44,43,42,22,27,28,48,40,33,36,41,23,25,1,30,31,88,35,38,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,2061,0,16.557488653555218,16.557488653555218,263,1.0,64,1.0,64,0.0,1.0,1.0,1.0,1.0,0.0,0.0,ALL,1.0
2062,416-710,23,416-710PL1,Absent,23775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,83,84,86,87,53,52,51,80,81,6,5,4,54,16,50,79,78,7,75,76,56,17,48,29,25,77,74,3,57,19,46,31,24,69,2,11,58,20,45,32,1,23,68,66,65,59,60,34,73,70,22,67,64,63,61,35,37,72,38,39,41,42,43,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,2062,0,16.557488653555218,16.557488653555218,295,1.0,64,1.0,64,0.0,1.0,1.0,1.0,1.0,0.0,0.0,ALL,1.0
