index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
0,1004739415,11,100472,Absent,41,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,13,19,Unicorn_Absent,-1,-1.0,"[3, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 25, 27, 28, 29, 31, 32, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 48, 49, 51, 52, 53, 54, 55, 57, 59, 63]",Unicorn_Absent,-62,0.88125,19.0,,41,1.0,52,0.0,0.515625,23,-83.0,0.28125,0.4716981132075472,0.1608510638297872,,,,23.0
0,1004739415,12,100472,Absent,37,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,15,17,Unicorn_Absent,-1,-1.0,"[2, 5, 7, 10, 11, 12, 13, 15, 16, 20, 24, 25, 28, 29, 30, 31, 34, 36, 38, 39, 40, 43, 44, 45, 46, 48, 49, 51, 52, 53, 55, 56, 57, 58, 60, 61, 62]",Unicorn_Absent,-47,0.89375,19.0,,37,0.4716981132075472,52,0.25601183869774324,0.546875,25,13.0,0.88125,0.46296296296296297,0.0,,,,23.0
0,1004739415,13,100472,Absent,42,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,5,27,Unicorn_Absent,-1,-1.0,"[0, 2, 4, 6, 8, 10, 15, 16, 17, 18, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 52, 55, 57, 58, 59, 60, 63]",Unicorn_Present,-42,0.83125,17.0,,42,0.46296296296296297,53,0.27652228499686127,0.40625,22,15.0,0.89375,0.4727272727272727,0.25601183869774324,,,,25.0
0,1004739415,14,100472,Present,39,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,13,19,Unicorn_Present,7,6.0,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 14, 16, 17, 20, 21, 22, 25, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 46, 47, 49, 50, 51, 52, 54, 55, 56, 59, 62]",Unicorn_Present,-29,0.88125,27.0,,39,0.4727272727272727,52,0.26583072100313476,0.515625,21,5.0,0.83125,0.9512195121951219,0.27652228499686127,,,,22.0
0,1004739415,15,100472,Present,41,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,13,19,Unicorn_Present,3,7.0,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 14, 16, 17, 20, 21, 22, 25, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 46, 47, 49, 50, 51, 52, 54, 55, 56, 59, 62]",Unicorn_Absent,-16,0.88125,19.0,,41,0.9512195121951219,54,0.04878048780487809,0.546875,23,13.0,0.88125,0.9761904761904762,0.26583072100313476,,,,21.0
0,1004739415,16,100472,Absent,42,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,13,19,Unicorn_Absent,-1,-1.0,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 14, 16, 17, 20, 21, 22, 25, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 46, 47, 49, 50, 51, 52, 54, 55, 56, 59, 62]",Unicorn_Present,-3,0.88125,19.0,,42,0.9761904761904762,55,0.023809523809523836,0.5625,22,13.0,0.88125,0.2692307692307692,0.04878048780487809,,,,23.0
0,1004739415,17,100472,Present,24,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Present,7,6.0,"[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 35, 37, 38, 39, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 57, 58, 59, 60, 61, 62, 63]",Unicorn_Absent,28,0.99375,19.0,,24,0.2692307692307692,47,0.25104895104895103,0.71875,8,13.0,0.88125,0.46153846153846156,0.023809523809523836,,,,22.0
0,1004739415,18,100472,Absent,52,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,7,25,Unicorn_Absent,-1,-1.0,"[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 35, 37, 38, 39, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 57, 58, 59, 60, 61, 62, 63]",Unicorn_Present,35,0.84375,1.0,,52,0.46153846153846156,58,0.3126550868486352,0.515625,12,31.0,0.99375,0.17857142857142858,0.25104895104895103,,,,8.0
0,1004739415,19,100472,Present,14,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,Unicorn_Present,7,1.0,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 53, 54, 56, 58, 60, 62, 63]",Unicorn_Absent,56,0.93125,25.0,,14,0.17857142857142858,16,0.17857142857142858,0.078125,14,7.0,0.84375,0.2641509433962264,0.3126550868486352,,,,12.0
0,1004739415,20,100472,Absent,53,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,5,27,Unicorn_Absent,-1,-1.0,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 53, 54, 56, 58, 60, 62, 63]",Unicorn_Absent,61,0.83125,11.0,,53,0.2641509433962264,58,0.1420990566037736,0.484375,11,21.0,0.93125,0.8125,0.17857142857142858,,,,14.0
