"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.127384940247878","0.0762526652359415","0.0578429753821901","0.00519913874295007","0","0","0","0","0","0",1612.32648590549
"WSLS","0.0950533065757347","0.04120720017666","0.014681557366134","0.00313447342580497","99.0000062259033","99.1259741501247","19.0400261227467","0","0","0",732.669692890413
"FRA","0.0442598044887294","0.0365961044692186","0.00442937900632374","0.000711110672455287","99.0000036985625","99.5770886304437","32","99","99.9999999999924","0.999999999997835",1012.25726980191
