index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
0,973396298,12,6298,Present,7,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,31,28,Unicorn_Present,7,3.0,0,Unicorn_Absent,214,0.99375,10.0,RS,28,0.42105263157894735,64,0.18667763157894735,0.5625,0.4634146341463415,22.0,0.9375,0.23076923076923078,0.1528957528957529,RS,RS,RS,0.5121951219512195
0,973396298,13,6298,Absent,32,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,226,0.875,1.0,RS,20,0.23076923076923078,64,0.7692307692307692,0.6875,0.3333333333333333,31.0,0.99375,0.1794871794871795,0.18667763157894735,RS,RS,ALL,0.4634146341463415
0,973396298,14,6298,Absent,32,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,11,26,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,237,0.86875,20.0,RS,26,0.1794871794871795,64,0.8205128205128205,0.59375,0.40625,12.0,0.875,0.40625,0.7692307692307692,RS,ALL,ALL,0.3333333333333333
0,973396298,15,6298,Present,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,64,Unicorn_Present,0,7.0,1,Unicorn_Present,234,0.78125,21.0,ALL,64,0.40625,64,0.59375,0.0,1.0,11.0,0.86875,1.0,0.8205128205128205,RS,ALL,ALL,0.40625
0,973396298,16,6298,Present,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,64,Unicorn_Present,7,3.0,1,Unicorn_Absent,244,0.8625,35.0,ALL,64,1.0,64,0.0,0.0,1.0,-3.0,0.78125,1.0,0.59375,ALL,ALL,NOTHING,1.0
0,973396298,17,6298,Absent,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,64,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,242,0.7875,22.0,ALL,64,1.0,64,0.0,0.0,1.0,10.0,0.8625,0.0,0.0,ALL,NOTHING,NOTHING,1.0
0,973396298,18,6298,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,3,6.0,2,Unicorn_Present,178,0.4,34.0,NOTHING,0,0.0,0,0.0,0.0,1.0,-2.0,0.7875,1.0,0.0,ALL,NOTHING,NOTHING,1.0
0,973396298,19,6298,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,1,2.0,2,Unicorn_Present,114,0.4,0.0,NOTHING,0,1.0,0,0.0,0.0,1.0,-64.0,0.4,1.0,0.0,NOTHING,NOTHING,NOTHING,1.0
0,973396298,20,6298,Present,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,6,6.0,2,Unicorn_Present,146,1.0,0.0,NOTHING,0,1.0,0,0.0,0.0,1.0,-64.0,0.4,1.0,0.0,NOTHING,NOTHING,NOTHING,1.0
0,973396298,21,6298,Present,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,4,1.0,2,Unicorn_Present,178,1.0,0.0,NOTHING,0,1.0,0,0.0,0.0,1.0,32.0,1.0,1.0,0.0,NOTHING,NOTHING,NOTHING,1.0
